"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DISTNODA","LDC","MLN_USD","A","1965",29.75,
"AUS","DISTNODA","LDC","MLN_USD","A","1966",35.34,
"AUS","DISTNODA","LDC","MLN_USD","A","1967",25.6,
"AUS","DISTNODA","LDC","MLN_USD","A","1968",41.33,
"AUS","DISTNODA","LDC","MLN_USD","A","1969",40.65,
"AUS","DISTNODA","LDC","MLN_USD","A","1970",47.31,
"AUS","DISTNODA","LDC","MLN_USD","A","1971",59.02,
"AUS","DISTNODA","LDC","MLN_USD","A","1972",125.15,
"AUS","DISTNODA","LDC","MLN_USD","A","1973",63.39,
"AUS","DISTNODA","LDC","MLN_USD","A","1974",204.78,
"AUS","DISTNODA","LDC","MLN_USD","A","1975",144.24,
"AUS","DISTNODA","LDC","MLN_USD","A","1976",72.66,
"AUS","DISTNODA","LDC","MLN_USD","A","1977",85.15,
"AUS","DISTNODA","LDC","MLN_USD","A","1978",152.19,
"AUS","DISTNODA","LDC","MLN_USD","A","1979",239.78,
"AUS","DISTNODA","LDC","MLN_USD","A","1980",190.9,
"AUS","DISTNODA","LDC","MLN_USD","A","1981",222.32,
"AUS","DISTNODA","LDC","MLN_USD","A","1982",344.84,
"AUS","DISTNODA","LDC","MLN_USD","A","1983",221.05,
"AUS","DISTNODA","LDC","MLN_USD","A","1984",265.71,
"AUS","DISTNODA","LDC","MLN_USD","A","1985",184.34,
"AUS","DISTNODA","LDC","MLN_USD","A","1986",201.86,
"AUS","DISTNODA","LDC","MLN_USD","A","1987",229.38,
"AUS","DISTNODA","LDC","MLN_USD","A","1988",195.73,
"AUS","DISTNODA","LDC","MLN_USD","A","1989",277.77,
"AUS","DISTNODA","LDC","MLN_USD","A","1990",216.04,
"AUS","DISTNODA","LDC","MLN_USD","A","1991",191.25,
"AUS","DISTNODA","LDC","MLN_USD","A","1992",220.66,
"AUS","DISTNODA","LDC","MLN_USD","A","1993",235.83,
"AUS","DISTNODA","LDC","MLN_USD","A","1994",295.76,
"AUS","DISTNODA","LDC","MLN_USD","A","1995",284.29,
"AUS","DISTNODA","LDC","MLN_USD","A","1996",271.06,
"AUS","DISTNODA","LDC","MLN_USD","A","1997",241.98,
"AUS","DISTNODA","LDC","MLN_USD","A","1998",254.98,
"AUS","DISTNODA","LDC","MLN_USD","A","1999",369.6,
"AUS","DISTNODA","LDC","MLN_USD","A","2000",506.91,
"AUS","DISTNODA","LDC","MLN_USD","A","2001",397.53,
"AUS","DISTNODA","LDC","MLN_USD","A","2002",416.79,
"AUS","DISTNODA","LDC","MLN_USD","A","2003",405.84,
"AUS","DISTNODA","LDC","MLN_USD","A","2004",502.03,
"AUS","DISTNODA","LDC","MLN_USD","A","2005",521.17,
"AUS","DISTNODA","LDC","MLN_USD","A","2006",528.06,
"AUS","DISTNODA","LDC","MLN_USD","A","2007",698.75,
"AUS","DISTNODA","LDC","MLN_USD","A","2008",822.67,
"AUS","DISTNODA","LDC","MLN_USD","A","2009",779.66,
"AUS","DISTNODA","LDC","MLN_USD","A","2010",942.88,
"AUS","DISTNODA","LDC","MLN_USD","A","2011",1054.7,
"AUS","DISTNODA","LDC","MLN_USD","A","2012",1175.3,
"AUS","DISTNODA","LDC","MLN_USD","A","2013",994.76,
"AUS","DISTNODA","LDC","MLN_USD","A","2014",947.91,
"AUT","DISTNODA","LDC","MLN_USD","A","1962",0.41,
"AUT","DISTNODA","LDC","MLN_USD","A","1963",1.7,
"AUT","DISTNODA","LDC","MLN_USD","A","1964",3.16,
"AUT","DISTNODA","LDC","MLN_USD","A","1965",22.12,
"AUT","DISTNODA","LDC","MLN_USD","A","1966",7.33,
"AUT","DISTNODA","LDC","MLN_USD","A","1967",14.37,
"AUT","DISTNODA","LDC","MLN_USD","A","1968",0.44,
"AUT","DISTNODA","LDC","MLN_USD","A","1969",0.43,
"AUT","DISTNODA","LDC","MLN_USD","A","1970",9.57,
"AUT","DISTNODA","LDC","MLN_USD","A","1971",10.37,
"AUT","DISTNODA","LDC","MLN_USD","A","1972",4.15,
"AUT","DISTNODA","LDC","MLN_USD","A","1973",4.09,
"AUT","DISTNODA","LDC","MLN_USD","A","1974",14.92,
"AUT","DISTNODA","LDC","MLN_USD","A","1975",9.99,
"AUT","DISTNODA","LDC","MLN_USD","A","1976",8.04,
"AUT","DISTNODA","LDC","MLN_USD","A","1977",11,
"AUT","DISTNODA","LDC","MLN_USD","A","1978",12.24,
"AUT","DISTNODA","LDC","MLN_USD","A","1979",14.77,
"AUT","DISTNODA","LDC","MLN_USD","A","1980",22.72,
"AUT","DISTNODA","LDC","MLN_USD","A","1981",38.3,
"AUT","DISTNODA","LDC","MLN_USD","A","1982",26.57,
"AUT","DISTNODA","LDC","MLN_USD","A","1983",22.68,
"AUT","DISTNODA","LDC","MLN_USD","A","1984",34.15,
"AUT","DISTNODA","LDC","MLN_USD","A","1985",36.14,
"AUT","DISTNODA","LDC","MLN_USD","A","1986",22.55,
"AUT","DISTNODA","LDC","MLN_USD","A","1987",35.9,
"AUT","DISTNODA","LDC","MLN_USD","A","1988",69.23,
"AUT","DISTNODA","LDC","MLN_USD","A","1989",61.28,
"AUT","DISTNODA","LDC","MLN_USD","A","1990",94.58,
"AUT","DISTNODA","LDC","MLN_USD","A","1991",81.51,
"AUT","DISTNODA","LDC","MLN_USD","A","1992",101.75,
"AUT","DISTNODA","LDC","MLN_USD","A","1993",93.71,
"AUT","DISTNODA","LDC","MLN_USD","A","1994",93.48,
"AUT","DISTNODA","LDC","MLN_USD","A","1995",84,
"AUT","DISTNODA","LDC","MLN_USD","A","1996",83.13,
"AUT","DISTNODA","LDC","MLN_USD","A","1997",73.45,
"AUT","DISTNODA","LDC","MLN_USD","A","1998",91.58,
"AUT","DISTNODA","LDC","MLN_USD","A","1999",82.35,
"AUT","DISTNODA","LDC","MLN_USD","A","2000",109.11,
"AUT","DISTNODA","LDC","MLN_USD","A","2001",127.05,
"AUT","DISTNODA","LDC","MLN_USD","A","2002",211.19,
"AUT","DISTNODA","LDC","MLN_USD","A","2003",86.23,
"AUT","DISTNODA","LDC","MLN_USD","A","2004",66.32,
"AUT","DISTNODA","LDC","MLN_USD","A","2005",136.67,
"AUT","DISTNODA","LDC","MLN_USD","A","2006",82.83,
"AUT","DISTNODA","LDC","MLN_USD","A","2007",53.52,
"AUT","DISTNODA","LDC","MLN_USD","A","2008",106.2,
"AUT","DISTNODA","LDC","MLN_USD","A","2009",99.05,
"AUT","DISTNODA","LDC","MLN_USD","A","2010",213.61,
"AUT","DISTNODA","LDC","MLN_USD","A","2011",92.45,
"AUT","DISTNODA","LDC","MLN_USD","A","2012",55.75,
"AUT","DISTNODA","LDC","MLN_USD","A","2013",105.92,
"AUT","DISTNODA","LDC","MLN_USD","A","2014",154.58,
"BEL","DISTNODA","LDC","MLN_USD","A","1960",936.34,
"BEL","DISTNODA","LDC","MLN_USD","A","1961",757.72,
"BEL","DISTNODA","LDC","MLN_USD","A","1962",671.37,
"BEL","DISTNODA","LDC","MLN_USD","A","1963",779.2,
"BEL","DISTNODA","LDC","MLN_USD","A","1964",747.52,
"BEL","DISTNODA","LDC","MLN_USD","A","1965",889.21,
"BEL","DISTNODA","LDC","MLN_USD","A","1966",533.79,
"BEL","DISTNODA","LDC","MLN_USD","A","1967",543.11,
"BEL","DISTNODA","LDC","MLN_USD","A","1968",512.8,
"BEL","DISTNODA","LDC","MLN_USD","A","1969",535.37,
"BEL","DISTNODA","LDC","MLN_USD","A","1970",559.88,
"BEL","DISTNODA","LDC","MLN_USD","A","1971",578.08,
"BEL","DISTNODA","LDC","MLN_USD","A","1972",623.46,
"BEL","DISTNODA","LDC","MLN_USD","A","1973",612,
"BEL","DISTNODA","LDC","MLN_USD","A","1974",643.14,
"BEL","DISTNODA","LDC","MLN_USD","A","1975",633.93,
"BEL","DISTNODA","LDC","MLN_USD","A","1976",557.3,
"BEL","DISTNODA","LDC","MLN_USD","A","1977",548.47,
"BEL","DISTNODA","LDC","MLN_USD","A","1978",564.82,
"BEL","DISTNODA","LDC","MLN_USD","A","1979",641.87,
"BEL","DISTNODA","LDC","MLN_USD","A","1980",631.84,
"BEL","DISTNODA","LDC","MLN_USD","A","1981",604.69,
"BEL","DISTNODA","LDC","MLN_USD","A","1982",580.69,
"BEL","DISTNODA","LDC","MLN_USD","A","1983",504.56,
"BEL","DISTNODA","LDC","MLN_USD","A","1984",499.32,
"BEL","DISTNODA","LDC","MLN_USD","A","1985",625.22,
"BEL","DISTNODA","LDC","MLN_USD","A","1986",600.5,
"BEL","DISTNODA","LDC","MLN_USD","A","1987",487.27,
"BEL","DISTNODA","LDC","MLN_USD","A","1988",477.34,
"BEL","DISTNODA","LDC","MLN_USD","A","1989",375.18,
"BEL","DISTNODA","LDC","MLN_USD","A","1990",464.28,
"BEL","DISTNODA","LDC","MLN_USD","A","1991",286.67,
"BEL","DISTNODA","LDC","MLN_USD","A","1992",335.47,
"BEL","DISTNODA","LDC","MLN_USD","A","1993",280.01,
"BEL","DISTNODA","LDC","MLN_USD","A","1994",262.24,
"BEL","DISTNODA","LDC","MLN_USD","A","1995",204.87,
"BEL","DISTNODA","LDC","MLN_USD","A","1996",226.6,
"BEL","DISTNODA","LDC","MLN_USD","A","1997",266.9,
"BEL","DISTNODA","LDC","MLN_USD","A","1998",304.57,
"BEL","DISTNODA","LDC","MLN_USD","A","1999",213.85,
"BEL","DISTNODA","LDC","MLN_USD","A","2000",286.21,
"BEL","DISTNODA","LDC","MLN_USD","A","2001",352.51,
"BEL","DISTNODA","LDC","MLN_USD","A","2002",442.32,
"BEL","DISTNODA","LDC","MLN_USD","A","2003",1378.42,
"BEL","DISTNODA","LDC","MLN_USD","A","2004",584.14,
"BEL","DISTNODA","LDC","MLN_USD","A","2005",436.51,
"BEL","DISTNODA","LDC","MLN_USD","A","2006",577.75,
"BEL","DISTNODA","LDC","MLN_USD","A","2007",532,
"BEL","DISTNODA","LDC","MLN_USD","A","2008",543.85,
"BEL","DISTNODA","LDC","MLN_USD","A","2009",632.5,
"BEL","DISTNODA","LDC","MLN_USD","A","2010",1150.78,
"BEL","DISTNODA","LDC","MLN_USD","A","2011",715.47,
"BEL","DISTNODA","LDC","MLN_USD","A","2012",465.81,
"BEL","DISTNODA","LDC","MLN_USD","A","2013",495.83,
"BEL","DISTNODA","LDC","MLN_USD","A","2014",472.27,
"CAN","DISTNODA","LDC","MLN_USD","A","1960",4.15,
"CAN","DISTNODA","LDC","MLN_USD","A","1961",9.51,
"CAN","DISTNODA","LDC","MLN_USD","A","1962",9.12,
"CAN","DISTNODA","LDC","MLN_USD","A","1963",11.43,
"CAN","DISTNODA","LDC","MLN_USD","A","1964",26.27,
"CAN","DISTNODA","LDC","MLN_USD","A","1965",37.35,
"CAN","DISTNODA","LDC","MLN_USD","A","1966",53.6,
"CAN","DISTNODA","LDC","MLN_USD","A","1967",63.46,
"CAN","DISTNODA","LDC","MLN_USD","A","1968",68.28,
"CAN","DISTNODA","LDC","MLN_USD","A","1969",69.94,
"CAN","DISTNODA","LDC","MLN_USD","A","1970",111.84,
"CAN","DISTNODA","LDC","MLN_USD","A","1971",203.32,
"CAN","DISTNODA","LDC","MLN_USD","A","1972",349.89,
"CAN","DISTNODA","LDC","MLN_USD","A","1973",527.67,
"CAN","DISTNODA","LDC","MLN_USD","A","1974",599.81,
"CAN","DISTNODA","LDC","MLN_USD","A","1975",710.69,
"CAN","DISTNODA","LDC","MLN_USD","A","1976",516.18,
"CAN","DISTNODA","LDC","MLN_USD","A","1977",499.85,
"CAN","DISTNODA","LDC","MLN_USD","A","1978",750.33,
"CAN","DISTNODA","LDC","MLN_USD","A","1979",664.11,
"CAN","DISTNODA","LDC","MLN_USD","A","1980",592.05,
"CAN","DISTNODA","LDC","MLN_USD","A","1981",568.66,
"CAN","DISTNODA","LDC","MLN_USD","A","1982",760.14,
"CAN","DISTNODA","LDC","MLN_USD","A","1983",690.5,
"CAN","DISTNODA","LDC","MLN_USD","A","1984",771.26,
"CAN","DISTNODA","LDC","MLN_USD","A","1985",852.78,
"CAN","DISTNODA","LDC","MLN_USD","A","1986",677.72,
"CAN","DISTNODA","LDC","MLN_USD","A","1987",910.39,
"CAN","DISTNODA","LDC","MLN_USD","A","1988",864.23,
"CAN","DISTNODA","LDC","MLN_USD","A","1989",690.92,
"CAN","DISTNODA","LDC","MLN_USD","A","1990",708.23,
"CAN","DISTNODA","LDC","MLN_USD","A","1991",695.66,
"CAN","DISTNODA","LDC","MLN_USD","A","1992",740.22,
"CAN","DISTNODA","LDC","MLN_USD","A","1993",511.97,
"CAN","DISTNODA","LDC","MLN_USD","A","1994",515.51,
"CAN","DISTNODA","LDC","MLN_USD","A","1995",489.16,
"CAN","DISTNODA","LDC","MLN_USD","A","1996",440.04,
"CAN","DISTNODA","LDC","MLN_USD","A","1997",524.3,
"CAN","DISTNODA","LDC","MLN_USD","A","1998",448.3,
"CAN","DISTNODA","LDC","MLN_USD","A","1999",417.86,
"CAN","DISTNODA","LDC","MLN_USD","A","2000",374.44,
"CAN","DISTNODA","LDC","MLN_USD","A","2001",390.87,
"CAN","DISTNODA","LDC","MLN_USD","A","2002",443.23,
"CAN","DISTNODA","LDC","MLN_USD","A","2003",830.31,
"CAN","DISTNODA","LDC","MLN_USD","A","2004",840.56,
"CAN","DISTNODA","LDC","MLN_USD","A","2005",989.8,
"CAN","DISTNODA","LDC","MLN_USD","A","2006",935.96,
"CAN","DISTNODA","LDC","MLN_USD","A","2007",1352.86,
"CAN","DISTNODA","LDC","MLN_USD","A","2008",1358.24,
"CAN","DISTNODA","LDC","MLN_USD","A","2009",1395.78,
"CAN","DISTNODA","LDC","MLN_USD","A","2010",1835.08,
"CAN","DISTNODA","LDC","MLN_USD","A","2011",1377.14,
"CAN","DISTNODA","LDC","MLN_USD","A","2012",1245.09,
"CAN","DISTNODA","LDC","MLN_USD","A","2013",1194.23,
"CAN","DISTNODA","LDC","MLN_USD","A","2014",1094.74,
"CZE","DISTNODA","LDC","MLN_USD","A","1998",0.04,
"CZE","DISTNODA","LDC","MLN_USD","A","1999",0.69,
"CZE","DISTNODA","LDC","MLN_USD","A","2000",0.98,
"CZE","DISTNODA","LDC","MLN_USD","A","2001",3.07,
"CZE","DISTNODA","LDC","MLN_USD","A","2002",3.36,
"CZE","DISTNODA","LDC","MLN_USD","A","2003",13.5,
"CZE","DISTNODA","LDC","MLN_USD","A","2004",13.74,
"CZE","DISTNODA","LDC","MLN_USD","A","2005",6.91,
"CZE","DISTNODA","LDC","MLN_USD","A","2006",12.58,
"CZE","DISTNODA","LDC","MLN_USD","A","2007",19.37,
"CZE","DISTNODA","LDC","MLN_USD","A","2008",48.4,
"CZE","DISTNODA","LDC","MLN_USD","A","2009",38.62,
"CZE","DISTNODA","LDC","MLN_USD","A","2010",24.54,
"CZE","DISTNODA","LDC","MLN_USD","A","2011",19.77,
"CZE","DISTNODA","LDC","MLN_USD","A","2012",21.66,
"CZE","DISTNODA","LDC","MLN_USD","A","2013",12.11,
"CZE","DISTNODA","LDC","MLN_USD","A","2014",14.82,
"DNK","DISTNODA","LDC","MLN_USD","A","1960",1.55,
"DNK","DISTNODA","LDC","MLN_USD","A","1965",13.9,
"DNK","DISTNODA","LDC","MLN_USD","A","1966",20.15,
"DNK","DISTNODA","LDC","MLN_USD","A","1967",19.02,
"DNK","DISTNODA","LDC","MLN_USD","A","1968",45.26,
"DNK","DISTNODA","LDC","MLN_USD","A","1969",87.52,
"DNK","DISTNODA","LDC","MLN_USD","A","1970",108.11,
"DNK","DISTNODA","LDC","MLN_USD","A","1971",102.41,
"DNK","DISTNODA","LDC","MLN_USD","A","1972",129.08,
"DNK","DISTNODA","LDC","MLN_USD","A","1973",157.77,
"DNK","DISTNODA","LDC","MLN_USD","A","1974",211.14,
"DNK","DISTNODA","LDC","MLN_USD","A","1975",212.46,
"DNK","DISTNODA","LDC","MLN_USD","A","1976",204.46,
"DNK","DISTNODA","LDC","MLN_USD","A","1977",263.53,
"DNK","DISTNODA","LDC","MLN_USD","A","1978",297.72,
"DNK","DISTNODA","LDC","MLN_USD","A","1979",327.51,
"DNK","DISTNODA","LDC","MLN_USD","A","1980",397.86,
"DNK","DISTNODA","LDC","MLN_USD","A","1981",308.21,
"DNK","DISTNODA","LDC","MLN_USD","A","1982",355.47,
"DNK","DISTNODA","LDC","MLN_USD","A","1983",396.84,
"DNK","DISTNODA","LDC","MLN_USD","A","1984",379.13,
"DNK","DISTNODA","LDC","MLN_USD","A","1985",453.53,
"DNK","DISTNODA","LDC","MLN_USD","A","1986",470.55,
"DNK","DISTNODA","LDC","MLN_USD","A","1987",422.72,
"DNK","DISTNODA","LDC","MLN_USD","A","1988",520.95,
"DNK","DISTNODA","LDC","MLN_USD","A","1989",552.62,
"DNK","DISTNODA","LDC","MLN_USD","A","1990",510.19,
"DNK","DISTNODA","LDC","MLN_USD","A","1991",537.44,
"DNK","DISTNODA","LDC","MLN_USD","A","1992",498.39,
"DNK","DISTNODA","LDC","MLN_USD","A","1993",543.02,
