"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FOODAID","TOT","MLN_USD","A","1996",32.3,
"AUS","FOODAID","TOT","MLN_USD","A","1997",35.87,
"AUS","FOODAID","TOT","MLN_USD","A","1998",70.77,
"AUS","FOODAID","TOT","MLN_USD","A","1999",48.55,
"AUS","FOODAID","TOT","MLN_USD","A","2000",58.72,
"AUS","FOODAID","TOT","MLN_USD","A","2001",23.09,
"AUS","FOODAID","TOT","MLN_USD","A","2002",39.26,
"AUS","FOODAID","TOT","MLN_USD","A","2003",36.33,
"AUS","FOODAID","TOT","MLN_USD","A","2004",21.16,
"AUS","FOODAID","TOT","MLN_USD","A","2005",18.14,
"AUS","FOODAID","TOT","MLN_USD","A","2006",65.36,
"AUS","FOODAID","TOT","MLN_USD","A","2007",5.18,
"AUS","FOODAID","TOT","MLN_USD","A","2008",105.14,
"AUS","FOODAID","TOT","MLN_USD","A","2009",107.59,
"AUS","FOODAID","TOT","MLN_USD","A","2010",42.38,
"AUS","FOODAID","TOT","MLN_USD","A","2011",69.88,
"AUS","FOODAID","TOT","MLN_USD","A","2012",43.59,
"AUS","FOODAID","TOT","MLN_USD","A","2013",21.66,
"AUS","FOODAID","TOT","MLN_USD","A","2014",35.36,
"AUT","FOODAID","TOT","MLN_USD","A","1995",0.56,
"AUT","FOODAID","TOT","MLN_USD","A","1996",0.11,
"AUT","FOODAID","TOT","MLN_USD","A","1997",0.83,
"AUT","FOODAID","TOT","MLN_USD","A","1998",0.77,
"AUT","FOODAID","TOT","MLN_USD","A","1999",1.89,
"AUT","FOODAID","TOT","MLN_USD","A","2000",0.25,
"AUT","FOODAID","TOT","MLN_USD","A","2001",0.02,
"AUT","FOODAID","TOT","MLN_USD","A","2002",0.02,
"AUT","FOODAID","TOT","MLN_USD","A","2004",0.15,
"AUT","FOODAID","TOT","MLN_USD","A","2005",3.23,
"AUT","FOODAID","TOT","MLN_USD","A","2006",1.36,
"AUT","FOODAID","TOT","MLN_USD","A","2007",2.15,
"AUT","FOODAID","TOT","MLN_USD","A","2008",3.21,
"AUT","FOODAID","TOT","MLN_USD","A","2009",2.31,
"AUT","FOODAID","TOT","MLN_USD","A","2010",1.8,
"AUT","FOODAID","TOT","MLN_USD","A","2011",2,
"AUT","FOODAID","TOT","MLN_USD","A","2012",2.45,
"AUT","FOODAID","TOT","MLN_USD","A","2013",1.59,
"AUT","FOODAID","TOT","MLN_USD","A","2014",1.26,
"BEL","FOODAID","TOT","MLN_USD","A","1995",0.48,
"BEL","FOODAID","TOT","MLN_USD","A","1996",4.71,
"BEL","FOODAID","TOT","MLN_USD","A","1997",15.33,
"BEL","FOODAID","TOT","MLN_USD","A","1998",0.76,
"BEL","FOODAID","TOT","MLN_USD","A","1999",16.02,
"BEL","FOODAID","TOT","MLN_USD","A","2001",2.09,
"BEL","FOODAID","TOT","MLN_USD","A","2002",6.63,
"BEL","FOODAID","TOT","MLN_USD","A","2003",8.98,
"BEL","FOODAID","TOT","MLN_USD","A","2004",20.26,
"BEL","FOODAID","TOT","MLN_USD","A","2005",27.08,
"BEL","FOODAID","TOT","MLN_USD","A","2006",24.87,
"BEL","FOODAID","TOT","MLN_USD","A","2007",23.3,
"BEL","FOODAID","TOT","MLN_USD","A","2008",38.74,
"BEL","FOODAID","TOT","MLN_USD","A","2009",60.01,
"BEL","FOODAID","TOT","MLN_USD","A","2010",66.81,
"BEL","FOODAID","TOT","MLN_USD","A","2011",75.46,
"BEL","FOODAID","TOT","MLN_USD","A","2012",18.23,
"BEL","FOODAID","TOT","MLN_USD","A","2013",61.61,
"BEL","FOODAID","TOT","MLN_USD","A","2014",21.62,
"CAN","FOODAID","TOT","MLN_USD","A","2004",94.5,
"CAN","FOODAID","TOT","MLN_USD","A","2005",168.21,
"CAN","FOODAID","TOT","MLN_USD","A","2006",144.79,
"CAN","FOODAID","TOT","MLN_USD","A","2007",134.31,
"CAN","FOODAID","TOT","MLN_USD","A","2008",181.45,
"CAN","FOODAID","TOT","MLN_USD","A","2009",183.5,
"CAN","FOODAID","TOT","MLN_USD","A","2010",150.16,
"CAN","FOODAID","TOT","MLN_USD","A","2011",177.29,
"CAN","FOODAID","TOT","MLN_USD","A","2012",231.14,
"CAN","FOODAID","TOT","MLN_USD","A","2013",224.31,
"CAN","FOODAID","TOT","MLN_USD","A","2014",218.55,
"CZE","FOODAID","TOT","MLN_USD","A","2002",0.37,
"CZE","FOODAID","TOT","MLN_USD","A","2004",0.25,
