"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRANT","TOT","MLN_USD","A","1970",145.69,
"AUS","GRANT","TOT","MLN_USD","A","1971",159.83,
"AUS","GRANT","TOT","MLN_USD","A","1972",131.03,
"AUS","GRANT","TOT","MLN_USD","A","1973",123.13,
"AUS","GRANT","TOT","MLN_USD","A","1974",176.03,
"AUS","GRANT","TOT","MLN_USD","A","1975",153.2,
"AUS","GRANT","TOT","MLN_USD","A","1976",160.1,
"AUS","GRANT","TOT","MLN_USD","A","1977",155.61,
"AUS","GRANT","TOT","MLN_USD","A","1978",148.16,
"AUS","GRANT","TOT","MLN_USD","A","1979",178.14,
"AUS","GRANT","TOT","MLN_USD","A","1980",128.28,
"AUS","GRANT","TOT","MLN_USD","A","1981",104.15,
"AUS","GRANT","TOT","MLN_USD","A","1982",98.69,
"AUS","GRANT","TOT","MLN_USD","A","1983",98.4,
"AUS","GRANT","TOT","MLN_USD","A","1984",121.17,
"AUS","GRANT","TOT","MLN_USD","A","1985",184.8,
"AUS","GRANT","TOT","MLN_USD","A","1986",135.52,
"AUS","GRANT","TOT","MLN_USD","A","1987",120.75,
"AUS","GRANT","TOT","MLN_USD","A","1988",112.69,
"AUS","GRANT","TOT","MLN_USD","A","1989",112.06,
"AUS","GRANT","TOT","MLN_USD","A","1990",124.69,
"AUS","GRANT","TOT","MLN_USD","A","1991",223.83,
"AUS","GRANT","TOT","MLN_USD","A","1992",147.95,
"AUS","GRANT","TOT","MLN_USD","A","1993",231.54,
"AUS","GRANT","TOT","MLN_USD","A","1994",171.41,
"AUS","GRANT","TOT","MLN_USD","A","1995",133.57,
"AUS","GRANT","TOT","MLN_USD","A","1996",155.08,
"AUS","GRANT","TOT","MLN_USD","A","1997",320.23,
"AUS","GRANT","TOT","MLN_USD","A","1998",277,
"AUS","GRANT","TOT","MLN_USD","A","1999",229.33,
"AUS","GRANT","TOT","MLN_USD","A","2000",385.26,
"AUS","GRANT","TOT","MLN_USD","A","2001",588.39,
"AUS","GRANT","TOT","MLN_USD","A","2002",635.74,
"AUS","GRANT","TOT","MLN_USD","A","2003",704.63,
"AUS","GRANT","TOT","MLN_USD","A","2004",868.58,
"AUS","GRANT","TOT","MLN_USD","A","2005",1356.45,
"AUS","GRANT","TOT","MLN_USD","A","2006",972.63,
"AUS","GRANT","TOT","MLN_USD","A","2007",895.09,
"AUS","GRANT","TOT","MLN_USD","A","2008",871.73,
"AUS","GRANT","TOT","MLN_USD","A","2010",1027.41,
"AUS","GRANT","TOT","MLN_USD","A","2011",1295.09,
"AUS","GRANT","TOT","MLN_USD","A","2012",1350.2,
"AUT","GRANT","TOT","MLN_USD","A","1970",35.41,
"AUT","GRANT","TOT","MLN_USD","A","1971",37.35,
"AUT","GRANT","TOT","MLN_USD","A","1972",35.98,
"AUT","GRANT","TOT","MLN_USD","A","1973",54.59,
"AUT","GRANT","TOT","MLN_USD","A","1974",51.01,
"AUT","GRANT","TOT","MLN_USD","A","1975",51.79,
"AUT","GRANT","TOT","MLN_USD","A","1976",49.81,
"AUT","GRANT","TOT","MLN_USD","A","1977",43.15,
"AUT","GRANT","TOT","MLN_USD","A","1978",48.13,
"AUT","GRANT","TOT","MLN_USD","A","1979",46.88,
"AUT","GRANT","TOT","MLN_USD","A","1980",62.7,
"AUT","GRANT","TOT","MLN_USD","A","1981",62.13,
