"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NODA","TOT","MLN_USD","A","1960",741.28,
"AUS","NODA","TOT","MLN_USD","A","1961",866.36,
"AUS","NODA","TOT","MLN_USD","A","1962",900.82,
"AUS","NODA","TOT","MLN_USD","A","1963",1136.46,
"AUS","NODA","TOT","MLN_USD","A","1964",1159.66,
"AUS","NODA","TOT","MLN_USD","A","1965",1335.9,
"AUS","NODA","TOT","MLN_USD","A","1966",1441.04,
"AUS","NODA","TOT","MLN_USD","A","1967",1688.23,
"AUS","NODA","TOT","MLN_USD","A","1968",1620.91,
"AUS","NODA","TOT","MLN_USD","A","1969",1802.72,
"AUS","NODA","TOT","MLN_USD","A","1970",1964.66,
"AUS","NODA","TOT","MLN_USD","A","1971",1845.47,
"AUS","NODA","TOT","MLN_USD","A","1972",2108.27,
"AUS","NODA","TOT","MLN_USD","A","1973",1685.72,
"AUS","NODA","TOT","MLN_USD","A","1974",2037.34,
"AUS","NODA","TOT","MLN_USD","A","1975",2497.57,
"AUS","NODA","TOT","MLN_USD","A","1976",1625.15,
"AUS","NODA","TOT","MLN_USD","A","1977",1730.77,
"AUS","NODA","TOT","MLN_USD","A","1978",2273.89,
"AUS","NODA","TOT","MLN_USD","A","1979",2276.27,
"AUS","NODA","TOT","MLN_USD","A","1980",2153.72,
"AUS","NODA","TOT","MLN_USD","A","1981",1891.68,
"AUS","NODA","TOT","MLN_USD","A","1982",2600.49,
"AUS","NODA","TOT","MLN_USD","A","1983",2305.78,
"AUS","NODA","TOT","MLN_USD","A","1984",2307.56,
"AUS","NODA","TOT","MLN_USD","A","1985",2656.21,
"AUS","NODA","TOT","MLN_USD","A","1986",2584.88,
"AUS","NODA","TOT","MLN_USD","A","1987",1917.92,
"AUS","NODA","TOT","MLN_USD","A","1988",2794.95,
"AUS","NODA","TOT","MLN_USD","A","1989",2372.36,
"AUS","NODA","TOT","MLN_USD","A","1990",2166.26,
"AUS","NODA","TOT","MLN_USD","A","1991",2333.91,
"AUS","NODA","TOT","MLN_USD","A","1992",2381.26,
"AUS","NODA","TOT","MLN_USD","A","1993",2393.35,
"AUS","NODA","TOT","MLN_USD","A","1994",2506.69,
"AUS","NODA","TOT","MLN_USD","A","1995",2640.31,
"AUS","NODA","TOT","MLN_USD","A","1996",2198.97,
"AUS","NODA","TOT","MLN_USD","A","1997",2246.2,
"AUS","NODA","TOT","MLN_USD","A","1998",2407.44,
"AUS","NODA","TOT","MLN_USD","A","1999",2361.11,
"AUS","NODA","TOT","MLN_USD","A","2000",2539.07,
