"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1967",57.75,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1968",59.9,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1969",63.6,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1970",61.89,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1971",61.91,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1972",84.26,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1973",561.89,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1974",532.76,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1975",471.96,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1976",78.52,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1977",255.76,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1978",142.78,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1979",121.33,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1980",220.61,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1981",232.73,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1982",198.27,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1983",297.79,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1984",661.78,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1985",577.35,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1986",538.86,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1987",457.72,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1988",556.16,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1989",401.4,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1990",556.41,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1991",475.05,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1992",715.18,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1993",740.98,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1994",768.27,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1995",1310.69,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1996",752.79,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1997",735.01,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1998",903.74,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","1999",846.89,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2000",1061.32,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2001",935.4,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2002",853.24,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2003",934.4,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2004",998.72,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2005",1079.57,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2006",1391.62,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2007",1487.26,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2008",1563.61,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2009",1544.28,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2010",1799.8,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2011",2007.79,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2012",2186.9,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2013",1848.29,
"AUS","ODASECTOR","SOCINFRA","MLN_USD","A","2014",1836.48,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1971",26.53,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1972",33.1,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1973",9.78,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1974",10.54,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1975",12.96,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1976",2.95,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1977",63.09,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1978",60.98,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1979",54.84,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1980",54.33,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1981",95.87,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1982",15.79,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1983",176.14,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1984",76.21,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1985",88.66,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1986",103.65,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1987",97.86,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1988",146.09,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1989",224.29,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1990",238.34,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1991",231.17,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1992",203.34,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1993",255.65,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1994",195.08,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1995",214.64,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1996",226.15,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1997",270.73,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1998",330.71,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","1999",453.56,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2000",272.14,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2001",202.03,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2002",231.44,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2003",218.01,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2004",202.47,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2005",234.68,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2006",252.12,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2007",298.44,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2008",324.5,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2009",248.89,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2010",284.75,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2011",297.12,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2012",413.13,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2013",306.53,
"AUT","ODASECTOR","SOCINFRA","MLN_USD","A","2014",274.39,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1967",19.8,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1968",28.2,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1969",36.76,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1970",36.49,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1971",453.31,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1972",484.36,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1973",40.26,
"BEL","ODASECTOR","SOCINFRA","MLN_USD","A","1974",35.68,
