"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OOF","TOT","MLN_USD","A","1961",2.45,
"AUS","OOF","TOT","MLN_USD","A","1963",11.85,
"AUS","OOF","TOT","MLN_USD","A","1964",46.39,
"AUS","OOF","TOT","MLN_USD","A","1965",33.8,
"AUS","OOF","TOT","MLN_USD","A","1966",21.82,
"AUS","OOF","TOT","MLN_USD","A","1967",105.2,
"AUS","OOF","TOT","MLN_USD","A","1968",-30.46,
"AUS","OOF","TOT","MLN_USD","A","1970",65.23,
"AUS","OOF","TOT","MLN_USD","A","1971",90.65,
"AUS","OOF","TOT","MLN_USD","A","1972",32.89,
"AUS","OOF","TOT","MLN_USD","A","1973",10.68,
"AUS","OOF","TOT","MLN_USD","A","1974",-20.95,
"AUS","OOF","TOT","MLN_USD","A","1975",-15.85,
"AUS","OOF","TOT","MLN_USD","A","1976",-4.26,
"AUS","OOF","TOT","MLN_USD","A","1977",-12.08,
"AUS","OOF","TOT","MLN_USD","A","1978",175.75,
"AUS","OOF","TOT","MLN_USD","A","1979",72.05,
"AUS","OOF","TOT","MLN_USD","A","1980",39.66,
"AUS","OOF","TOT","MLN_USD","A","1981",56.62,
"AUS","OOF","TOT","MLN_USD","A","1982",195.88,
"AUS","OOF","TOT","MLN_USD","A","1983",352.61,
"AUS","OOF","TOT","MLN_USD","A","1984",400.85,
"AUS","OOF","TOT","MLN_USD","A","1985",73.51,
"AUS","OOF","TOT","MLN_USD","A","1986",116.83,
"AUS","OOF","TOT","MLN_USD","A","1987",-175.96,
"AUS","OOF","TOT","MLN_USD","A","1988",123.53,
"AUS","OOF","TOT","MLN_USD","A","1989",401.31,
"AUS","OOF","TOT","MLN_USD","A","1990",217.65,
"AUS","OOF","TOT","MLN_USD","A","1991",461.05,
"AUS","OOF","TOT","MLN_USD","A","1992",918.52,
"AUS","OOF","TOT","MLN_USD","A","1993",408.78,
"AUS","OOF","TOT","MLN_USD","A","1994",390.42,
"AUS","OOF","TOT","MLN_USD","A","1995",0.42,
"AUS","OOF","TOT","MLN_USD","A","1996",450.12,
"AUS","OOF","TOT","MLN_USD","A","1997",206.22,
"AUS","OOF","TOT","MLN_USD","A","1998",132.51,
"AUS","OOF","TOT","MLN_USD","A","1999",1506.19,
"AUS","OOF","TOT","MLN_USD","A","2000",1291.55,
"AUS","OOF","TOT","MLN_USD","A","2001",-74.58,
"AUS","OOF","TOT","MLN_USD","A","2002",-89.35,
"AUS","OOF","TOT","MLN_USD","A","2003",-16.98,
"AUS","OOF","TOT","MLN_USD","A","2004",-139.86,
"AUS","OOF","TOT","MLN_USD","A","2005",-148.95,
"AUS","OOF","TOT","MLN_USD","A","2006",300.27,
"AUS","OOF","TOT","MLN_USD","A","2007",-30.68,
"AUS","OOF","TOT","MLN_USD","A","2008",-142.5,
"AUS","OOF","TOT","MLN_USD","A","2009",509.12,
"AUS","OOF","TOT","MLN_USD","A","2010",294.5,
"AUS","OOF","TOT","MLN_USD","A","2011",247.29,
"AUS","OOF","TOT","MLN_USD","A","2012",311.16,
"AUS","OOF","TOT","MLN_USD","A","2013",467.22,
"AUS","OOF","TOT","MLN_USD","A","2014",155.56,
"AUT","OOF","TOT","MLN_USD","A","1960",-2.97,
"AUT","OOF","TOT","MLN_USD","A","1961",-9.89,
"AUT","OOF","TOT","MLN_USD","A","1962",155.89,
"AUT","OOF","TOT","MLN_USD","A","1963",-27.5,
"AUT","OOF","TOT","MLN_USD","A","1964",101.53,
"AUT","OOF","TOT","MLN_USD","A","1965",248.88,
"AUT","OOF","TOT","MLN_USD","A","1966",237.98,
"AUT","OOF","TOT","MLN_USD","A","1967",126.84,
"AUT","OOF","TOT","MLN_USD","A","1968",62.45,
"AUT","OOF","TOT","MLN_USD","A","1969",22.5,
