"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRIVFLOW","TOT","MLN_USD","A","1964",171.63,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1965",257.8,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1966",244.7,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1967",277.83,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1968",494.55,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1969",552.26,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1970",1572.23,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1971",2554.76,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1972",1180.97,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1973",247.55,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1974",379.32,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1975",242.52,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1976",455.62,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1977",711.33,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1978",151.91,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1979",657.3,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1980",527.06,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1981",355.37,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1982",714.42,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1983",157.34,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1984",1667.08,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1985",1463.8,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1986",775.87,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1987",949.89,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1988",6066.77,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1989",713.13,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1990",1001.46,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1991",-7778.95,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1992",6321.09,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1993",2193.29,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1994",1837.02,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1995",2831.89,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1996",-4279.71,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1997",-9215.97,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1998",440.89,
"AUS","PRIVFLOW","TOT","MLN_USD","A","1999",986.72,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2000",647.51,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2001",420.37,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2002",-1112.24,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2003",2877.4,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2004",856.48,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2005",4577.62,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2006",9601.85,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2007",9489.53,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2008",408.77,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2010",10523.98,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2011",11229.32,
"AUS","PRIVFLOW","TOT","MLN_USD","A","2012",13886.75,
