"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOTFLOW","TOT","MLN_USD","A","1960",741.28,
"AUS","TOTFLOW","TOT","MLN_USD","A","1961",868.81,
"AUS","TOTFLOW","TOT","MLN_USD","A","1962",900.82,
"AUS","TOTFLOW","TOT","MLN_USD","A","1963",1148.31,
"AUS","TOTFLOW","TOT","MLN_USD","A","1964",1377.68,
"AUS","TOTFLOW","TOT","MLN_USD","A","1965",1627.5,
"AUS","TOTFLOW","TOT","MLN_USD","A","1966",1707.55,
"AUS","TOTFLOW","TOT","MLN_USD","A","1967",2071.25,
"AUS","TOTFLOW","TOT","MLN_USD","A","1968",2085,
"AUS","TOTFLOW","TOT","MLN_USD","A","1969",2354.98,
"AUS","TOTFLOW","TOT","MLN_USD","A","1970",3747.81,
"AUS","TOTFLOW","TOT","MLN_USD","A","1971",4650.71,
"AUS","TOTFLOW","TOT","MLN_USD","A","1972",3453.16,
"AUS","TOTFLOW","TOT","MLN_USD","A","1973",2067.07,
"AUS","TOTFLOW","TOT","MLN_USD","A","1974",2571.74,
"AUS","TOTFLOW","TOT","MLN_USD","A","1975",2877.45,
"AUS","TOTFLOW","TOT","MLN_USD","A","1976",2236.86,
"AUS","TOTFLOW","TOT","MLN_USD","A","1977",2585.63,
"AUS","TOTFLOW","TOT","MLN_USD","A","1978",2749.71,
"AUS","TOTFLOW","TOT","MLN_USD","A","1979",3183.76,
"AUS","TOTFLOW","TOT","MLN_USD","A","1980",2848.72,
"AUS","TOTFLOW","TOT","MLN_USD","A","1981",2407.81,
"AUS","TOTFLOW","TOT","MLN_USD","A","1982",3609.49,
"AUS","TOTFLOW","TOT","MLN_USD","A","1983",2914.14,
"AUS","TOTFLOW","TOT","MLN_USD","A","1984",4496.66,
"AUS","TOTFLOW","TOT","MLN_USD","A","1985",4378.31,
"AUS","TOTFLOW","TOT","MLN_USD","A","1986",3613.1,
"AUS","TOTFLOW","TOT","MLN_USD","A","1987",2812.6,
"AUS","TOTFLOW","TOT","MLN_USD","A","1988",9097.93,
"AUS","TOTFLOW","TOT","MLN_USD","A","1989",3598.86,
"AUS","TOTFLOW","TOT","MLN_USD","A","1990",3510.05,
"AUS","TOTFLOW","TOT","MLN_USD","A","1991",-4760.16,
"AUS","TOTFLOW","TOT","MLN_USD","A","1992",9768.82,
"AUS","TOTFLOW","TOT","MLN_USD","A","1993",5226.97,
"AUS","TOTFLOW","TOT","MLN_USD","A","1994",4905.55,
"AUS","TOTFLOW","TOT","MLN_USD","A","1995",5606.19,
"AUS","TOTFLOW","TOT","MLN_USD","A","1996",-1475.57,
"AUS","TOTFLOW","TOT","MLN_USD","A","1997",-6443.34,
"AUS","TOTFLOW","TOT","MLN_USD","A","1998",3257.84,
"AUS","TOTFLOW","TOT","MLN_USD","A","1999",5083.36,
"AUS","TOTFLOW","TOT","MLN_USD","A","2000",4863.39,
"AUS","TOTFLOW","TOT","MLN_USD","A","2001",3368.6,
"AUS","TOTFLOW","TOT","MLN_USD","A","2002",1971.33,
"AUS","TOTFLOW","TOT","MLN_USD","A","2003",6117.01,
"AUS","TOTFLOW","TOT","MLN_USD","A","2004",4179.75,
"AUS","TOTFLOW","TOT","MLN_USD","A","2005",8546.11,
"AUS","TOTFLOW","TOT","MLN_USD","A","2006",14230.92,
"AUS","TOTFLOW","TOT","MLN_USD","A","2007",13998.7,
"AUS","TOTFLOW","TOT","MLN_USD","A","2008",4983.69,
"AUS","TOTFLOW","TOT","MLN_USD","A","2009",4298.96,
"AUS","TOTFLOW","TOT","MLN_USD","A","2010",16079.65,
"AUS","TOTFLOW","TOT","MLN_USD","A","2011",17472.17,
"AUS","TOTFLOW","TOT","MLN_USD","A","2012",20637.97,
"AUS","TOTFLOW","TOT","MLN_USD","A","2013",23170.44,
"AUS","TOTFLOW","TOT","MLN_USD","A","2014",34216.75,
"AUT","TOTFLOW","TOT","MLN_USD","A","1960",84.54,
"AUT","TOTFLOW","TOT","MLN_USD","A","1961",285.43,
"AUT","TOTFLOW","TOT","MLN_USD","A","1962",420.22,
"AUT","TOTFLOW","TOT","MLN_USD","A","1963",77.27,
"AUT","TOTFLOW","TOT","MLN_USD","A","1964",270.32,
"AUT","TOTFLOW","TOT","MLN_USD","A","1965",569.55,
"AUT","TOTFLOW","TOT","MLN_USD","A","1966",570.58,
"AUT","TOTFLOW","TOT","MLN_USD","A","1967",535.07,
"AUT","TOTFLOW","TOT","MLN_USD","A","1968",802.56,
"AUT","TOTFLOW","TOT","MLN_USD","A","1969",848.98,
"AUT","TOTFLOW","TOT","MLN_USD","A","1970",958.68,
"AUT","TOTFLOW","TOT","MLN_USD","A","1971",839.13,
"AUT","TOTFLOW","TOT","MLN_USD","A","1972",868.77,
"AUT","TOTFLOW","TOT","MLN_USD","A","1973",883.86,
"AUT","TOTFLOW","TOT","MLN_USD","A","1974",1078.84,
"AUT","TOTFLOW","TOT","MLN_USD","A","1975",857.25,
"AUT","TOTFLOW","TOT","MLN_USD","A","1976",1737.89,
"AUT","TOTFLOW","TOT","MLN_USD","A","1977",1964.12,
"AUT","TOTFLOW","TOT","MLN_USD","A","1978",1611.68,
"AUT","TOTFLOW","TOT","MLN_USD","A","1979",734.17,
"AUT","TOTFLOW","TOT","MLN_USD","A","1980",669.69,
"AUT","TOTFLOW","TOT","MLN_USD","A","1981",960.1,
"AUT","TOTFLOW","TOT","MLN_USD","A","1982",428.12,
"AUT","TOTFLOW","TOT","MLN_USD","A","1983",414.73,
"AUT","TOTFLOW","TOT","MLN_USD","A","1984",190.15,
"AUT","TOTFLOW","TOT","MLN_USD","A","1985",547.25,
"AUT","TOTFLOW","TOT","MLN_USD","A","1986",327.29,
"AUT","TOTFLOW","TOT","MLN_USD","A","1987",487.34,
"AUT","TOTFLOW","TOT","MLN_USD","A","1988",573.8,
"AUT","TOTFLOW","TOT","MLN_USD","A","1989",299.76,
"AUT","TOTFLOW","TOT","MLN_USD","A","1990",603.85,
"AUT","TOTFLOW","TOT","MLN_USD","A","1991",837.38,
