"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1960",88.45,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1961",91.88,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1962",95.01,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1963",100.64,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1964",105.98,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1965",111.96,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1966",116.62,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1967",123.21,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1968",130.18,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1969",136.43,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1970",141.63,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1971",143.36,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1972",148.41,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1973",157.72,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1974",172.53,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1975",179.45,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1976",181.88,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1977",195.91,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1978",191.09,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1979",197.38,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1980",206.74,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1981",207.37,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1982",213.69,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1983",201.78,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1984",208.06,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1985",220.15,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1986",221.52,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1987",231.84,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1988",240.83,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1989",254.31,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1990",259.55,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1991",261.05,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1992",265.08,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1993",268.99,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1994",274.94,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1995",285.34,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1996",295.25,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1997",303.13,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1998",322.76,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","1999",328.86,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2000",334.7,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2001",341.03,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2002",348.89,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2003",353.53,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2004",367.4,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2005",371.41,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2006",376.32,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2007",386.25,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2008",388.82,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2009",394.48,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2010",385.05,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2011",385.49,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2012",386.97,
"AUS","AIREMISSION","CO2","MLN_TONNE","A","2013",388.68,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1960",8.51,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1961",8.63,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1962",8.76,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1963",9.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1964",9.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1965",9.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1966",9.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1967",10.34,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1968",10.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1969",11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1970",11.18,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1971",10.86,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1972",11.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1973",11.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1974",12.47,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1975",12.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1976",12.89,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1977",13.72,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1978",13.24,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1979",13.52,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1980",13.96,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1981",13.78,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1982",13.98,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1983",13.03,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1984",13.27,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1985",13.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1986",13.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1987",14.14,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1988",14.43,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1989",15.01,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1990",15.12,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1991",15.04,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1992",15.11,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1993",15.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1994",15.38,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1995",15.77,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1996",16.13,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1997",16.39,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1998",17.27,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","1999",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.51,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.61,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.82,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.85,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",18.35,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",18.31,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",18.28,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.41,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18.15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",18.07,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.39,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.15,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",16.91,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.7,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1960",30.41,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1961",30.65,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1962",33.39,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1963",36.87,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1964",37.68,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1965",36.76,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1966",37.04,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1967",37.78,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1968",40.47,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1969",42.95,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1970",46.46,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1971",48.6,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1972",50.4,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1973",53.8,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1974",51.12,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1975",49.48,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1976",53.94,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1977",51.32,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1978",53.65,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1979",55.9,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1980",54.34,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1981",51.55,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1982",49.77,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1983",49.39,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1984",50.96,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1985",52.64,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1986",51.63,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1987",52.38,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1988",50.33,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1989",50.38,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1990",56.16,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1991",60.33,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1992",55.46,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1993",55.66,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1994",56.08,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1995",59.42,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1996",63.12,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1997",62.31,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1998",62.91,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","1999",61.29,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2000",61.68,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2001",66.04,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2002",67.7,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2003",72.99,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2004",74.1,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2005",75.06,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2006",72.55,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2007",70.26,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2008",71.25,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2009",64.66,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2010",69.72,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2011",68.12,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2012",65.19,
"AUT","AIREMISSION","CO2","MLN_TONNE","A","2013",65.13,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1960",4.31,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1961",4.33,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1962",4.68,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1963",5.14,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1964",5.22,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1965",5.06,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1966",5.06,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1967",5.12,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1968",5.46,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1969",5.77,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1970",6.22,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1971",6.48,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1972",6.68,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1973",7.09,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1974",6.73,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1975",6.53,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1976",7.13,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1977",6.78,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1978",7.1,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1979",7.41,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1980",7.2,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1981",6.81,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1982",6.57,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1983",6.53,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1984",6.74,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1985",6.96,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1986",6.82,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1987",6.91,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1988",6.64,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1989",6.61,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1990",7.31,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1991",7.78,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1992",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1993",7.04,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1994",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1995",7.48,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1996",7.93,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1997",7.82,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1998",7.89,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","1999",7.67,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2000",7.7,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2001",8.21,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2002",8.38,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2003",8.99,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2004",9.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2005",9.13,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2006",8.77,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2007",8.47,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2008",8.56,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2009",7.75,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2010",8.34,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2011",8.12,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2012",7.74,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2013",7.68,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","1960",87.57,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","1961",87.68,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","1962",95.04,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","1963",105.67,
"BEL","AIREMISSION","CO2","MLN_TONNE","A","1964",103.76,
