"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","FORESTRESOURCE","USEINTENSITY","RT","A","1985",0.609,
"AUT","FORESTRESOURCE","USEINTENSITY","RT","A","1991",0.656,
"AUT","FORESTRESOURCE","USEINTENSITY","RT","A","1997",0.56,
"AUT","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.768,
"BEL","FORESTRESOURCE","USEINTENSITY","RT","A","1990",0.85,
"BEL","FORESTRESOURCE","USEINTENSITY","RT","A","2000",0.654,
"BEL","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.83,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1950",0.603,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1970",0.602,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1980",0.724,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1981",0.786,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1982",0.771,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1983",0.768,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1984",0.789,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1985",0.812,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1986",0.772,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1987",0.757,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1988",0.74,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1989",0.715,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1990",0.782,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1991",0.622,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1992",0.56,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1993",0.582,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1994",0.671,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1995",0.691,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1996",0.699,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1997",0.741,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1998",0.76,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","1999",0.755,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2000",0.729,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2001",0.715,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2002",0.722,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2003",0.751,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2004",0.767,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.758,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2006",0.859,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2007",0.893,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2008",0.777,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2009",0.716,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2010",0.788,
"CZE","FORESTRESOURCE","USEINTENSITY","RT","A","2011",0.717,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","1950",0.852,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","1970",1.183,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","1980",0.75,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","1990",0.359,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","1996",0.51,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","2000",0.593,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.531,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","2010",0.457,
"DNK","FORESTRESOURCE","USEINTENSITY","RT","A","2012",0.588,"B"
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","1950",0.888,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","1970",1.006,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","1980",0.826,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","1990",0.666,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","1995",0.735,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2000",0.732,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.64,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2006",0.612,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2007",0.677,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2008",0.619,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2009",0.53,
"FIN","FORESTRESOURCE","USEINTENSITY","RT","A","2010",0.643,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","1980",0.813,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","1990",0.82,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.555,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2006",0.533,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2007",0.429,"B"
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2008",0.391,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2009",0.455,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2010",0.486,
"FRA","FORESTRESOURCE","USEINTENSITY","RT","A","2011",0.493,"E"
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1993",0.531,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1994",0.551,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1995",0.56,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1996",0.563,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1997",0.59,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1998",0.595,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","1999",0.592,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2000",0.749,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2001",0.593,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2002",0.61,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2003",0.721,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2004",0.804,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2005",0.838,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2006",0.871,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2007",0.956,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2008",0.814,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2009",0.779,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2010",0.856,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2011",0.868,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2012",0.847,
"DEU","FORESTRESOURCE","USEINTENSITY","RT","A","2013",0.847,
"GRC","FORESTRESOURCE","USEINTENSITY","RT","A","1980",0.706,
"GRC","FORESTRESOURCE","USEINTENSITY","RT","A","1992",0.545,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1970",0.601,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1980",0.699,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1990",0.674,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1995",0.53,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1996",0.575,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1997",0.581,
"HUN","FORESTRESOURCE","USEINTENSITY","RT","A","1998",0.567,
