"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","THND_TONNE","A","1980",10000,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","1992",12000,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2000",13200,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2009",14035,
"AUS","WASTEMUN","TOT","KG_CAP","A","1980",680,"E"
"AUS","WASTEMUN","TOT","KG_CAP","A","1992",687,"E"
"AUS","WASTEMUN","TOT","KG_CAP","A","2000",694,"E"
"AUS","WASTEMUN","TOT","KG_CAP","A","2009",647,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1989",3150,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1990",3204,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1991",3126,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1992",3176,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1993",3341,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1994",3400,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1995",3476,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1996",3845,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1997",3977,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1998",3983,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1999",4171,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2000",4321,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2001",4309,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2002",4589,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2003",4607,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2004",4686.7,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2005",4731.7,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2006",4932.5,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2007",4951,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2008",4997,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2009",4921,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2010",4700.8,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2011",4806.9,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2012",4883.3,
"AUT","WASTEMUN","TOT","KG_CAP","A","1989",413,
"AUT","WASTEMUN","TOT","KG_CAP","A","1990",417,
"AUT","WASTEMUN","TOT","KG_CAP","A","1991",403,
"AUT","WASTEMUN","TOT","KG_CAP","A","1992",405,
"AUT","WASTEMUN","TOT","KG_CAP","A","1993",423,
"AUT","WASTEMUN","TOT","KG_CAP","A","1994",428,
"AUT","WASTEMUN","TOT","KG_CAP","A","1995",437,
"AUT","WASTEMUN","TOT","KG_CAP","A","1996",483,
"AUT","WASTEMUN","TOT","KG_CAP","A","1997",499,
