"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","WASTEWATERTREAT","TOT","PC","A","1970",21,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1975",27,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1980",34,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1985",42,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1990",57,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1991",60,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1992",63,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1993",66,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1994",66,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1995",67,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1996",67,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1997",70,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1998",73,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","1999",73,"E"
"NOR","WASTEWATERTREAT","TOT","PC","A","2000",74.1,
"NOR","WASTEWATERTREAT","TOT","PC","A","2001",73.7,
"NOR","WASTEWATERTREAT","TOT","PC","A","2002",73.9,
"NOR","WASTEWATERTREAT","TOT","PC","A","2003",75.2,
"NOR","WASTEWATERTREAT","TOT","PC","A","2004",76,
"NOR","WASTEWATERTREAT","TOT","PC","A","2005",78.6,
"NOR","WASTEWATERTREAT","TOT","PC","A","2006",79,
"NOR","WASTEWATERTREAT","TOT","PC","A","2007",78.7,
"NOR","WASTEWATERTREAT","TOT","PC","A","2008",78.9,
"NOR","WASTEWATERTREAT","TOT","PC","A","2009",80.6,
"NOR","WASTEWATERTREAT","TOT","PC","A","2010",81.1,
"NOR","WASTEWATERTREAT","TOT","PC","A","2011",81.3,
"NOR","WASTEWATERTREAT","TOT","PC","A","2012",81.7,
"NOR","WASTEWATERTREAT","TOT","PC","A","2013",81.9,
"ISR","WASTEWATERTREAT","TOT","PC","A","1980",57.700000762939,
"ISR","WASTEWATERTREAT","TOT","PC","A","1985",59.700000762939,
"ISR","WASTEWATERTREAT","TOT","PC","A","1990",76.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","1995",79.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2000",86.6,
"ISR","WASTEWATERTREAT","TOT","PC","A","2001",88,
"ISR","WASTEWATERTREAT","TOT","PC","A","2002",89.3,
"ISR","WASTEWATERTREAT","TOT","PC","A","2003",90.7,
"ISR","WASTEWATERTREAT","TOT","PC","A","2004",92.1,
"ISR","WASTEWATERTREAT","TOT","PC","A","2005",92.9,
"ISR","WASTEWATERTREAT","TOT","PC","A","2006",93.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2007",94.1,
"ISR","WASTEWATERTREAT","TOT","PC","A","2008",94.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2009",95,
"ISR","WASTEWATERTREAT","TOT","PC","A","2010",95.5,
"ISR","WASTEWATERTREAT","TOT","PC","A","2011",96,
"ISR","WASTEWATERTREAT","TOT","PC","A","2012",96.3,
"ISR","WASTEWATERTREAT","TOT","PC","A","2013",96.6,
"JPN","WASTEWATERTREAT","TOT","PC","A","1970",16,
"JPN","WASTEWATERTREAT","TOT","PC","A","1975",23,
"JPN","WASTEWATERTREAT","TOT","PC","A","1980",30,
"JPN","WASTEWATERTREAT","TOT","PC","A","1985",36,
"JPN","WASTEWATERTREAT","TOT","PC","A","1990",44,
"JPN","WASTEWATERTREAT","TOT","PC","A","1995",54,
"JPN","WASTEWATERTREAT","TOT","PC","A","2000",62,
"JPN","WASTEWATERTREAT","TOT","PC","A","2001",64,
"JPN","WASTEWATERTREAT","TOT","PC","A","2002",65,
"JPN","WASTEWATERTREAT","TOT","PC","A","2003",67,
"JPN","WASTEWATERTREAT","TOT","PC","A","2004",68.069702148438,
"JPN","WASTEWATERTREAT","TOT","PC","A","2005",69.256401062012,
"JPN","WASTEWATERTREAT","TOT","PC","A","2006",71,
"JPN","WASTEWATERTREAT","TOT","PC","A","2007",71.699996948242,
"JPN","WASTEWATERTREAT","TOT","PC","A","2008",72.699996948242,
"JPN","WASTEWATERTREAT","TOT","PC","A","2009",73.699996948242,
"JPN","WASTEWATERTREAT","TOT","PC","A","2010",75.099998474121,
"JPN","WASTEWATERTREAT","TOT","PC","A","2011",75.800003051758,
"MEX","WASTEWATERTREAT","TOT","PC","A","1993",21.799999237061,
"MEX","WASTEWATERTREAT","TOT","PC","A","2000",22.9,
"MEX","WASTEWATERTREAT","TOT","PC","A","2001",25.2,
"MEX","WASTEWATERTREAT","TOT","PC","A","2002",27.7,
"MEX","WASTEWATERTREAT","TOT","PC","A","2003",29.7,
"MEX","WASTEWATERTREAT","TOT","PC","A","2004",31.5,
"MEX","WASTEWATERTREAT","TOT","PC","A","2005",35,
"MEX","WASTEWATERTREAT","TOT","PC","A","2006",36.1,
"MEX","WASTEWATERTREAT","TOT","PC","A","2007",38.31,
"MEX","WASTEWATERTREAT","TOT","PC","A","2008",40.21,
"MEX","WASTEWATERTREAT","TOT","PC","A","2009",42.14931369,
"MEX","WASTEWATERTREAT","TOT","PC","A","2010",44.76977,
"MEX","WASTEWATERTREAT","TOT","PC","A","2011",46.5,
"MEX","WASTEWATERTREAT","TOT","PC","A","2012",47.46,
"MEX","WASTEWATERTREAT","TOT","PC","A","2013",50.191427360909,
"SVK","WASTEWATERTREAT","TOT","PC","A","1975",18.60000038147,
"SVK","WASTEWATERTREAT","TOT","PC","A","1980",27.319999694824,
"SVK","WASTEWATERTREAT","TOT","PC","A","1985",36.430000305176,
"SVK","WASTEWATERTREAT","TOT","PC","A","1990",43.06,
"SVK","WASTEWATERTREAT","TOT","PC","A","1991",43.03,
"SVK","WASTEWATERTREAT","TOT","PC","A","1992",44.2,
"SVK","WASTEWATERTREAT","TOT","PC","A","1993",46.96,
"SVK","WASTEWATERTREAT","TOT","PC","A","1994",48.24,
"SVK","WASTEWATERTREAT","TOT","PC","A","1995",48.33,
