"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","MLN_M3","A","1977",10900,
"AUS","WATERABST","TOT","MLN_M3","A","1985",14600,
"AUS","WATERABST","TOT","MLN_M3","A","1994",15055,
"AUS","WATERABST","TOT","MLN_M3","A","1995",24071,
"AUS","WATERABST","TOT","MLN_M3","A","1997",24071,
"AUS","WATERABST","TOT","MLN_M3","A","2001",22196,
"AUS","WATERABST","TOT","MLN_M3","A","2005",19336,
"AUS","WATERABST","TOT","MLN_M3","A","2009",14945,
"AUS","WATERABST","TOT","MLN_M3","A","2010",14189,
"AUS","WATERABST","TOT","MLN_M3","A","2011",14060,
"AUS","WATERABST","TOT","M3CAP","A","1977",768.0258592193,
"AUS","WATERABST","TOT","M3CAP","A","1985",924.73484479004,
"AUS","WATERABST","TOT","M3CAP","A","1994",845.54900308902,
"AUS","WATERABST","TOT","M3CAP","A","1995",1336.980670962,
"AUS","WATERABST","TOT","M3CAP","A","1997",1306.7151620433,
"AUS","WATERABST","TOT","M3CAP","A","2001",1151.5434500649,
"AUS","WATERABST","TOT","M3CAP","A","2005",958.27138467638,
"AUS","WATERABST","TOT","M3CAP","A","2009",689.02720147533,
"AUS","WATERABST","TOT","M3CAP","A","2010",644.01779230211,
"AUS","WATERABST","TOT","M3CAP","A","2011",629.36436884512,
"AUT","WATERABST","TOT","MLN_M3","A","1975",2620,
"AUT","WATERABST","TOT","MLN_M3","A","1980",3341.9400634766,
"AUT","WATERABST","TOT","MLN_M3","A","1985",3579.8000488281,
"AUT","WATERABST","TOT","MLN_M3","A","1990",3806.6912841797,
"AUT","WATERABST","TOT","MLN_M3","A","1995",3449.4263916016,
"AUT","WATERABST","TOT","M3CAP","A","1975",345.69660950262,
"AUT","WATERABST","TOT","M3CAP","A","1980",442.67467857983,
"AUT","WATERABST","TOT","M3CAP","A","1985",473.20674951612,
"AUT","WATERABST","TOT","M3CAP","A","1990",495.80209835461,
"AUT","WATERABST","TOT","M3CAP","A","1995",433.9843372047,
"BEL","WATERABST","TOT","MLN_M3","A","1970",9481,
"BEL","WATERABST","TOT","MLN_M3","A","1995",8247.7998046875,
"BEL","WATERABST","TOT","MLN_M3","A","1996",7551.5101318359,
"BEL","WATERABST","TOT","MLN_M3","A","1997",7689.6701049805,
"BEL","WATERABST","TOT","MLN_M3","A","1998",7479.7600097656,
"BEL","WATERABST","TOT","MLN_M3","A","1999",7211.7399902344,
"BEL","WATERABST","TOT","MLN_M3","A","2000",7536.2316894531,
"BEL","WATERABST","TOT","MLN_M3","A","2001",6994.9824829102,
"BEL","WATERABST","TOT","MLN_M3","A","2002",6738.4036254883,
"BEL","WATERABST","TOT","MLN_M3","A","2003",6665.9350585938,
"BEL","WATERABST","TOT","MLN_M3","A","2004",6447.0766601563,
"BEL","WATERABST","TOT","MLN_M3","A","2005",6388.7356567383,
"BEL","WATERABST","TOT","MLN_M3","A","2006",6444.7848510742,
"BEL","WATERABST","TOT","MLN_M3","A","2007",6217.107421875,
"BEL","WATERABST","TOT","MLN_M3","A","2008",6177.4775390625,
"BEL","WATERABST","TOT","MLN_M3","A","2009",6176.1900634766,
"BEL","WATERABST","TOT","M3CAP","A","1970",981.92292984206,
"BEL","WATERABST","TOT","M3CAP","A","1995",813.6484904326,
"BEL","WATERABST","TOT","M3CAP","A","1996",743.5054953233,
"BEL","WATERABST","TOT","M3CAP","A","1997",755.27832837279,
"BEL","WATERABST","TOT","M3CAP","A","1998",733.09418894106,
"BEL","WATERABST","TOT","M3CAP","A","1999",705.20738754321,
"BEL","WATERABST","TOT","M3CAP","A","2000",735.15246330478,
"BEL","WATERABST","TOT","M3CAP","A","2001",680.01114758435,
"BEL","WATERABST","TOT","M3CAP","A","2002",652.13848036726,
"BEL","WATERABST","TOT","M3CAP","A","2003",642.42980127258,
"BEL","WATERABST","TOT","M3CAP","A","2004",618.65428534668,
"BEL","WATERABST","TOT","M3CAP","A","2005",609.69302630722,
"BEL","WATERABST","TOT","M3CAP","A","2006",610.99879424329,
"BEL","WATERABST","TOT","M3CAP","A","2007",585.10096347511,
"BEL","WATERABST","TOT","M3CAP","A","2008",576.79691883174,
"BEL","WATERABST","TOT","M3CAP","A","2009",572.05535589818,
"CAN","WATERABST","TOT","MLN_M3","A","1972",24057,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1981",37508,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1986",42342,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1989",43888,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1991",45090,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1995",47250,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1996",42214,"E"
"CAN","WATERABST","TOT","MLN_M3","A","2005",41955,
"CAN","WATERABST","TOT","MLN_M3","A","2007",41318,
"CAN","WATERABST","TOT","MLN_M3","A","2009",38836,
"CAN","WATERABST","TOT","MLN_M3","A","2011",35351,
"CAN","WATERABST","TOT","M3CAP","A","1972",1082.770726438,
"CAN","WATERABST","TOT","M3CAP","A","1981",1511.0788816373,
"CAN","WATERABST","TOT","M3CAP","A","1986",1622.3610100004,
"CAN","WATERABST","TOT","M3CAP","A","1989",1608.9156096488,
"CAN","WATERABST","TOT","M3CAP","A","1991",1608.1602810446,
"CAN","WATERABST","TOT","M3CAP","A","1995",1612.3759451264,
"CAN","WATERABST","TOT","M3CAP","A","1996",1425.6458458453,
"CAN","WATERABST","TOT","M3CAP","A","2005",1301.1234468684,
"CAN","WATERABST","TOT","M3CAP","A","2007",1254.8166575617,
"CAN","WATERABST","TOT","M3CAP","A","2009",1151.484076664,
"CAN","WATERABST","TOT","M3CAP","A","2011",1025.1426755109,
"CZE","WATERABST","TOT","MLN_M3","A","1970",2904,
"CZE","WATERABST","TOT","MLN_M3","A","1980",3621.8000488281,
"CZE","WATERABST","TOT","MLN_M3","A","1985",3679.4000244141,
"CZE","WATERABST","TOT","MLN_M3","A","1990",3623.0999755859,
"CZE","WATERABST","TOT","MLN_M3","A","1992",3176.7067260742,
"CZE","WATERABST","TOT","MLN_M3","A","1993",3011.7600097656,
"CZE","WATERABST","TOT","MLN_M3","A","1994",2810.9799804688,
"CZE","WATERABST","TOT","MLN_M3","A","1995",2743.200012207,
"CZE","WATERABST","TOT","MLN_M3","A","1996",2569.700012207,"B"
"CZE","WATERABST","TOT","MLN_M3","A","1997",2492.5,
"CZE","WATERABST","TOT","MLN_M3","A","1998",2276.799987793,
"CZE","WATERABST","TOT","MLN_M3","A","1999",1975.799987793,
"CZE","WATERABST","TOT","MLN_M3","A","2000",1917.9999389648,
"CZE","WATERABST","TOT","MLN_M3","A","2001",1838.7000732422,
"CZE","WATERABST","TOT","MLN_M3","A","2002",1908.1999511719,
"CZE","WATERABST","TOT","MLN_M3","A","2003",2116.0899963379,
"CZE","WATERABST","TOT","MLN_M3","A","2004",2027.9999694824,
"CZE","WATERABST","TOT","MLN_M3","A","2005",1949,
"CZE","WATERABST","TOT","MLN_M3","A","2006",1936,
"CZE","WATERABST","TOT","MLN_M3","A","2007",1970,
"CZE","WATERABST","TOT","MLN_M3","A","2008",1988,
"CZE","WATERABST","TOT","MLN_M3","A","2009",1948,
"CZE","WATERABST","TOT","MLN_M3","A","2010",1950,
"CZE","WATERABST","TOT","MLN_M3","A","2011",1886,
"CZE","WATERABST","TOT","MLN_M3","A","2012",1840,
"CZE","WATERABST","TOT","MLN_M3","A","2013",1650,
"CZE","WATERABST","TOT","M3CAP","A","1970",296.17067150468,
"CZE","WATERABST","TOT","M3CAP","A","1980",350.71886182717,
"CZE","WATERABST","TOT","M3CAP","A","1985",355.95361216278,
"CZE","WATERABST","TOT","M3CAP","A","1990",349.62759787874,
"CZE","WATERABST","TOT","M3CAP","A","1992",307.88576823656,
"CZE","WATERABST","TOT","M3CAP","A","1993",291.53747041772,
"CZE","WATERABST","TOT","M3CAP","A","1994",271.95592347406,
"CZE","WATERABST","TOT","M3CAP","A","1995",265.5371022502,
