"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2000",41.21,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2005",34.96,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2006",33.28,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2007",31.81,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2008",30.06,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2009",28.97,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2010",26.79,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2011",25.92,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2012",23.56,
"AUS","EDUADULT","BUPPSRY","PC_25_64","A","2013",24.28,
"AUS","EDUADULT","TRY","PC_25_64","A","2000",27.47,
"AUS","EDUADULT","TRY","PC_25_64","A","2005",31.69,
"AUS","EDUADULT","TRY","PC_25_64","A","2006",33.02,
"AUS","EDUADULT","TRY","PC_25_64","A","2007",33.73,
"AUS","EDUADULT","TRY","PC_25_64","A","2008",36.14,
"AUS","EDUADULT","TRY","PC_25_64","A","2009",36.88,
"AUS","EDUADULT","TRY","PC_25_64","A","2010",37.6,
"AUS","EDUADULT","TRY","PC_25_64","A","2011",38.34,
"AUS","EDUADULT","TRY","PC_25_64","A","2012",41.28,
"AUS","EDUADULT","TRY","PC_25_64","A","2013",39.53,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2000",31.31,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2005",33.34,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2006",33.68,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2007",34.44,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2008",33.78,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2009",34.14,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2010",35.6,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2011",35.73,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2012",35.15,
"AUS","EDUADULT","UPPSRY","PC_25_64","A","2013",36.17,
"AUT","EDUADULT","BUPPSRY","PC_25_64","A","2000",23.89,
