"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","15_19","PC_AGE","A","2013",86.3,
"AUS","ENROLMENT","20_29","PC_AGE","A","2013",34,
"AUT","ENROLMENT","15_19","PC_AGE","A","2013",79.2,
"AUT","ENROLMENT","20_29","PC_AGE","A","2013",26.6,
"BEL","ENROLMENT","15_19","PC_AGE","A","2013",91.8,
"BEL","ENROLMENT","20_29","PC_AGE","A","2013",34.2,
"CAN","ENROLMENT","15_19","PC_AGE","A","2013",73.1,
"CAN","ENROLMENT","20_29","PC_AGE","A","2013",22,
"CZE","ENROLMENT","15_19","PC_AGE","A","2013",89.9,
"CZE","ENROLMENT","20_29","PC_AGE","A","2013",26,
"DNK","ENROLMENT","15_19","PC_AGE","A","2013",87.5,
"DNK","ENROLMENT","20_29","PC_AGE","A","2013",44.9,
"FIN","ENROLMENT","15_19","PC_AGE","A","2013",86.1,
"FIN","ENROLMENT","20_29","PC_AGE","A","2013",41.3,
"FRA","ENROLMENT","15_19","PC_AGE","A","2013",84.9,
"FRA","ENROLMENT","20_29","PC_AGE","A","2013",21,
"DEU","ENROLMENT","15_19","PC_AGE","A","2013",89.2,
"DEU","ENROLMENT","20_29","PC_AGE","A","2013",33.5,
"GRC","ENROLMENT","15_19","PC_AGE","A","2013",,"M"
"GRC","ENROLMENT","20_29","PC_AGE","A","2013",,"M"
"HUN","ENROLMENT","15_19","PC_AGE","A","2013",87.4,
"HUN","ENROLMENT","20_29","PC_AGE","A","2013",27.3,
"ISL","ENROLMENT","15_19","PC_AGE","A","2013",88,
"ISL","ENROLMENT","20_29","PC_AGE","A","2013",40.4,
"IRL","ENROLMENT","15_19","PC_AGE","A","2013",96.7,
"IRL","ENROLMENT","20_29","PC_AGE","A","2013",22.1,
"ITA","ENROLMENT","15_19","PC_AGE","A","2013",77.7,
"ITA","ENROLMENT","20_29","PC_AGE","A","2013",25.2,
"KOR","ENROLMENT","15_19","PC_AGE","A","2013",87.1,
"KOR","ENROLMENT","20_29","PC_AGE","A","2013",31.4,
"LUX","ENROLMENT","15_19","PC_AGE","A","2013",77.7,
"LUX","ENROLMENT","20_29","PC_AGE","A","2013",12.8,
"MEX","ENROLMENT","15_19","PC_AGE","A","2013",54,
"MEX","ENROLMENT","20_29","PC_AGE","A","2013",14,
"NLD","ENROLMENT","15_19","PC_AGE","A","2013",91.3,
"NLD","ENROLMENT","20_29","PC_AGE","A","2013",31.3,
"NZL","ENROLMENT","15_19","PC_AGE","A","2013",83.7,
"NZL","ENROLMENT","20_29","PC_AGE","A","2013",27.5,
"NOR","ENROLMENT","15_19","PC_AGE","A","2013",86.9,
"NOR","ENROLMENT","20_29","PC_AGE","A","2013",30.3,
"POL","ENROLMENT","15_19","PC_AGE","A","2013",90.1,
"POL","ENROLMENT","20_29","PC_AGE","A","2013",33,
"PRT","ENROLMENT","15_19","PC_AGE","A","2013",88.4,
"PRT","ENROLMENT","20_29","PC_AGE","A","2013",24.2,
"SVK","ENROLMENT","15_19","PC_AGE","A","2013",84.6,
"SVK","ENROLMENT","20_29","PC_AGE","A","2013",20.8,
"ESP","ENROLMENT","15_19","PC_AGE","A","2013",87.1,
"ESP","ENROLMENT","20_29","PC_AGE","A","2013",29.3,
"SWE","ENROLMENT","15_19","PC_AGE","A","2013",85.9,
"SWE","ENROLMENT","20_29","PC_AGE","A","2013",34.9,
"CHE","ENROLMENT","15_19","PC_AGE","A","2013",85.7,
"CHE","ENROLMENT","20_29","PC_AGE","A","2013",26.3,
"TUR","ENROLMENT","15_19","PC_AGE","A","2013",69.1,
"TUR","ENROLMENT","20_29","PC_AGE","A","2013",30.9,
"GBR","ENROLMENT","15_19","PC_AGE","A","2013",81.4,
"GBR","ENROLMENT","20_29","PC_AGE","A","2013",21,
"USA","ENROLMENT","15_19","PC_AGE","A","2013",80.8,
"USA","ENROLMENT","20_29","PC_AGE","A","2013",26,
"ARG","ENROLMENT","15_19","PC_AGE","A","2013",,"M"
"ARG","ENROLMENT","20_29","PC_AGE","A","2013",,"M"
"BRA","ENROLMENT","15_19","PC_AGE","A","2013",69.6,
"BRA","ENROLMENT","20_29","PC_AGE","A","2013",19.7,
"CHL","ENROLMENT","15_19","PC_AGE","A","2013",78.8,
"CHL","ENROLMENT","20_29","PC_AGE","A","2013",28.4,
"CHN","ENROLMENT","15_19","PC_AGE","A","2013",,"M"
"COL","ENROLMENT","15_19","PC_AGE","A","2013",57,
"COL","ENROLMENT","20_29","PC_AGE","A","2013",16.9,
"EST","ENROLMENT","15_19","PC_AGE","A","2013",87.2,
"EST","ENROLMENT","20_29","PC_AGE","A","2013",29.7,
"IDN","ENROLMENT","15_19","PC_AGE","A","2013",70.8,
"IDN","ENROLMENT","20_29","PC_AGE","A","2013",12.6,
