"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","2000",31.37,
"AUS","EDUTRY","25_34","PC_AGE","A","2005",38.09,
"AUS","EDUTRY","25_34","PC_AGE","A","2006",38.8,
"AUS","EDUTRY","25_34","PC_AGE","A","2007",40.72,
"AUS","EDUTRY","25_34","PC_AGE","A","2008",41.99,
"AUS","EDUTRY","25_34","PC_AGE","A","2009",44.77,
"AUS","EDUTRY","25_34","PC_AGE","A","2010",44.37,
"AUS","EDUTRY","25_34","PC_AGE","A","2011",44.61,
"AUS","EDUTRY","25_34","PC_AGE","A","2012",47.23,
"AUS","EDUTRY","25_34","PC_AGE","A","2013",45.74,
"AUT","EDUTRY","25_34","PC_AGE","A","2000",14.48,
"AUT","EDUTRY","25_34","PC_AGE","A","2005",19.71,
"AUT","EDUTRY","25_34","PC_AGE","A","2006",19.16,
"AUT","EDUTRY","25_34","PC_AGE","A","2007",18.9,
"AUT","EDUTRY","25_34","PC_AGE","A","2008",19.39,
"AUT","EDUTRY","25_34","PC_AGE","A","2009",21.06,
"AUT","EDUTRY","25_34","PC_AGE","A","2010",20.76,
"AUT","EDUTRY","25_34","PC_AGE","A","2011",21.16,
"AUT","EDUTRY","25_34","PC_AGE","A","2012",23.02,
"AUT","EDUTRY","25_34","PC_AGE","A","2013",25.04,
"BEL","EDUTRY","25_34","PC_AGE","A","2000",36.02,
"BEL","EDUTRY","25_34","PC_AGE","A","2005",40.6,
"BEL","EDUTRY","25_34","PC_AGE","A","2006",41.86,
"BEL","EDUTRY","25_34","PC_AGE","A","2007",41.33,
"BEL","EDUTRY","25_34","PC_AGE","A","2008",42.27,
"BEL","EDUTRY","25_34","PC_AGE","A","2009",42.48,
"BEL","EDUTRY","25_34","PC_AGE","A","2010",43.8,
"BEL","EDUTRY","25_34","PC_AGE","A","2011",42.45,
"BEL","EDUTRY","25_34","PC_AGE","A","2012",42.98,
"BEL","EDUTRY","25_34","PC_AGE","A","2013",42.66,
"CAN","EDUTRY","25_34","PC_AGE","A","2000",48.39,
"CAN","EDUTRY","25_34","PC_AGE","A","2005",53.66,
"CAN","EDUTRY","25_34","PC_AGE","A","2006",54.71,
"CAN","EDUTRY","25_34","PC_AGE","A","2007",55.7,
"CAN","EDUTRY","25_34","PC_AGE","A","2008",55.75,
"CAN","EDUTRY","25_34","PC_AGE","A","2009",56.04,
"CAN","EDUTRY","25_34","PC_AGE","A","2010",56.47,
"CAN","EDUTRY","25_34","PC_AGE","A","2011",56.7,
"CAN","EDUTRY","25_34","PC_AGE","A","2012",57.26,
"CAN","EDUTRY","25_34","PC_AGE","A","2013",57.82,
"CZE","EDUTRY","25_34","PC_AGE","A","2000",11.19,
"CZE","EDUTRY","25_34","PC_AGE","A","2005",14.23,
"CZE","EDUTRY","25_34","PC_AGE","A","2006",15.24,
"CZE","EDUTRY","25_34","PC_AGE","A","2007",15.47,
"CZE","EDUTRY","25_34","PC_AGE","A","2008",17.67,
