"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","EDUEXP","TRY","USD_STUDENT","A","2012",10319,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2012",15281.3,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2012",8876,
"SAU","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"AUS","EDUEXP","TRY","USD_STUDENT","A","2012",16858.5,
"CAN","EDUEXP","TRY","USD_STUDENT","A","2012",22006.1,
"FIN","EDUEXP","TRY","USD_STUDENT","A","2012",17863.4,
"USA","EDUEXP","TRY","USD_STUDENT","A","2012",26561.9,
"MEX","EDUEXP","TRY","USD_STUDENT","A","2012",8115.4,
"NOR","EDUEXP","TRY","USD_STUDENT","A","2012",20016.4,
"SVK","EDUEXP","TRY","USD_STUDENT","A","2012",9022.4,
"ISR","EDUEXP","TRY","USD_STUDENT","A","2012",12337.5,
"RUS","EDUEXP","TRY","USD_STUDENT","A","2012",8362.6,
"DNK","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"DEU","EDUEXP","TRY","USD_STUDENT","A","2012",17157,
"ISL","EDUEXP","TRY","USD_STUDENT","A","2012",9377,
"JPN","EDUEXP","TRY","USD_STUDENT","A","2012",16871.7,
"BEL","EDUEXP","TRY","USD_STUDENT","A","2012",15502.8,
"SWE","EDUEXP","TRY","USD_STUDENT","A","2012",22534.4,
"GBR","EDUEXP","TRY","USD_STUDENT","A","2012",24338.4,
"CHN","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"LUX","EDUEXP","TRY","USD_STUDENT","A","2012",32876.5,
"IDN","EDUEXP","TRY","USD_STUDENT","A","2012",2088.5,
"SVN","EDUEXP","TRY","USD_STUDENT","A","2012",11001.8,
"GRC","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"KOR","EDUEXP","TRY","USD_STUDENT","A","2012",9866.2,
"NLD","EDUEXP","TRY","USD_STUDENT","A","2012",19276.1,
"IND","EDUEXP","TRY","USD_STUDENT","A","2012",,"M"
"TUR","EDUEXP","TRY","USD_STUDENT","A","2012",7778.6,
"LVA","EDUEXP","TRY","USD_STUDENT","A","2012",5261.6,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",8790,
"BEL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",11007.3,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10226,
"CZE","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",6418.6,
"DNK","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10780.4,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9352.6,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9337.5,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9843.2,
"HUN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",4371.4,
"ISL","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9333,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9408.2,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",7934.4,
