"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDENT","PRY_NTRY","IDX2005","A","1995",87.26,
"AUS","STUDENT","PRY_NTRY","IDX2005","A","2000",92.93,
"AUS","STUDENT","PRY_NTRY","IDX2005","A","2008",99.57,
"AUS","STUDENT","PRY_NTRY","IDX2005","A","2009",99.74,
"AUS","STUDENT","PRY_NTRY","IDX2005","A","2010",101.13,
"AUS","STUDENT","PRY_NTRY","IDX2005","A","2011",103.46,
"AUT","STUDENT","PRY_NTRY","IDX2005","A","2000",101.19,
"AUT","STUDENT","PRY_NTRY","IDX2005","A","2008",97.78,
"AUT","STUDENT","PRY_NTRY","IDX2005","A","2009",96.9,
"AUT","STUDENT","PRY_NTRY","IDX2005","A","2010",95.2,
"AUT","STUDENT","PRY_NTRY","IDX2005","A","2011",94.35,
"BEL","STUDENT","PRY_NTRY","IDX2005","A","2000",90.89,
"BEL","STUDENT","PRY_NTRY","IDX2005","A","2008",96.13,
"BEL","STUDENT","PRY_NTRY","IDX2005","A","2009",95.69,
"BEL","STUDENT","PRY_NTRY","IDX2005","A","2010",95.45,
"BEL","STUDENT","PRY_NTRY","IDX2005","A","2011",95.54,
"CAN","STUDENT","PRY_NTRY","IDX2005","A","2000",99.12,
"CAN","STUDENT","PRY_NTRY","IDX2005","A","2008",99.68,
"CAN","STUDENT","PRY_NTRY","IDX2005","A","2009",98.7,
"CAN","STUDENT","PRY_NTRY","IDX2005","A","2010",98.01,
"CAN","STUDENT","PRY_NTRY","IDX2005","A","2011",96.88,
"CZE","STUDENT","PRY_NTRY","IDX2005","A","1995",114.55,
"CZE","STUDENT","PRY_NTRY","IDX2005","A","2000",107.35,
"CZE","STUDENT","PRY_NTRY","IDX2005","A","2008",92.59,
"CZE","STUDENT","PRY_NTRY","IDX2005","A","2009",90.62,
"CZE","STUDENT","PRY_NTRY","IDX2005","A","2010",88.69,
"CZE","STUDENT","PRY_NTRY","IDX2005","A","2011",86.83,
"DNK","STUDENT","PRY_NTRY","IDX2005","A","1995",91.43,
"DNK","STUDENT","PRY_NTRY","IDX2005","A","2000",95.14,
"DNK","STUDENT","PRY_NTRY","IDX2005","A","2008",98.63,
"DNK","STUDENT","PRY_NTRY","IDX2005","A","2009",100.85,
"DNK","STUDENT","PRY_NTRY","IDX2005","A","2010",105.06,
"DNK","STUDENT","PRY_NTRY","IDX2005","A","2011",110.75,
"FIN","STUDENT","PRY_NTRY","IDX2005","A","1995",88.47,
"FIN","STUDENT","PRY_NTRY","IDX2005","A","2000",95.36,
"FIN","STUDENT","PRY_NTRY","IDX2005","A","2008",100.59,
