"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.7,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"DNK","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"FIN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1,
"FRA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"DEU","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"ISL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1,
"IRL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"ITA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1,
"JPN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1,
"KOR","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.5,
"MEX","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.4,
"NLD","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.3,
"NZL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.7,
"NOR","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"POL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1,
"PRT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.4,
"SVK","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.1,
"ESP","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"SWE","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"GBR","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.6,
"USA","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.4,
"CHL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.5,
"EST","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"IDN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"ISR","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.7,
"RUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.5,
"SVN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"AUS","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.6,
"AUT","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"BEL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"CAN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.3,
"CZE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"DNK","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"FRA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"DEU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"ISL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"IRL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"ITA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.1,
"JPN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"KOR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.5,
"LUX","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"MEX","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.5,
"NLD","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.3,
"NZL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.8,
"POL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"SVK","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"ESP","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.3,
"CHE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.4,
"USA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.3,
"CHL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.8,
"EST","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"IDN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"ISR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.4,
"RUS","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.1,
"SVN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.2,
"FIN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"GRC","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"GRC","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"HUN","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.4,
"HUN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.1,
"LUX","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"NOR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"PRT","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.5,
"SWE","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"CHE","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"TUR","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.2,
"TUR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.4,
"GBR","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.5,
"ARG","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"ARG","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"BRA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0,
"BRA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"CHN","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"CHN","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"COL","EDUPRIVEXP","TRY","PC_GDP","A","2012",1,
"COL","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0.9,
"IND","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"IND","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"LVA","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.3,
"LVA","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",0,
"SAU","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"SAU","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"ZAF","EDUPRIVEXP","TRY","PC_GDP","A","2012",,"M"
"ZAF","EDUPRIVEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
