"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"AUT","EDUPUBEXP","TRY","PC_GDP","A","2012",1.7,
"BEL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"CAN","EDUPUBEXP","TRY","PC_GDP","A","2012",1.5,
"CZE","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"DNK","EDUPUBEXP","TRY","PC_GDP","A","2012",,"M"
"FIN","EDUPUBEXP","TRY","PC_GDP","A","2012",1.8,
"FRA","EDUPUBEXP","TRY","PC_GDP","A","2012",1.3,
"DEU","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"HUN","EDUPUBEXP","TRY","PC_GDP","A","2012",0.8,
"ISL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.1,
"IRL","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"ITA","EDUPUBEXP","TRY","PC_GDP","A","2012",0.8,
"JPN","EDUPUBEXP","TRY","PC_GDP","A","2012",0.5,
"KOR","EDUPUBEXP","TRY","PC_GDP","A","2012",0.8,
"MEX","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"NLD","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"NZL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2012",1.6,
"POL","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2012",1.5,
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"USA","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2012",1,
"EST","EDUPUBEXP","TRY","PC_GDP","A","2012",1.4,
"IND","EDUPUBEXP","TRY","PC_GDP","A","2012",,"M"
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2012",0.6,
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2012",0.9,
"SVN","EDUPUBEXP","TRY","PC_GDP","A","2012",1.2,
"ZAF","EDUPUBEXP","TRY","PC_GDP","A","2012",0.7,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.4,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.1,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.3,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.2,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.6,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.7,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.9,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.6,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.9,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.6,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.5,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.2,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.9,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.7,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.2,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.3,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.4,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.5,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.2,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.6,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.2,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.9,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.5,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.8,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.7,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.5,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.3,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.6,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.8,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.2,
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.3,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4,
"RUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",2.2,
"SVN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",3.5,
"ZAF","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2012",4.7,
"AUS","EDUPUBEXP","TRY","PC_PUBEXP","A","2012",3.4,
"AUS","EDUPUBEXP","PRY_NTRY","PC_PUBEXP","A","2012",10.1,
"AUT","EDUPUBEXP","TRY","PC_PUBEXP","A","2012",3.5,
"AUT","EDUPUBEXP","PRY_NTRY","PC_PUBEXP","A","2012",6.1,
"BEL","EDUPUBEXP","TRY","PC_PUBEXP","A","2012",2.7,
