"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",53.2,
"CZE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.3,
"DNK","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.9,
"FIN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",51.2,
"FRA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52,
"ISL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.9,
"ITA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",57,
"JPN","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",57,
"KOR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",58.8,
"MEX","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",51.9,
"NLD","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.2,
"NOR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.1,
"POL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",49.9,
"PRT","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.1,
"SVK","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.5,
"ESP","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",49.4,
"SWE","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",50.7,
"BRA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",45,
"BGR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",51.1,
"CHL","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",53.7,
"HRV","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52,
"EST","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.2,
"ISR","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",48.9,
"LVA","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.9,
"MYS","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",53.5,
"ROU","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",46.7,
"SGP","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",48.3,
"SRB","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",49,
"OAVG","PRINCIPAL","LOWSRY_AVGAGE","YR","A","2013",52.4,
