"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2012",51289,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2012",42994,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2012",58495,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2012",19363,
"DNK","TEACHERSALARY","PRY15YREXP","USD","A","2012",51122,
"FIN","TEACHERSALARY","PRY15YREXP","USD","A","2012",39445,
"FRA","TEACHERSALARY","PRY15YREXP","USD","A","2012",33994,
"DEU","TEACHERSALARY","PRY15YREXP","USD","A","2012",62195,
"GRC","TEACHERSALARY","PRY15YREXP","USD","A","2012",26617,
"HUN","TEACHERSALARY","PRY15YREXP","USD","A","2012",13520,
"ISL","TEACHERSALARY","PRY15YREXP","USD","A","2012",28742,
"IRL","TEACHERSALARY","PRY15YREXP","USD","A","2012",55148,
"ITA","TEACHERSALARY","PRY15YREXP","USD","A","2012",33570,
"JPN","TEACHERSALARY","PRY15YREXP","USD","A","2012",47561,
"KOR","TEACHERSALARY","PRY15YREXP","USD","A","2012",50145,
"LUX","TEACHERSALARY","PRY15YREXP","USD","A","2012",98788,
"MEX","TEACHERSALARY","PRY15YREXP","USD","A","2012",20296,
"NLD","TEACHERSALARY","PRY15YREXP","USD","A","2012",54865,
"NZL","TEACHERSALARY","PRY15YREXP","USD","A","2012",43050,
"NOR","TEACHERSALARY","PRY15YREXP","USD","A","2012",38773,
"POL","TEACHERSALARY","PRY15YREXP","USD","A","2012",18160,
"PRT","TEACHERSALARY","PRY15YREXP","USD","A","2012",34694,
"SVK","TEACHERSALARY","PRY15YREXP","USD","A","2012",13365,
"ESP","TEACHERSALARY","PRY15YREXP","USD","A","2012",41862,
"SWE","TEACHERSALARY","PRY15YREXP","USD","A","2012",35115,
"TUR","TEACHERSALARY","PRY15YREXP","USD","A","2012",26678,
"USA","TEACHERSALARY","PRY15YREXP","USD","A","2012",45998,
"CHL","TEACHERSALARY","PRY15YREXP","USD","A","2012",24725,
"EST","TEACHERSALARY","PRY15YREXP","USD","A","2012",12525,
"IDN","TEACHERSALARY","PRY15YREXP","USD","A","2012",1974,
"ISR","TEACHERSALARY","PRY15YREXP","USD","A","2012",29413,
"SVN","TEACHERSALARY","PRY15YREXP","USD","A","2012",32819,
"OAVG","TEACHERSALARY","PRY15YREXP","USD","A","2012",39024,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",92,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",97,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",98,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",102,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",100,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",102,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",105,
"AUS","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",105,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",92,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",96,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",97,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",100,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",100,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",102,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",104,
"AUS","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",104,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",94,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",101,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",102,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",102,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",104,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",105,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",103,
"AUT","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",102,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",90,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",100,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",101,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",101,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",103,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",104,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",102,
"AUT","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",101,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",66,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",100,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",123,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",123,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",123,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",118,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",119,
"CZE","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",104,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",56,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",101,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",117,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",115,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",117,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",112,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",112,
"CZE","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",102,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",90,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",103,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",101,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",103,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",114,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",114,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",111,
"DNK","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",108,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",94,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",101,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",101,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",104,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",122,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",119,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",116,
"DNK","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",114,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",91,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",101,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",103,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",103,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",103,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",102,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",101,
"FIN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",101,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",86,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",101,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",103,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",104,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",104,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",103,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",102,
"FIN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",100,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",104,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",99,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",98,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",96,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",96,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",97,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",97,
"FRA","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",95,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",105,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",99,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",98,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",97,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",96,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",97,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",96,
"FRA","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",94,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",89,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",100,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",101,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",103,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",104,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",92,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",86,
"GRC","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",77,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",89,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",100,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",101,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",103,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",104,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",92,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",86,
"GRC","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",77,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",63,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",94,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",93,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",88,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",78,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",74,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",71,
"HUN","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",65,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",63,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",98,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2007",93,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2008",92,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2009",81,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2010",78,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2011",75,
"HUN","TEACHERSALARY","PRY15YREXP","IDX2005","A","2012",71,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2000",90,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2005",100,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2006",109,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2007",108,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2008",105,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2009",96,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2010",89,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2011",86,
"ISL","TEACHERSALARY","LOWSRY_15YREXP","IDX2005","A","2012",87,
"ISL","TEACHERSALARY","PRY15YREXP","IDX2005","A","2000",89,
"ISL","TEACHERSALARY","PRY15YREXP","IDX2005","A","2005",100,
"ISL","TEACHERSALARY","PRY15YREXP","IDX2005","A","2006",105,
