"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.4,
"CZE","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.2,
"DNK","TEACHER","LOWSRY_AVGAGE","YR","A","2013",45,
"FIN","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.1,
"FRA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.6,
"ISL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.6,
"ITA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",48.9,
"JPN","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.9,
"KOR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.4,
"MEX","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.1,
"NLD","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.2,
"NOR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.2,
"POL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.9,
"PRT","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44.7,
"SVK","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.4,
"ESP","TEACHER","LOWSRY_AVGAGE","YR","A","2013",45.6,
"SWE","TEACHER","LOWSRY_AVGAGE","YR","A","2013",46,
"BRA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",39.2,
"BGR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",47.4,
"CHL","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.3,
"HRV","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.6,
"EST","TEACHER","LOWSRY_AVGAGE","YR","A","2013",47.9,
"ISR","TEACHER","LOWSRY_AVGAGE","YR","A","2013",42.1,
"LVA","TEACHER","LOWSRY_AVGAGE","YR","A","2013",47.1,
"MYS","TEACHER","LOWSRY_AVGAGE","YR","A","2013",38.9,
"ROU","TEACHER","LOWSRY_AVGAGE","YR","A","2013",41.6,
"SGP","TEACHER","LOWSRY_AVGAGE","YR","A","2013",36,
"SRB","TEACHER","LOWSRY_AVGAGE","YR","A","2013",43.1,
"OAVG","TEACHER","LOWSRY_AVGAGE","YR","A","2013",44,
