"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TEACHINGSTAFF","PRY","NBR","A","2005",,"M"
"AUT","TEACHINGSTAFF","PRY","NBR","A","2010",29440.509,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2011",29745.343,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2012",30000.364,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2013",30565.955,
"BEL","TEACHINGSTAFF","ALLLEVEL","NBR","A","2005",186732,
"BEL","TEACHINGSTAFF","ALLLEVEL","NBR","A","2010",192954,
"BEL","TEACHINGSTAFF","ALLLEVEL","NBR","A","2011",189135,
"BEL","TEACHINGSTAFF","ALLLEVEL","NBR","A","2012",190496,
"BEL","TEACHINGSTAFF","ALLLEVEL","NBR","A","2013",265355,
"CZE","TEACHINGSTAFF","ALLLEVEL","NBR","A","2005",128017,
"CZE","TEACHINGSTAFF","ALLLEVEL","NBR","A","2010",101009.6,
"CZE","TEACHINGSTAFF","ALLLEVEL","NBR","A","2011",98338.8,
"CZE","TEACHINGSTAFF","ALLLEVEL","NBR","A","2012",96893.4,
"CZE","TEACHINGSTAFF","ALLLEVEL","NBR","A","2013",137918.5,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2005",30952,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2010",24769.3,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2011",24880.2,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2012",25161.1,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2013",25979.1,
"FIN","TEACHINGSTAFF","ALLLEVEL","NBR","A","2005",66559,
"FIN","TEACHINGSTAFF","ALLLEVEL","NBR","A","2010",67812,
"FIN","TEACHINGSTAFF","ALLLEVEL","NBR","A","2011",69774,
"FIN","TEACHINGSTAFF","ALLLEVEL","NBR","A","2012",70452,
"FIN","TEACHINGSTAFF","ALLLEVEL","NBR","A","2013",103158,
"FIN","TEACHINGSTAFF","PRY","NBR","A","2005",24577,
"FIN","TEACHINGSTAFF","PRY","NBR","A","2010",24736,
"FIN","TEACHINGSTAFF","PRY","NBR","A","2011",25281,
"FIN","TEACHINGSTAFF","PRY","NBR","A","2012",25609,
"FIN","TEACHINGSTAFF","PRY","NBR","A","2013",26402,
"FRA","TEACHINGSTAFF","ALLLEVEL","NBR","A","2005",744473,
"FRA","TEACHINGSTAFF","ALLLEVEL","NBR","A","2010",697270,
"FRA","TEACHINGSTAFF","ALLLEVEL","NBR","A","2011",702117,
"FRA","TEACHINGSTAFF","ALLLEVEL","NBR","A","2012",694590,
"FRA","TEACHINGSTAFF","ALLLEVEL","NBR","A","2013",922297,
"FRA","TEACHINGSTAFF","PRY","NBR","A","2005",216411,
"FRA","TEACHINGSTAFF","PRY","NBR","A","2010",234098,
"FRA","TEACHINGSTAFF","PRY","NBR","A","2011",238141,
"FRA","TEACHINGSTAFF","PRY","NBR","A","2012",233262,
"FRA","TEACHINGSTAFF","PRY","NBR","A","2013",229471,
"DEU","TEACHINGSTAFF","ALLLEVEL","NBR","A","2005",887577.757,
"DEU","TEACHINGSTAFF","ALLLEVEL","NBR","A","2010",1462159.554,
"DEU","TEACHINGSTAFF","ALLLEVEL","NBR","A","2011",1506280.125,
"DEU","TEACHINGSTAFF","ALLLEVEL","NBR","A","2012",1525028.442,
"DEU","TEACHINGSTAFF","ALLLEVEL","NBR","A","2013",1547085.605,
"DEU","TEACHINGSTAFF","PRY","NBR","A","2005",222132.806,
"DEU","TEACHINGSTAFF","PRY","NBR","A","2010",228673.76,
