"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",65.41,
"AUT","WOMENTEACHER","PRY","PC_TEACHER","A","2013",91.11,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2013",42.101,
"BEL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",69.627,
"BEL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",81.603,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2013",46.877,
"CAN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",73.274,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",49.364,
"CZE","WOMENTEACHER","PRY","PC_TEACHER","A","2013",96.804,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2013",38.003,
"FIN","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",71.472,
"FIN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",79.339,
"FIN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",50.689,
"FRA","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",65.898,
"FRA","WOMENTEACHER","PRY","PC_TEACHER","A","2013",83.036,
"FRA","WOMENTEACHER","TRY","PC_TEACHER","A","2013",37.232,
"DEU","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",65.333,
"DEU","WOMENTEACHER","PRY","PC_TEACHER","A","2013",86.19,
"DEU","WOMENTEACHER","TRY","PC_TEACHER","A","2013",37.711,
"HUN","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",75.707,
"HUN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",95.585,
"HUN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",38.781,
"ISL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",86.407,"M"
"ISL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",81.773,
"ISL","WOMENTEACHER","TRY","PC_TEACHER","A","2013",,"M"
"IRL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",86.303,
"ITA","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",78.309,
"ITA","WOMENTEACHER","PRY","PC_TEACHER","A","2013",95.941,
"ITA","WOMENTEACHER","TRY","PC_TEACHER","A","2013",36.893,
"JPN","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",47.693,
"JPN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",65.028,
"JPN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",25.175,
"KOR","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",60.377,
"KOR","WOMENTEACHER","PRY","PC_TEACHER","A","2013",78.639,
"KOR","WOMENTEACHER","TRY","PC_TEACHER","A","2013",34.6,
"LUX","WOMENTEACHER","PRY","PC_TEACHER","A","2013",75.982,
"LUX","WOMENTEACHER","TRY","PC_TEACHER","A","2013",,"M"
"MEX","WOMENTEACHER","PRY","PC_TEACHER","A","2013",67.299,
"NLD","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",65.809,
"NLD","WOMENTEACHER","PRY","PC_TEACHER","A","2013",85.648,
"NLD","WOMENTEACHER","TRY","PC_TEACHER","A","2013",43.184,
"NZL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",69.922,
"NZL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",83.397,
"NZL","WOMENTEACHER","TRY","PC_TEACHER","A","2013",48.702,
"NOR","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",68.97,
"NOR","WOMENTEACHER","PRY","PC_TEACHER","A","2013",74.833,
"NOR","WOMENTEACHER","TRY","PC_TEACHER","A","2013",45.063,
"POL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",73.677,
"POL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",85.336,
"POL","WOMENTEACHER","TRY","PC_TEACHER","A","2013",44.094,
"PRT","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",70.036,
"PRT","WOMENTEACHER","PRY","PC_TEACHER","A","2013",79.215,
"PRT","WOMENTEACHER","TRY","PC_TEACHER","A","2013",44.045,
"SVK","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",75.956,
"SVK","WOMENTEACHER","PRY","PC_TEACHER","A","2013",89.516,
"SVK","WOMENTEACHER","TRY","PC_TEACHER","A","2013",44.685,
"ESP","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",63.865,"M"
"ESP","WOMENTEACHER","PRY","PC_TEACHER","A","2013",75.881,
"ESP","WOMENTEACHER","TRY","PC_TEACHER","A","2013",40.693,
"SWE","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",74.033,
"SWE","WOMENTEACHER","PRY","PC_TEACHER","A","2013",76.976,
"SWE","WOMENTEACHER","TRY","PC_TEACHER","A","2013",43.767,
"CHE","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",59.71,"M"
"CHE","WOMENTEACHER","PRY","PC_TEACHER","A","2013",82.361,
"CHE","WOMENTEACHER","TRY","PC_TEACHER","A","2013",,"M"
"TUR","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",52.997,
"TUR","WOMENTEACHER","PRY","PC_TEACHER","A","2013",57.83,
"TUR","WOMENTEACHER","TRY","PC_TEACHER","A","2013",41.565,
"GBR","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",68.848,
"GBR","WOMENTEACHER","PRY","PC_TEACHER","A","2013",86.984,
"GBR","WOMENTEACHER","TRY","PC_TEACHER","A","2013",44.146,
"USA","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",69.588,
"USA","WOMENTEACHER","PRY","PC_TEACHER","A","2013",87.156,
"USA","WOMENTEACHER","TRY","PC_TEACHER","A","2013",48.592,
"BRA","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",72.156,
"BRA","WOMENTEACHER","PRY","PC_TEACHER","A","2013",89.769,
"BRA","WOMENTEACHER","TRY","PC_TEACHER","A","2013",45.111,
"CHL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",73.773,
"CHL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",80.937,
"CHL","WOMENTEACHER","TRY","PC_TEACHER","A","2013",,"M"
"CHN","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",58.194,
"CHN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",59.877,
"CHN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",45.062,
"COL","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",61.078,
"COL","WOMENTEACHER","PRY","PC_TEACHER","A","2013",77.408,
"EST","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",88.232,"M"
"EST","WOMENTEACHER","PRY","PC_TEACHER","A","2013",91.967,
"IDN","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",59.996,
"IDN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",62.418,
"IDN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",38.516,
"ISR","WOMENTEACHER","PRY","PC_TEACHER","A","2013",84.999,
"RUS","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",82.037,
"RUS","WOMENTEACHER","PRY","PC_TEACHER","A","2013",98.882,
"RUS","WOMENTEACHER","TRY","PC_TEACHER","A","2013",58.156,
"SAU","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",,"M"
"SAU","WOMENTEACHER","PRY","PC_TEACHER","A","2013",,"M"
"SAU","WOMENTEACHER","TRY","PC_TEACHER","A","2013",,"M"
"SVN","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",75.118,
"SVN","WOMENTEACHER","PRY","PC_TEACHER","A","2013",97.093,
"SVN","WOMENTEACHER","TRY","PC_TEACHER","A","2013",39.741,
"AUS","WOMENTEACHER","ALLLEVEL","PC_TEACHER","A","2013",44.012,"M"
"AUS","WOMENTEACHER","PRY","PC_TEACHER","A","2013",,"M"
