"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","BOY","MEANSCORE","A","2000",513,
"AUS","PISAREAD","BOY","MEANSCORE","A","2003",506,
"AUS","PISAREAD","BOY","MEANSCORE","A","2006",495,
"AUS","PISAREAD","BOY","MEANSCORE","A","2009",496,
"AUS","PISAREAD","BOY","MEANSCORE","A","2012",495.09,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2000",546,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2003",545,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2006",532,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2009",533,
"AUS","PISAREAD","GIRL","MEANSCORE","A","2012",529.542,
"AUT","PISAREAD","BOY","MEANSCORE","A","2000",476,
"AUT","PISAREAD","BOY","MEANSCORE","A","2003",467,
"AUT","PISAREAD","BOY","MEANSCORE","A","2006",468,
"AUT","PISAREAD","BOY","MEANSCORE","A","2012",471.093,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2000",509,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2003",514,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2006",513,
"AUT","PISAREAD","GIRL","MEANSCORE","A","2012",508.021,
"BEL","PISAREAD","BOY","MEANSCORE","A","2000",492,
"BEL","PISAREAD","BOY","MEANSCORE","A","2003",489,
"BEL","PISAREAD","BOY","MEANSCORE","A","2006",482,
"BEL","PISAREAD","BOY","MEANSCORE","A","2009",493,
"BEL","PISAREAD","BOY","MEANSCORE","A","2012",492.755,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2000",525,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2003",526,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2006",522,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2009",520,
"BEL","PISAREAD","GIRL","MEANSCORE","A","2012",524.602,
"CAN","PISAREAD","BOY","MEANSCORE","A","2000",519,
"CAN","PISAREAD","BOY","MEANSCORE","A","2003",514,
"CAN","PISAREAD","BOY","MEANSCORE","A","2006",511,
"CAN","PISAREAD","BOY","MEANSCORE","A","2009",507,
"CAN","PISAREAD","BOY","MEANSCORE","A","2012",505.512,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2000",551,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2003",546,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2006",543,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2009",542,
"CAN","PISAREAD","GIRL","MEANSCORE","A","2012",540.657,
"CZE","PISAREAD","BOY","MEANSCORE","A","2000",473,
"CZE","PISAREAD","BOY","MEANSCORE","A","2003",473,
"CZE","PISAREAD","BOY","MEANSCORE","A","2006",463,
"CZE","PISAREAD","BOY","MEANSCORE","A","2009",456,
"CZE","PISAREAD","BOY","MEANSCORE","A","2012",473.983,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2000",510,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2003",504,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2006",509,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2009",504,
"CZE","PISAREAD","GIRL","MEANSCORE","A","2012",512.79,
"DNK","PISAREAD","BOY","MEANSCORE","A","2000",485,
"DNK","PISAREAD","BOY","MEANSCORE","A","2003",479,
"DNK","PISAREAD","BOY","MEANSCORE","A","2006",480,
"DNK","PISAREAD","BOY","MEANSCORE","A","2009",480,
"DNK","PISAREAD","BOY","MEANSCORE","A","2012",480.89,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2000",510,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2003",505,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2006",509,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2009",509,
"DNK","PISAREAD","GIRL","MEANSCORE","A","2012",511.529,
"FIN","PISAREAD","BOY","MEANSCORE","A","2000",520,
"FIN","PISAREAD","BOY","MEANSCORE","A","2003",521,
"FIN","PISAREAD","BOY","MEANSCORE","A","2006",521,
"FIN","PISAREAD","BOY","MEANSCORE","A","2009",508,
"FIN","PISAREAD","BOY","MEANSCORE","A","2012",494.006,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2000",571,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2003",565,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2006",572,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2009",563,
"FIN","PISAREAD","GIRL","MEANSCORE","A","2012",555.708,
"FRA","PISAREAD","BOY","MEANSCORE","A","2000",490,
"FRA","PISAREAD","BOY","MEANSCORE","A","2003",476,
"FRA","PISAREAD","BOY","MEANSCORE","A","2006",470,
"FRA","PISAREAD","BOY","MEANSCORE","A","2009",475,
"FRA","PISAREAD","BOY","MEANSCORE","A","2012",482.972,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2000",519,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2003",514,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2006",505,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2009",515,
"FRA","PISAREAD","GIRL","MEANSCORE","A","2012",526.765,
"DEU","PISAREAD","BOY","MEANSCORE","A","2000",468,
"DEU","PISAREAD","BOY","MEANSCORE","A","2003",471,
"DEU","PISAREAD","BOY","MEANSCORE","A","2006",475,
"DEU","PISAREAD","BOY","MEANSCORE","A","2009",478,
