"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2006",527,
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2009",527,
"AUS","PISASCIENCE","BOY","MEANSCORE","A","2012",523.728,
"AUS","PISASCIENCE","GIRL","MEANSCORE","A","2006",527,
"AUS","PISASCIENCE","GIRL","MEANSCORE","A","2009",528,
"AUS","PISASCIENCE","GIRL","MEANSCORE","A","2012",519.124,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2006",515,
"AUT","PISASCIENCE","BOY","MEANSCORE","A","2012",510.108,
"AUT","PISASCIENCE","GIRL","MEANSCORE","A","2006",507,
"AUT","PISASCIENCE","GIRL","MEANSCORE","A","2012",501.479,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2006",511,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2009",510,
"BEL","PISASCIENCE","BOY","MEANSCORE","A","2012",506.82,
"BEL","PISASCIENCE","GIRL","MEANSCORE","A","2006",510,
"BEL","PISASCIENCE","GIRL","MEANSCORE","A","2009",503,
"BEL","PISASCIENCE","GIRL","MEANSCORE","A","2012",502.9,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2006",536,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2009",531,
"CAN","PISASCIENCE","BOY","MEANSCORE","A","2012",526.875,
"CAN","PISASCIENCE","GIRL","MEANSCORE","A","2006",532,
"CAN","PISASCIENCE","GIRL","MEANSCORE","A","2009",526,
"CAN","PISASCIENCE","GIRL","MEANSCORE","A","2012",524.053,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2006",515,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2009",498,
"CZE","PISASCIENCE","BOY","MEANSCORE","A","2012",508.721,
"CZE","PISASCIENCE","GIRL","MEANSCORE","A","2006",510,
"CZE","PISASCIENCE","GIRL","MEANSCORE","A","2009",503,
"CZE","PISASCIENCE","GIRL","MEANSCORE","A","2012",507.855,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2006",500,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2009",505,
"DNK","PISASCIENCE","BOY","MEANSCORE","A","2012",503.533,
"DNK","PISASCIENCE","GIRL","MEANSCORE","A","2006",491,
"DNK","PISASCIENCE","GIRL","MEANSCORE","A","2009",494,
"DNK","PISASCIENCE","GIRL","MEANSCORE","A","2012",493.363,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2006",562,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2009",546,
"FIN","PISASCIENCE","BOY","MEANSCORE","A","2012",537.436,
"FIN","PISASCIENCE","GIRL","MEANSCORE","A","2006",565,
"FIN","PISASCIENCE","GIRL","MEANSCORE","A","2009",562,
"FIN","PISASCIENCE","GIRL","MEANSCORE","A","2012",553.893,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2006",497,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2009",500,
"FRA","PISASCIENCE","BOY","MEANSCORE","A","2012",497.716,
"FRA","PISASCIENCE","GIRL","MEANSCORE","A","2006",494,
"FRA","PISASCIENCE","GIRL","MEANSCORE","A","2009",497,
"FRA","PISASCIENCE","GIRL","MEANSCORE","A","2012",500.157,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2006",519,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2009",523,
"DEU","PISASCIENCE","BOY","MEANSCORE","A","2012",523.86,
"DEU","PISASCIENCE","GIRL","MEANSCORE","A","2006",512,
"DEU","PISASCIENCE","GIRL","MEANSCORE","A","2009",518,
"DEU","PISASCIENCE","GIRL","MEANSCORE","A","2012",524.391,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2006",468,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2009",465,
"GRC","PISASCIENCE","BOY","MEANSCORE","A","2012",460.02,
"GRC","PISASCIENCE","GIRL","MEANSCORE","A","2006",479,
"GRC","PISASCIENCE","GIRL","MEANSCORE","A","2009",475,
"GRC","PISASCIENCE","GIRL","MEANSCORE","A","2012",473.298,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2006",507,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2009",503,
"HUN","PISASCIENCE","BOY","MEANSCORE","A","2012",495.913,
"HUN","PISASCIENCE","GIRL","MEANSCORE","A","2006",501,
"HUN","PISASCIENCE","GIRL","MEANSCORE","A","2009",503,
"HUN","PISASCIENCE","GIRL","MEANSCORE","A","2012",492.803,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2006",488,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2009",496,
"ISL","PISASCIENCE","BOY","MEANSCORE","A","2012",476.676,
"ISL","PISASCIENCE","GIRL","MEANSCORE","A","2006",494,
"ISL","PISASCIENCE","GIRL","MEANSCORE","A","2009",495,
"ISL","PISASCIENCE","GIRL","MEANSCORE","A","2012",479.669,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2006",508,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2009",507,
"IRL","PISASCIENCE","BOY","MEANSCORE","A","2012",523.942,
"IRL","PISASCIENCE","GIRL","MEANSCORE","A","2006",509,
"IRL","PISASCIENCE","GIRL","MEANSCORE","A","2009",509,
"IRL","PISASCIENCE","GIRL","MEANSCORE","A","2012",520,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2006",477,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2009",488,
"ITA","PISASCIENCE","BOY","MEANSCORE","A","2012",494.897,
"ITA","PISASCIENCE","GIRL","MEANSCORE","A","2006",474,
"ITA","PISASCIENCE","GIRL","MEANSCORE","A","2009",490,
"ITA","PISASCIENCE","GIRL","MEANSCORE","A","2012",492.087,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2006",533,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2009",534,
"JPN","PISASCIENCE","BOY","MEANSCORE","A","2012",551.947,
"JPN","PISASCIENCE","GIRL","MEANSCORE","A","2006",530,
"JPN","PISASCIENCE","GIRL","MEANSCORE","A","2009",545,
"JPN","PISASCIENCE","GIRL","MEANSCORE","A","2012",540.959,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2006",521,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2009",537,
"KOR","PISASCIENCE","BOY","MEANSCORE","A","2012",539.408,
"KOR","PISASCIENCE","GIRL","MEANSCORE","A","2006",523,
"KOR","PISASCIENCE","GIRL","MEANSCORE","A","2009",539,
"KOR","PISASCIENCE","GIRL","MEANSCORE","A","2012",535.93,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2006",491,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2009",487,
"LUX","PISASCIENCE","BOY","MEANSCORE","A","2012",498.715,
"LUX","PISASCIENCE","GIRL","MEANSCORE","A","2006",482,
"LUX","PISASCIENCE","GIRL","MEANSCORE","A","2009",480,
"LUX","PISASCIENCE","GIRL","MEANSCORE","A","2012",483.484,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2006",413,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2009",419,
"MEX","PISASCIENCE","BOY","MEANSCORE","A","2012",418.128,
"MEX","PISASCIENCE","GIRL","MEANSCORE","A","2006",406,
"MEX","PISASCIENCE","GIRL","MEANSCORE","A","2009",413,
"MEX","PISASCIENCE","GIRL","MEANSCORE","A","2012",411.836,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2006",528,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2009",524,
"NLD","PISASCIENCE","BOY","MEANSCORE","A","2012",523.622,
"NLD","PISASCIENCE","GIRL","MEANSCORE","A","2006",521,
"NLD","PISASCIENCE","GIRL","MEANSCORE","A","2009",520,
"NLD","PISASCIENCE","GIRL","MEANSCORE","A","2012",520.415,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2006",528,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2009",529,
"NZL","PISASCIENCE","BOY","MEANSCORE","A","2012",517.875,
"NZL","PISASCIENCE","GIRL","MEANSCORE","A","2006",532,
"NZL","PISASCIENCE","GIRL","MEANSCORE","A","2009",535,
"NZL","PISASCIENCE","GIRL","MEANSCORE","A","2012",513.297,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2006",484,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2009",498,
"NOR","PISASCIENCE","BOY","MEANSCORE","A","2012",492.792,
"NOR","PISASCIENCE","GIRL","MEANSCORE","A","2006",489,
