"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19","PC_AGE","A","2000",6.82,
"AUS","NEET","15_19","PC_AGE","A","2005",7.39,
"AUS","NEET","15_19","PC_AGE","A","2006",7.05,
"AUS","NEET","15_19","PC_AGE","A","2007",6.48,
"AUS","NEET","15_19","PC_AGE","A","2008",6.31,
"AUS","NEET","15_19","PC_AGE","A","2009",8.34,
"AUS","NEET","15_19","PC_AGE","A","2010",8.05,
"AUS","NEET","15_19","PC_AGE","A","2011",7.83,
"AUS","NEET","15_19","PC_AGE","A","2012",7.23,
"AUS","NEET","15_19","PC_AGE","A","2013",7.33,
"AUS","NEET","20_24","PC_AGE","A","2000",13.29,
"AUS","NEET","20_24","PC_AGE","A","2005",11.64,
"AUS","NEET","20_24","PC_AGE","A","2006",11.48,
"AUS","NEET","20_24","PC_AGE","A","2007",10.73,
"AUS","NEET","20_24","PC_AGE","A","2008",10.71,
"AUS","NEET","20_24","PC_AGE","A","2009",11.58,
"AUS","NEET","20_24","PC_AGE","A","2010",11.2,
"AUS","NEET","20_24","PC_AGE","A","2011",11.69,
"AUS","NEET","20_24","PC_AGE","A","2012",12.19,
"AUS","NEET","20_24","PC_AGE","A","2013",13.92,
"AUT","NEET","15_19","PC_AGE","A","2005",6.89,
"AUT","NEET","15_19","PC_AGE","A","2006",6.55,
"AUT","NEET","15_19","PC_AGE","A","2007",5.25,
"AUT","NEET","15_19","PC_AGE","A","2008",5.62,
"AUT","NEET","15_19","PC_AGE","A","2009",6.5,
"AUT","NEET","15_19","PC_AGE","A","2010",5.31,
"AUT","NEET","15_19","PC_AGE","A","2011",5.46,
"AUT","NEET","15_19","PC_AGE","A","2012",4.66,
"AUT","NEET","15_19","PC_AGE","A","2013",5.63,
"AUT","NEET","20_24","PC_AGE","A","2005",12.38,
"AUT","NEET","20_24","PC_AGE","A","2006",12.51,
"AUT","NEET","20_24","PC_AGE","A","2007",10.95,
"AUT","NEET","20_24","PC_AGE","A","2008",11.44,
"AUT","NEET","20_24","PC_AGE","A","2009",11.84,
"AUT","NEET","20_24","PC_AGE","A","2010",12.59,
"AUT","NEET","20_24","PC_AGE","A","2011",10.47,
"AUT","NEET","20_24","PC_AGE","A","2012",11.13,
"AUT","NEET","20_24","PC_AGE","A","2013",10.63,
"BEL","NEET","15_19","PC_AGE","A","2000",6.52,
"BEL","NEET","15_19","PC_AGE","A","2005",6.23,
"BEL","NEET","15_19","PC_AGE","A","2006",7.11,
"BEL","NEET","15_19","PC_AGE","A","2007",5.22,
"BEL","NEET","15_19","PC_AGE","A","2008",5.47,
"BEL","NEET","15_19","PC_AGE","A","2009",5.67,
"BEL","NEET","15_19","PC_AGE","A","2010",5.94,
"BEL","NEET","15_19","PC_AGE","A","2011",6.08,
"BEL","NEET","15_19","PC_AGE","A","2012",8.27,
"BEL","NEET","15_19","PC_AGE","A","2013",6.72,
"BEL","NEET","20_24","PC_AGE","A","2000",16.03,
"BEL","NEET","20_24","PC_AGE","A","2005",18.29,
"BEL","NEET","20_24","PC_AGE","A","2006",16.87,
"BEL","NEET","20_24","PC_AGE","A","2007",15.47,
"BEL","NEET","20_24","PC_AGE","A","2008",14.13,
"BEL","NEET","20_24","PC_AGE","A","2009",16.09,
"BEL","NEET","20_24","PC_AGE","A","2010",18.01,
"BEL","NEET","20_24","PC_AGE","A","2011",17.13,
"BEL","NEET","20_24","PC_AGE","A","2012",17.53,
"BEL","NEET","20_24","PC_AGE","A","2013",18.66,
"CAN","NEET","15_19","PC_AGE","A","2000",8.2,
"CAN","NEET","15_19","PC_AGE","A","2005",7.01,
