"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1995",17.83179,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1996",17.79188,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1997",13.38961,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1998",15.54969,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","1999",11.16312,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2000",10.73771,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2001",11.15043,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2002",12.12785,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2003",11.47382,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2004",10.58238,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2005",10.36267,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2006",9.54563,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2007",13.27311,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2008",22.73302,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2009",15.74959,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2010",15.81228,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2011",21.19833,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2012",17.81602,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2013",15.80652,
"FRA","BANKLEVERAGE","TOT","PC_NVA","A","2014",16.65247,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1995",7.217856,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1996",6.451068,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1997",6.025743,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1998",6.022475,
"SWE","BANKLEVERAGE","TOT","PC_NVA","A","1999",5.608077,
