"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","FINCORP","TOT","RT","A","2005",10.87638,
"CHL","FINCORP","TOT","RT","A","2006",9.410046,
"CHL","FINCORP","TOT","RT","A","2007",8.068079,
"CHL","FINCORP","TOT","RT","A","2008",7.631317,
"CHL","FINCORP","TOT","RT","A","2009",7.199516,
"CHL","FINCORP","TOT","RT","A","2010",7.886618,
"CHL","FINCORP","TOT","RT","A","2011",8.237532,
"CHL","FINCORP","TOT","RT","A","2012",8.886217,
"CHL","FINCORP","TOT","RT","A","2013",8.346842,
"CHL","FINCORP","TOT","RT","A","2014",7.654556,
"IRL","FINCORP","TOT","RT","A","2001",1.550607,
"IRL","FINCORP","TOT","RT","A","2002",1.602741,
"IRL","FINCORP","TOT","RT","A","2003",1.823583,
"IRL","FINCORP","TOT","RT","A","2004",2.014267,
"IRL","FINCORP","TOT","RT","A","2005",2.102018,
"IRL","FINCORP","TOT","RT","A","2006",2.015828,
"IRL","FINCORP","TOT","RT","A","2007",2.08666,
"IRL","FINCORP","TOT","RT","A","2008",3.016329,
"IRL","FINCORP","TOT","RT","A","2009",2.576026,
"IRL","FINCORP","TOT","RT","A","2010",2.067962,
"IRL","FINCORP","TOT","RT","A","2011",1.711089,
"IRL","FINCORP","TOT","RT","A","2012",1.367461,
"IRL","FINCORP","TOT","RT","A","2013",1.122991,
"IRL","FINCORP","TOT","RT","A","2014",0.9294063,
"TUR","FINCORP","TOT","RT","A","2009",3.680723,
"TUR","FINCORP","TOT","RT","A","2010",3.530805,
"TUR","FINCORP","TOT","RT","A","2011",5.47426,
"TUR","FINCORP","TOT","RT","A","2012",4.491911,
"TUR","FINCORP","TOT","RT","A","2013",6.653006,
"TUR","FINCORP","TOT","RT","A","2014",5.803363,
"NOR","FINCORP","TOT","RT","A","1995",10.25281,
"NOR","FINCORP","TOT","RT","A","1996",9.01397,
"NOR","FINCORP","TOT","RT","A","1997",7.141603,
"NOR","FINCORP","TOT","RT","A","1998",7.559643,
"NOR","FINCORP","TOT","RT","A","1999",6.625716,
"NOR","FINCORP","TOT","RT","A","2000",6.886081,
"NOR","FINCORP","TOT","RT","A","2001",7.979001,
"NOR","FINCORP","TOT","RT","A","2002",9.055592,
"NOR","FINCORP","TOT","RT","A","2003",8.184958,
"NOR","FINCORP","TOT","RT","A","2004",7.019004,
"NOR","FINCORP","TOT","RT","A","2005",6.228755,
"NOR","FINCORP","TOT","RT","A","2006",5.667767,
"NOR","FINCORP","TOT","RT","A","2007",5.832508,
"NOR","FINCORP","TOT","RT","A","2008",10.01631,
"NOR","FINCORP","TOT","RT","A","2009",7.356026,
"NOR","FINCORP","TOT","RT","A","2010",6.119944,
"NOR","FINCORP","TOT","RT","A","2011",6.691651,
"NOR","FINCORP","TOT","RT","A","2012",4.783869,
"NOR","FINCORP","TOT","RT","A","2013",4.128617,
"NOR","FINCORP","TOT","RT","A","2014",3.825813,
"KOR","FINCORP","TOT","RT","A","2011",6.950586,
"KOR","FINCORP","TOT","RT","A","2012",6.551011,
"KOR","FINCORP","TOT","RT","A","2013",6.513448,
"KOR","FINCORP","TOT","RT","A","2014",6.9762,
"SWE","FINCORP","TOT","RT","A","1995",4.995733,
"SWE","FINCORP","TOT","RT","A","1996",4.317078,
"SWE","FINCORP","TOT","RT","A","1997",3.758017,
"SWE","FINCORP","TOT","RT","A","1998",3.449748,
"SWE","FINCORP","TOT","RT","A","1999",2.718955,
"SWE","FINCORP","TOT","RT","A","2000",2.614413,
"SWE","FINCORP","TOT","RT","A","2001",2.854499,
"SWE","FINCORP","TOT","RT","A","2002",3.574695,
"SWE","FINCORP","TOT","RT","A","2003",3.054861,
"SWE","FINCORP","TOT","RT","A","2004",2.995507,
"SWE","FINCORP","TOT","RT","A","2005",2.887444,
"SWE","FINCORP","TOT","RT","A","2006",2.735352,
"SWE","FINCORP","TOT","RT","A","2007",3.019294,
"SWE","FINCORP","TOT","RT","A","2008",4.687815,
"SWE","FINCORP","TOT","RT","A","2009",3.546666,
"SWE","FINCORP","TOT","RT","A","2010",3.198194,
"SWE","FINCORP","TOT","RT","A","2011",3.523811,
"SWE","FINCORP","TOT","RT","A","2012",3.136233,
"SWE","FINCORP","TOT","RT","A","2013",2.776628,
"SWE","FINCORP","TOT","RT","A","2014",2.595433,
"BEL","FINCORP","TOT","RT","A","1995",5.525127,
"BEL","FINCORP","TOT","RT","A","1996",5.297794,
"BEL","FINCORP","TOT","RT","A","1997",4.292799,
"BEL","FINCORP","TOT","RT","A","1998",2.740753,
"BEL","FINCORP","TOT","RT","A","1999",2.857234,
"BEL","FINCORP","TOT","RT","A","2000",2.5844,
"BEL","FINCORP","TOT","RT","A","2001",2.618457,
"BEL","FINCORP","TOT","RT","A","2002",3.024019,
"BEL","FINCORP","TOT","RT","A","2003",3.002585,
"BEL","FINCORP","TOT","RT","A","2004",2.706216,
"BEL","FINCORP","TOT","RT","A","2005",2.687147,
"BEL","FINCORP","TOT","RT","A","2006",2.449764,
"BEL","FINCORP","TOT","RT","A","2007",2.435919,
"BEL","FINCORP","TOT","RT","A","2008",3.071793,
"BEL","FINCORP","TOT","RT","A","2009",2.587789,
"BEL","FINCORP","TOT","RT","A","2010",2.495333,
"BEL","FINCORP","TOT","RT","A","2011",2.571488,
"BEL","FINCORP","TOT","RT","A","2012",2.660391,
"BEL","FINCORP","TOT","RT","A","2013",2.50407,
"BEL","FINCORP","TOT","RT","A","2014",2.521688,
"ESP","FINCORP","TOT","RT","A","1995",5.846921,
"ESP","FINCORP","TOT","RT","A","1996",4.430223,
"ESP","FINCORP","TOT","RT","A","1997",3.156133,
"ESP","FINCORP","TOT","RT","A","1998",2.780121,
"ESP","FINCORP","TOT","RT","A","1999",2.886855,
"ESP","FINCORP","TOT","RT","A","2000",3.153433,
"ESP","FINCORP","TOT","RT","A","2001",3.468341,
"ESP","FINCORP","TOT","RT","A","2002",4.148828,
"ESP","FINCORP","TOT","RT","A","2003",3.764544,
"ESP","FINCORP","TOT","RT","A","2004",3.595541,
"ESP","FINCORP","TOT","RT","A","2005",3.75264,
"ESP","FINCORP","TOT","RT","A","2006",3.760687,
"ESP","FINCORP","TOT","RT","A","2007",4.417005,
"ESP","FINCORP","TOT","RT","A","2008",6.678363,
"ESP","FINCORP","TOT","RT","A","2009",6.173074,
"ESP","FINCORP","TOT","RT","A","2010",6.967821,
"ESP","FINCORP","TOT","RT","A","2011",7.585552,
"ESP","FINCORP","TOT","RT","A","2012",7.929733,
"ESP","FINCORP","TOT","RT","A","2013",5.943479,
"ESP","FINCORP","TOT","RT","A","2014",4.946893,
"FIN","FINCORP","TOT","RT","A","1995",15.49941,
"FIN","FINCORP","TOT","RT","A","1996",10.96481,
"FIN","FINCORP","TOT","RT","A","1997",8.006701,
"FIN","FINCORP","TOT","RT","A","1998",5.250562,
"FIN","FINCORP","TOT","RT","A","1999",4.01447,
"FIN","FINCORP","TOT","RT","A","2000",4.169688,
"FIN","FINCORP","TOT","RT","A","2001",4.414356,
"FIN","FINCORP","TOT","RT","A","2002",4.700104,
"FIN","FINCORP","TOT","RT","A","2003",3.914329,
"FIN","FINCORP","TOT","RT","A","2004",3.462369,
"FIN","FINCORP","TOT","RT","A","2005",2.917161,
"FIN","FINCORP","TOT","RT","A","2006",2.555362,
"FIN","FINCORP","TOT","RT","A","2007",2.74383,
"FIN","FINCORP","TOT","RT","A","2008",4.093008,
"FIN","FINCORP","TOT","RT","A","2009",4.054579,
"FIN","FINCORP","TOT","RT","A","2010",3.882862,
"FIN","FINCORP","TOT","RT","A","2011",5.282269,
"FIN","FINCORP","TOT","RT","A","2012",4.865326,
"FIN","FINCORP","TOT","RT","A","2013",3.746522,
"FIN","FINCORP","TOT","RT","A","2014",3.475028,
"ISR","FINCORP","TOT","RT","A","2001",19.1626,
"ISR","FINCORP","TOT","RT","A","2002",28.63661,
"ISR","FINCORP","TOT","RT","A","2003",15.66264,
"ISR","FINCORP","TOT","RT","A","2004",11.86725,
"ISR","FINCORP","TOT","RT","A","2005",10.63354,
"ISR","FINCORP","TOT","RT","A","2006",11.11537,
"ISR","FINCORP","TOT","RT","A","2007",10.92677,
"ISR","FINCORP","TOT","RT","A","2008",24.65892,
"ISR","FINCORP","TOT","RT","A","2009",7.335122,
"ISR","FINCORP","TOT","RT","A","2010",5.825583,
"ISR","FINCORP","TOT","RT","A","2011",7.499768,
"ISR","FINCORP","TOT","RT","A","2012",7.113049,
"ISR","FINCORP","TOT","RT","A","2013",6.734478,
"LUX","FINCORP","TOT","RT","A","2002",0.7598394,
"LUX","FINCORP","TOT","RT","A","2003",0.7097493,
"LUX","FINCORP","TOT","RT","A","2004",0.6556351,
"LUX","FINCORP","TOT","RT","A","2005",0.651132,
"LUX","FINCORP","TOT","RT","A","2006",0.6265948,
"LUX","FINCORP","TOT","RT","A","2007",0.6061869,
"LUX","FINCORP","TOT","RT","A","2008",0.7663377,
"LUX","FINCORP","TOT","RT","A","2009",0.5594196,
"LUX","FINCORP","TOT","RT","A","2010",0.4467883,
"LUX","FINCORP","TOT","RT","A","2011",0.6625915,
"LUX","FINCORP","TOT","RT","A","2012",0.6795459,
"LUX","FINCORP","TOT","RT","A","2013",0.6458979,
"LUX","FINCORP","TOT","RT","A","2014",0.6658524,
"FRA","FINCORP","TOT","RT","A","1995",4.307563,
"FRA","FINCORP","TOT","RT","A","1996",4.140096,
"FRA","FINCORP","TOT","RT","A","1997",3.898425,
"FRA","FINCORP","TOT","RT","A","1998",3.598351,
"FRA","FINCORP","TOT","RT","A","1999",3.134145,
"FRA","FINCORP","TOT","RT","A","2000",2.875267,
"FRA","FINCORP","TOT","RT","A","2001",3.091213,
"FRA","FINCORP","TOT","RT","A","2002",3.373065,
"FRA","FINCORP","TOT","RT","A","2003",3.150707,
"FRA","FINCORP","TOT","RT","A","2004",3.110589,
"FRA","FINCORP","TOT","RT","A","2005",2.989893,
"FRA","FINCORP","TOT","RT","A","2006",2.872212,
"FRA","FINCORP","TOT","RT","A","2007",3.476598,
"FRA","FINCORP","TOT","RT","A","2008",4.731761,
"FRA","FINCORP","TOT","RT","A","2009",4.10837,
"FRA","FINCORP","TOT","RT","A","2010",4.299293,
"FRA","FINCORP","TOT","RT","A","2011",5.349359,
"FRA","FINCORP","TOT","RT","A","2012",4.910079,
"FRA","FINCORP","TOT","RT","A","2013",4.538214,
"FRA","FINCORP","TOT","RT","A","2014",4.646611,
"DNK","FINCORP","TOT","RT","A","1995",4.928701,
"DNK","FINCORP","TOT","RT","A","1996",4.144764,
"DNK","FINCORP","TOT","RT","A","1997",3.233781,
"DNK","FINCORP","TOT","RT","A","1998",2.78293,
"DNK","FINCORP","TOT","RT","A","1999",2.346081,
"DNK","FINCORP","TOT","RT","A","2000",2.09549,
"DNK","FINCORP","TOT","RT","A","2001",2.929816,
"DNK","FINCORP","TOT","RT","A","2002",3.613315,
"DNK","FINCORP","TOT","RT","A","2003",3.468485,
"DNK","FINCORP","TOT","RT","A","2004",3.391719,
"DNK","FINCORP","TOT","RT","A","2005",2.604394,
"DNK","FINCORP","TOT","RT","A","2006",2.3657,
"DNK","FINCORP","TOT","RT","A","2007",2.681097,
"DNK","FINCORP","TOT","RT","A","2008",4.121815,
"DNK","FINCORP","TOT","RT","A","2009",3.23513,
"DNK","FINCORP","TOT","RT","A","2010",2.895365,
"DNK","FINCORP","TOT","RT","A","2011",2.890044,
"DNK","FINCORP","TOT","RT","A","2012",2.93857,
"DNK","FINCORP","TOT","RT","A","2013",2.713634,
"DNK","FINCORP","TOT","RT","A","2014",2.569164,
"AUT","FINCORP","TOT","RT","A","1995",7.11634,
"AUT","FINCORP","TOT","RT","A","1996",6.071865,
"AUT","FINCORP","TOT","RT","A","1997",5.116105,
"AUT","FINCORP","TOT","RT","A","1998",4.572857,
"AUT","FINCORP","TOT","RT","A","1999",3.960023,
"AUT","FINCORP","TOT","RT","A","2000",3.723101,
"AUT","FINCORP","TOT","RT","A","2001",3.916438,
"AUT","FINCORP","TOT","RT","A","2002",3.835706,
"AUT","FINCORP","TOT","RT","A","2003",3.554074,
"AUT","FINCORP","TOT","RT","A","2004",3.38882,
"AUT","FINCORP","TOT","RT","A","2005",2.42598,
"AUT","FINCORP","TOT","RT","A","2006",2.383957,
"AUT","FINCORP","TOT","RT","A","2007",2.275034,
"AUT","FINCORP","TOT","RT","A","2008",3.179615,
"AUT","FINCORP","TOT","RT","A","2009",2.645024,
"AUT","FINCORP","TOT","RT","A","2010",2.555544,
"AUT","FINCORP","TOT","RT","A","2011",2.732147,
"AUT","FINCORP","TOT","RT","A","2012",2.470813,
"AUT","FINCORP","TOT","RT","A","2013",2.350889,
"AUT","FINCORP","TOT","RT","A","2014",2.256211,
"EST","FINCORP","TOT","RT","A","1995",5.34726,
"EST","FINCORP","TOT","RT","A","1996",2.900315,
"EST","FINCORP","TOT","RT","A","1997",3.002514,
"EST","FINCORP","TOT","RT","A","1998",5.729432,
"EST","FINCORP","TOT","RT","A","1999",4.225937,
"EST","FINCORP","TOT","RT","A","2000",2.585477,
"EST","FINCORP","TOT","RT","A","2001",2.649492,
"EST","FINCORP","TOT","RT","A","2002",2.392244,
"EST","FINCORP","TOT","RT","A","2003",2.987338,
"EST","FINCORP","TOT","RT","A","2004",2.389819,
"EST","FINCORP","TOT","RT","A","2005",2.917679,
"EST","FINCORP","TOT","RT","A","2006",4.499705,
"EST","FINCORP","TOT","RT","A","2007",4.347819,
"EST","FINCORP","TOT","RT","A","2008",4.604463,
"EST","FINCORP","TOT","RT","A","2009",5.009563,
"EST","FINCORP","TOT","RT","A","2010",4.432253,
"EST","FINCORP","TOT","RT","A","2011",4.362998,
"EST","FINCORP","TOT","RT","A","2012",4.286576,
"EST","FINCORP","TOT","RT","A","2013",3.828709,
"EST","FINCORP","TOT","RT","A","2014",4.223722,
"HUN","FINCORP","TOT","RT","A","1995",16.10301,
"HUN","FINCORP","TOT","RT","A","1996",11.99748,
"HUN","FINCORP","TOT","RT","A","1997",8.599586,
"HUN","FINCORP","TOT","RT","A","1998",7.918317,
"HUN","FINCORP","TOT","RT","A","1999",4.033514,
"HUN","FINCORP","TOT","RT","A","2000",2.470031,
"HUN","FINCORP","TOT","RT","A","2001",1.455518,
"HUN","FINCORP","TOT","RT","A","2002",1.642556,
"HUN","FINCORP","TOT","RT","A","2003",1.895141,
"HUN","FINCORP","TOT","RT","A","2004",2.103407,
"HUN","FINCORP","TOT","RT","A","2005",1.593251,
"HUN","FINCORP","TOT","RT","A","2006",1.597423,
"HUN","FINCORP","TOT","RT","A","2007",1.340456,
"HUN","FINCORP","TOT","RT","A","2008",1.494684,
"HUN","FINCORP","TOT","RT","A","2009",1.551561,
"HUN","FINCORP","TOT","RT","A","2010",1.401293,
"HUN","FINCORP","TOT","RT","A","2011",1.408071,
"HUN","FINCORP","TOT","RT","A","2012",1.319413,
