"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","NONFINCORP","TOT","RT","A","2001",3.794428,
"IRL","NONFINCORP","TOT","RT","A","2002",3.095364,
"IRL","NONFINCORP","TOT","RT","A","2003",3.055999,
"IRL","NONFINCORP","TOT","RT","A","2004",3.188155,
"IRL","NONFINCORP","TOT","RT","A","2005",3.782519,
"IRL","NONFINCORP","TOT","RT","A","2006",4.310863,
"IRL","NONFINCORP","TOT","RT","A","2007",4.341606,
"IRL","NONFINCORP","TOT","RT","A","2008",6.261374,
"IRL","NONFINCORP","TOT","RT","A","2009",6.533709,
"IRL","NONFINCORP","TOT","RT","A","2010",6.05904,
"IRL","NONFINCORP","TOT","RT","A","2011",6.142519,
"IRL","NONFINCORP","TOT","RT","A","2012",6.420399,
"IRL","NONFINCORP","TOT","RT","A","2013",6.177227,
"IRL","NONFINCORP","TOT","RT","A","2014",6.947866,
"CHL","NONFINCORP","TOT","RT","A","2008",4.112684,
"CHL","NONFINCORP","TOT","RT","A","2009",3.824136,
"CHL","NONFINCORP","TOT","RT","A","2010",3.264535,
"CHL","NONFINCORP","TOT","RT","A","2011",3.601107,
"CHL","NONFINCORP","TOT","RT","A","2012",3.941435,
"CHL","NONFINCORP","TOT","RT","A","2013",4.291351,
"BEL","NONFINCORP","TOT","RT","A","1995",3.622265,
"BEL","NONFINCORP","TOT","RT","A","1996",3.999103,
"BEL","NONFINCORP","TOT","RT","A","1997",4.257579,
"BEL","NONFINCORP","TOT","RT","A","1998",3.712016,
"BEL","NONFINCORP","TOT","RT","A","1999",4.258729,
"BEL","NONFINCORP","TOT","RT","A","2000",4.42556,
"BEL","NONFINCORP","TOT","RT","A","2001",4.450105,
"BEL","NONFINCORP","TOT","RT","A","2002",4.265338,
"BEL","NONFINCORP","TOT","RT","A","2003",4.275858,
"BEL","NONFINCORP","TOT","RT","A","2004",4.165797,
"BEL","NONFINCORP","TOT","RT","A","2005",3.905221,
"BEL","NONFINCORP","TOT","RT","A","2006",3.901428,
