"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","1995",65.8032861706983,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","1996",67.8777934052196,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","1997",67.6529900437567,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","1998",70.3984600577478,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","1999",75.8280939549822,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2000",64.882512530464,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2001",73.1175116058565,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2002",71.0603264386549,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2003",74.0575420891757,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2004",72.8415370179442,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2005",72.7412249224348,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2006",71.5539164530542,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2007",66.416683231834,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2008",69.0804071109674,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2009",76.8842380381946,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2010",77.852487947234,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2011",74.5691158385492,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2012",79.6890107938513,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2013",77.4198665609107,
"AUT","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","2014",73.2260794458161,
"BEL","VAFINCORP","COMPEMPLOYEE","PC_NVA","A","1995",74.2574361342597,
