"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1990",420985.896055125,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1991",414721.111911175,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1992",427877.549708529,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1993",446013.745026174,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1994",465608.724915285,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1995",482911.887756462,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1996",501071.54877767,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1997",519037.338390873,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1998",547056.505858908,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1999",568424.263781441,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2000",587597.419713655,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2001",603570.300645732,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2002",626521.434851503,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2003",646925.98151352,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2004",671256.005157199,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2005",693391.42681056,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2006",711472.310112666,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2007",744814.840046013,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2008",763589.637724894,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2009",775482.279773241,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2010",792980.431436878,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2011",813376.597490479,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2012",842916.566032253,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2013",863550.182657616,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2014",885749.680692166,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2015",911549.245378336,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2016",946475.856226304,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2017",983554.10882954,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2018",1020828.75794027,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2019",1058135.55283107,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2020",1095687.97310948,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2021",1133435.59258518,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2022",1171685.81683045,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2023",1210607.3273067,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2024",1250350.4940818,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2025",1290975.24152993,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2026",1331644.90982017,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2027",1373373.1921205,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2028",1416091.35874826,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2029",1459603.32080653,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2030",1503774.91551812,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2031",1547916.33406841,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2032",1592723.82203933,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2033",1638205.39876515,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2034",1684407.17902825,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2035",1731316.99097454,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2036",1777863.19776446,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2037",1825076.16589587,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2038",1872927.74465264,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2039",1921350.28898496,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2040",1970272.05025162,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2041",2018586.20418541,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2042",2067586.52058215,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2043",2117278.04206303,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2044",2167701.31348993,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2045",2218914.46114544,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2046",2269842.18497827,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2047",2321780.12047474,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2048",2374713.19354279,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2049",2428603.55347538,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2050",2483415.1946523,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2051",2538143.3268606,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2052",2593843.17495266,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2053",2650550.03744436,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2054",2708267.12082352,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2055",2766954.82875986,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2056",2826567.26095238,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2057",2887107.45507204,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2058",2948576.29957606,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2059",3010972.57030607,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2060",3074303.17821384,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1990",195240.124736525,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1991",201727.898192924,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1992",205675.679370538,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1993",207339.754969612,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1994",212396.15075988,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1995",218517.301473911,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1996",222971.907795954,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1997",228451.606197986,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1998",237037.486980954,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1999",245173.988554488,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2000",254691.19790462,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2001",257186.122757101,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2002",261077.699169527,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2003",263498.02654421,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2004",269203.142240973,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2005",276649.482673005,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2006",287228.63506531,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2007",297722.78554604,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2008",300357.925113556,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2009",289971.606172377,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2010",295425.259420156,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2011",303935.300809461,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2012",306039.184133791,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2013",307354.493457734,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2014",311829.630511971,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2015",318504.108528802,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2016",327001.492992129,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2017",335298.648521134,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2018",343043.136347141,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2019",350408.464181002,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2020",357609.510998006,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2021",364711.075807303,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2022",371820.094047344,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2023",379000.990985261,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2024",386293.908618549,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2025",393724.104498829,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2026",401307.784875822,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2027",409060.269276094,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2028",416985.239221914,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2029",425073.826114376,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2030",433314.112063583,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2031",441695.149362155,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2032",450204.989102558,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2033",458828.550820381,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2034",467545.080438599,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2035",476333.87999262,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2036",485176.52608645,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2037",494057.978150808,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2038",502966.189543127,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2039",511889.989278296,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2040",520821.745311366,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2041",529761.104098967,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2042",538712.68579479,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2043",547681.647199687,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2044",556673.099581132,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2045",565691.798916025,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2046",574744.042682118,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2047",583835.083069619,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2048",592966.228295548,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2049",602135.926071112,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2050",611342.358307668,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2051",620588.072706444,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2052",629879.495673318,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2053",639221.816142718,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2054",648616.654599849,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2055",658063.34611443,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2056",667565.44126156,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2057",677130.034242245,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2058",686761.109340784,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2059",696456.883717086,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2060",706213.378786446,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1990",250149.316260443,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1991",254734.739082134,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1992",258633.8486189,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1993",256146.119225452,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1994",264411.881411118,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1995",270717.462848581,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1996",274562.735663323,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1997",284820.412643607,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1998",290315.63196234,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","1999",300592.047127667,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2000",311643.631421588,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2001",314140.741133546,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2002",318411.07488267,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2003",320978.20623347,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2004",331485.396940898,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2005",337311.000048535,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2006",346304.342648594,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2007",356271.08465059,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2008",359778.083914304,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2009",349705.816343912,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2010",357829.312669901,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2011",364178.598738459,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2012",363676.612623377,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2013",364522.789611078,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2014",370165.670469423,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2015",376630.959093936,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2016",383799.514174344,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2017",391511.097165785,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2018",399595.747296774,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2019",408076.233178803,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2020",416989.495400608,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2021",426331.864578989,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2022",436064.804656248,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2023",446002.880938333,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2024",456144.357547313,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2025",466496.534284889,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2026",477073.703013222,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2027",487901.399694122,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2028",498995.57247486,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2029",510354.358177876,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2030",521968.959260492,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2031",533828.507593979,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2032",545921.243779588,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2033",558046.599247526,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2034",570193.697007138,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2035",582370.831586949,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2036",594587.573919282,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2037",606857.279481291,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2038",619193.74147041,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2039",631606.752474908,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2040",644105.788533119,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2041",656705.971357324,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2042",669427.611141419,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2043",682289.225790705,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2044",695305.603402766,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2045",708488.955710847,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2046",721853.619891088,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2047",735417.089162841,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2048",749195.678331728,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2049",763206.345671732,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2050",777465.466430252,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2051",791991.892234637,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2052",806804.852851089,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2053",821918.231311077,
"BEL","GDPLTFORECAST","TOT","MLN_USD","A","2054",837339.738820873,
