"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25017.6204,
"AUS","GDP","TOT","MLN_USD","A","1961",25314.9752,
"AUS","GDP","TOT","MLN_USD","A","1962",27900.1241,
"AUS","GDP","TOT","MLN_USD","A","1963",30372.8352,
"AUS","GDP","TOT","MLN_USD","A","1964",32680.3492,
"AUS","GDP","TOT","MLN_USD","A","1965",34467.2604,
"AUS","GDP","TOT","MLN_USD","A","1966",38261.3312,
"AUS","GDP","TOT","MLN_USD","A","1967",40974.4933,
"AUS","GDP","TOT","MLN_USD","A","1968",46460.0071,
"AUS","GDP","TOT","MLN_USD","A","1969",52099.3997,
"AUS","GDP","TOT","MLN_USD","A","1970",58954.8049,
"AUS","GDP","TOT","MLN_USD","A","1971",64205.1153,
"AUS","GDP","TOT","MLN_USD","A","1972",69925.5211,
"AUS","GDP","TOT","MLN_USD","A","1973",78988.8541,
"AUS","GDP","TOT","MLN_USD","A","1974",86439.098,
"AUS","GDP","TOT","MLN_USD","A","1975",96833.4271,
"AUS","GDP","TOT","MLN_USD","A","1976",104372.0928,
"AUS","GDP","TOT","MLN_USD","A","1977",110344.283,
"AUS","GDP","TOT","MLN_USD","A","1978",123380.9428,
"AUS","GDP","TOT","MLN_USD","A","1979",138058.988,
"AUS","GDP","TOT","MLN_USD","A","1980",155106.9316,
"AUS","GDP","TOT","MLN_USD","A","1981",178115.0371,
"AUS","GDP","TOT","MLN_USD","A","1982",181878.6971,
"AUS","GDP","TOT","MLN_USD","A","1983",196676.5728,
"AUS","GDP","TOT","MLN_USD","A","1984",211317.1764,
"AUS","GDP","TOT","MLN_USD","A","1985",228978.2953,
"AUS","GDP","TOT","MLN_USD","A","1986",240312.1432,
"AUS","GDP","TOT","MLN_USD","A","1987",261348.7556,
"AUS","GDP","TOT","MLN_USD","A","1988",283554.3373,
"AUS","GDP","TOT","MLN_USD","A","1989",300027.5579,
"AUS","GDP","TOT","MLN_USD","A","1990",304157.5238,
"AUS","GDP","TOT","MLN_USD","A","1991",313949.941,
"AUS","GDP","TOT","MLN_USD","A","1992",334449.2593,
"AUS","GDP","TOT","MLN_USD","A","1993",355858.5476,
"AUS","GDP","TOT","MLN_USD","A","1994",380917.8429,
"AUS","GDP","TOT","MLN_USD","A","1995",404729.6086,
"AUS","GDP","TOT","MLN_USD","A","1996",424796.3133,
"AUS","GDP","TOT","MLN_USD","A","1997",450276.6984,
"AUS","GDP","TOT","MLN_USD","A","1998",477414.6934,
"AUS","GDP","TOT","MLN_USD","A","1999",509447.55,
"AUS","GDP","TOT","MLN_USD","A","2000",539156.4339,
"AUS","GDP","TOT","MLN_USD","A","2001",568218.9197,
"AUS","GDP","TOT","MLN_USD","A","2002",599121.6451,
"AUS","GDP","TOT","MLN_USD","A","2003",635477.495,
"AUS","GDP","TOT","MLN_USD","A","2004",674538.9285,
"AUS","GDP","TOT","MLN_USD","A","2005",718500.2644,
"AUS","GDP","TOT","MLN_USD","A","2006",773795.3545,
"AUS","GDP","TOT","MLN_USD","A","2007",825594.5799,
"AUS","GDP","TOT","MLN_USD","A","2008",850843.2264,
"AUS","GDP","TOT","MLN_USD","A","2009",899849.0416,
"AUS","GDP","TOT","MLN_USD","A","2010",938138.9982,
"AUS","GDP","TOT","MLN_USD","A","2011",986760.3963,
"AUS","GDP","TOT","MLN_USD","A","2012",989785.0685,
"AUS","GDP","TOT","MLN_USD","A","2013",1092821.3418,
"AUS","GDP","TOT","MLN_USD","A","2014",1095163.7874,
"AUS","GDP","TOT","USD_CAP","A","1960",2407.4108,
"AUS","GDP","TOT","USD_CAP","A","1961",2378.633673,
"AUS","GDP","TOT","USD_CAP","A","1962",2572.374363,
"AUS","GDP","TOT","USD_CAP","A","1963",2747.309904,
"AUS","GDP","TOT","USD_CAP","A","1964",2897.083897,
"AUS","GDP","TOT","USD_CAP","A","1965",2995.744293,
"AUS","GDP","TOT","USD_CAP","A","1966",3268.846169,
"AUS","GDP","TOT","USD_CAP","A","1967",3439.693007,
"AUS","GDP","TOT","USD_CAP","A","1968",3825.259842,
"AUS","GDP","TOT","USD_CAP","A","1969",4199.120535,
"AUS","GDP","TOT","USD_CAP","A","1970",4655.501974,
"AUS","GDP","TOT","USD_CAP","A","1971",4864.620905,
"AUS","GDP","TOT","USD_CAP","A","1972",5214.707976,
"AUS","GDP","TOT","USD_CAP","A","1973",5801.884698,
"AUS","GDP","TOT","USD_CAP","A","1974",6249.22177,
"AUS","GDP","TOT","USD_CAP","A","1975",6932.081897,
"AUS","GDP","TOT","USD_CAP","A","1976",7396.973875,
"AUS","GDP","TOT","USD_CAP","A","1977",7726.361238,
"AUS","GDP","TOT","USD_CAP","A","1978",8549.816106,
"AUS","GDP","TOT","USD_CAP","A","1979",9454.488454,
"AUS","GDP","TOT","USD_CAP","A","1980",10474.981825,
"AUS","GDP","TOT","USD_CAP","A","1981",11831.64958,
"AUS","GDP","TOT","USD_CAP","A","1982",11896.134069,
"AUS","GDP","TOT","USD_CAP","A","1983",12702.336266,
"AUS","GDP","TOT","USD_CAP","A","1984",13479.197247,
"AUS","GDP","TOT","USD_CAP","A","1985",14400.638024,
"AUS","GDP","TOT","USD_CAP","A","1986",14890.363895,
"AUS","GDP","TOT","USD_CAP","A","1987",15941.108781,
"AUS","GDP","TOT","USD_CAP","A","1988",16992.445851,
"AUS","GDP","TOT","USD_CAP","A","1989",17714.616807,
"AUS","GDP","TOT","USD_CAP","A","1990",17714.713665,
"AUS","GDP","TOT","USD_CAP","A","1991",18083.850298,
"AUS","GDP","TOT","USD_CAP","A","1992",19065.459459,
"AUS","GDP","TOT","USD_CAP","A","1993",20102.251689,
"AUS","GDP","TOT","USD_CAP","A","1994",21307.196102,
"AUS","GDP","TOT","USD_CAP","A","1995",22372.29027,
"AUS","GDP","TOT","USD_CAP","A","1996",23205.02644,
"AUS","GDP","TOT","USD_CAP","A","1997",24347.778038,
"AUS","GDP","TOT","USD_CAP","A","1998",25549.97141,
"AUS","GDP","TOT","USD_CAP","A","1999",26959.93755,
"AUS","GDP","TOT","USD_CAP","A","2000",28198.167807,
"AUS","GDP","TOT","USD_CAP","A","2001",29348.779257,
"AUS","GDP","TOT","USD_CAP","A","2002",30596.251449,
"AUS","GDP","TOT","USD_CAP","A","2003",32088.573002,
"AUS","GDP","TOT","USD_CAP","A","2004",33686.962109,
"AUS","GDP","TOT","USD_CAP","A","2005",35424.09613,
"AUS","GDP","TOT","USD_CAP","A","2006",37579.476454,
"AUS","GDP","TOT","USD_CAP","A","2007",39352.991291,
"AUS","GDP","TOT","USD_CAP","A","2008",39716.089032,
"AUS","GDP","TOT","USD_CAP","A","2009",41225.728866,
"AUS","GDP","TOT","USD_CAP","A","2010",42364.721503,
"AUS","GDP","TOT","USD_CAP","A","2011",43890.404283,
"AUS","GDP","TOT","USD_CAP","A","2012",43264.197365,
"AUS","GDP","TOT","USD_CAP","A","2013",46959.972337,
"AUS","GDP","TOT","USD_CAP","A","2014",46329.469062,"E"
"AUT","GDP","TOT","MLN_USD","A","1970",28684.6925,"E"
"AUT","GDP","TOT","MLN_USD","A","1971",31682.3746,"E"
"AUT","GDP","TOT","MLN_USD","A","1972",35105.9191,"E"
"AUT","GDP","TOT","MLN_USD","A","1973",38825.4999,"E"
"AUT","GDP","TOT","MLN_USD","A","1974",43981.9467,"E"
"AUT","GDP","TOT","MLN_USD","A","1975",47881.1954,"E"
"AUT","GDP","TOT","MLN_USD","A","1976",52821.1803,"E"
"AUT","GDP","TOT","MLN_USD","A","1977",58947.4116,"E"
"AUT","GDP","TOT","MLN_USD","A","1978",62953.377,"E"
"AUT","GDP","TOT","MLN_USD","A","1979",71801.3742,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79632.1579,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86941.1771,"E"
"AUT","GDP","TOT","MLN_USD","A","1982",94191.8688,"E"
"AUT","GDP","TOT","MLN_USD","A","1983",100821.887,"E"
"AUT","GDP","TOT","MLN_USD","A","1984",104452.8178,"E"
"AUT","GDP","TOT","MLN_USD","A","1985",110488.3512,"E"
"AUT","GDP","TOT","MLN_USD","A","1986",115311.6651,"E"
"AUT","GDP","TOT","MLN_USD","A","1987",119858.5065,"E"
"AUT","GDP","TOT","MLN_USD","A","1988",128143.3296,"E"
"AUT","GDP","TOT","MLN_USD","A","1989",138300.2577,"E"
"AUT","GDP","TOT","MLN_USD","A","1990",149648.5549,"E"
"AUT","GDP","TOT","MLN_USD","A","1991",159951.4022,"E"
"AUT","GDP","TOT","MLN_USD","A","1992",167022.531,"E"
"AUT","GDP","TOT","MLN_USD","A","1993",171897.2591,"E"
"AUT","GDP","TOT","MLN_USD","A","1994",179772.5118,"E"
"AUT","GDP","TOT","MLN_USD","A","1995",188418.3217,
"AUT","GDP","TOT","MLN_USD","A","1996",195578.3108,
"AUT","GDP","TOT","MLN_USD","A","1997",203441.3416,
"AUT","GDP","TOT","MLN_USD","A","1998",213208.2259,
"AUT","GDP","TOT","MLN_USD","A","1999",221808.7774,
"AUT","GDP","TOT","MLN_USD","A","2000",236872.0196,
"AUT","GDP","TOT","MLN_USD","A","2001",240115.5078,
"AUT","GDP","TOT","MLN_USD","A","2002",252654.3854,
"AUT","GDP","TOT","MLN_USD","A","2003",261529.8191,
"AUT","GDP","TOT","MLN_USD","A","2004",276218.0737,
"AUT","GDP","TOT","MLN_USD","A","2005",285433.2141,
"AUT","GDP","TOT","MLN_USD","A","2006",311117.1289,
"AUT","GDP","TOT","MLN_USD","A","2007",325467.9598,
"AUT","GDP","TOT","MLN_USD","A","2008",342442.8873,
"AUT","GDP","TOT","MLN_USD","A","2009",338908.9944,
"AUT","GDP","TOT","MLN_USD","A","2010",350366.0554,
"AUT","GDP","TOT","MLN_USD","A","2011",369420.341,
"AUT","GDP","TOT","MLN_USD","A","2012",386584.4823,
"AUT","GDP","TOT","MLN_USD","A","2013",402060.3922,
"AUT","GDP","TOT","MLN_USD","A","2014",407488.388,
"AUT","GDP","TOT","USD_CAP","A","1970",3841.769575,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4224.01863,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4653.780921,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5118.367718,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5788.223203,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6318.010508,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6981.826157,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7788.591769,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8324.628135,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9510.840122,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10548.097841,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11486.921431,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12435.982019,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13332.859956,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13813.890043,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14605.232633,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15233.131188,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15823.769975,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16893.60242,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18150.673893,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19490.945367,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20625.873682,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21301.967845,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21743.645426,"E"
"AUT","GDP","TOT","USD_CAP","A","1994",22652.44945,"E"
"AUT","GDP","TOT","USD_CAP","A","1995",23705.552539,
"AUT","GDP","TOT","USD_CAP","A","1996",24573.177237,
"AUT","GDP","TOT","USD_CAP","A","1997",25532.165513,
"AUT","GDP","TOT","USD_CAP","A","1998",26728.577864,
"AUT","GDP","TOT","USD_CAP","A","1999",27752.729392,
"AUT","GDP","TOT","USD_CAP","A","2000",29566.257035,
"AUT","GDP","TOT","USD_CAP","A","2001",29856.597844,
"AUT","GDP","TOT","USD_CAP","A","2002",31260.90112,
"AUT","GDP","TOT","USD_CAP","A","2003",32215.068542,
"AUT","GDP","TOT","USD_CAP","A","2004",33811.135145,
"AUT","GDP","TOT","USD_CAP","A","2005",34701.953425,
"AUT","GDP","TOT","USD_CAP","A","2006",37629.304018,
"AUT","GDP","TOT","USD_CAP","A","2007",39235.749762,
"AUT","GDP","TOT","USD_CAP","A","2008",41151.37897,
"AUT","GDP","TOT","USD_CAP","A","2009",40629.345448,
"AUT","GDP","TOT","USD_CAP","A","2010",41904.456878,
