"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","AGRWTH","A","1960",5.636898,
"AUS","GFCF","TOT","AGRWTH","A","1961",2.102862,
"AUS","GFCF","TOT","AGRWTH","A","1962",6.249847,
"AUS","GFCF","TOT","AGRWTH","A","1963",9.380126,
"AUS","GFCF","TOT","AGRWTH","A","1964",7.481571,
"AUS","GFCF","TOT","AGRWTH","A","1965",8.130097,
"AUS","GFCF","TOT","AGRWTH","A","1966",5.096143,
"AUS","GFCF","TOT","AGRWTH","A","1967",7.349635,
"AUS","GFCF","TOT","AGRWTH","A","1968",6.396997,
"AUS","GFCF","TOT","AGRWTH","A","1969",3.280997,
"AUS","GFCF","TOT","AGRWTH","A","1970",3.244202,
"AUS","GFCF","TOT","AGRWTH","A","1971",2.785863,
"AUS","GFCF","TOT","AGRWTH","A","1972",3.037754,
"AUS","GFCF","TOT","AGRWTH","A","1973",4.31973,
"AUS","GFCF","TOT","AGRWTH","A","1974",-6.402776,
"AUS","GFCF","TOT","AGRWTH","A","1975",3.410776,
"AUS","GFCF","TOT","AGRWTH","A","1976",3.877204,
"AUS","GFCF","TOT","AGRWTH","A","1977",3.815574,
"AUS","GFCF","TOT","AGRWTH","A","1978",9.772585,
"AUS","GFCF","TOT","AGRWTH","A","1979",2.874801,
"AUS","GFCF","TOT","AGRWTH","A","1980",12.776257,
"AUS","GFCF","TOT","AGRWTH","A","1981",7.270266,
"AUS","GFCF","TOT","AGRWTH","A","1982",-9.482223,
"AUS","GFCF","TOT","AGRWTH","A","1983",5.092897,
"AUS","GFCF","TOT","AGRWTH","A","1984",9.615439,
"AUS","GFCF","TOT","AGRWTH","A","1985",5.927501,
"AUS","GFCF","TOT","AGRWTH","A","1986",0.391658,
"AUS","GFCF","TOT","AGRWTH","A","1987",7.490491,
"AUS","GFCF","TOT","AGRWTH","A","1988",10.709857,
"AUS","GFCF","TOT","AGRWTH","A","1989",0.893345,
"AUS","GFCF","TOT","AGRWTH","A","1990",-9.439224,
"AUS","GFCF","TOT","AGRWTH","A","1991",-4.034235,
"AUS","GFCF","TOT","AGRWTH","A","1992",6.689359,
"AUS","GFCF","TOT","AGRWTH","A","1993",5.694636,
"AUS","GFCF","TOT","AGRWTH","A","1994",10.936583,
"AUS","GFCF","TOT","AGRWTH","A","1995",2.752733,
"AUS","GFCF","TOT","AGRWTH","A","1996",6.637782,
"AUS","GFCF","TOT","AGRWTH","A","1997",9.679564,
"AUS","GFCF","TOT","AGRWTH","A","1998",4.55876,
"AUS","GFCF","TOT","AGRWTH","A","1999",7.99556,
"AUS","GFCF","TOT","AGRWTH","A","2000",-7.948226,
"AUS","GFCF","TOT","AGRWTH","A","2001",8.967477,
