"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1980",20.0252815785942,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1981",18.7302922597815,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1982",18.7360199322506,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1983",20.1895865019907,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1984",20.2667877555176,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1985",18.8746915362782,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1986",20.4608636147345,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1987",20.7375420480427,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1988",21.6847728589179,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1989",20.2039203367123,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1990",17.4908038011943,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1991",16.403250118226,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1992",17.283020644465,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1993",18.2695206484676,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1994",18.1829775536996,"E"
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1995",16.6342691645358,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1996",16.568465148845,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1997",16.634040369075,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1998",16.5683765438967,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","1999",16.4932476124819,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2000",16.7820025412703,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2001",17.1966579373987,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2002",18.4858511390771,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2003",21.1386246124416,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2004",22.1647568906782,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2005",22.3489394102409,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2006",21.3537566650509,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2007",20.2895263605075,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2008",20.8539619787423,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2009",20.2272016675352,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2010",20.5253203442169,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2011",20.7998793918566,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2012",20.2001334720249,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2013",21.0027805504064,
"GBR","GFCFASSET","DWELLING","PC_GFCF","A","2014",22.4208449305474,
