"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1994",24.2431777211413,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1995",23.3786307351969,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1996",23.7588012527209,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1997",21.7551736952748,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1998",20.448204046612,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","1999",20.4821580387909,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2000",20.1781265124647,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2001",19.4369728744016,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2002",20.5013505645228,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2003",19.9943327529455,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2004",20.0194298258562,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2005",19.4968816039952,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2006",18.5731444088567,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2007",17.1545985013111,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2008",16.8656668640663,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2009",16.0054290977187,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2010",15.9127251609959,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2011",16.6201200737331,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2012",16.7082251878632,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2013",17.4935390549662,
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2014",16.3861616269106,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1992",18.4189951525795,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1993",16.0877322643017,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1994",15.358289400053,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1995",16.8085688014116,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1996",17.6659710079531,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1997",18.2105115963163,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1998",19.4052877401357,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","1999",20.7264003757822,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2000",22.1407486734846,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2001",23.8786974575342,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2002",23.5245939783145,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2003",24.6573144628208,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2004",22.6113378867888,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2005",24.3987606089182,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2006",23.5911772604195,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2007",21.7091493715288,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2008",19.9414043587411,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2009",20.9523161805337,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2010",21.0615841085802,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2011",25.1884201315529,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2012",25.2651307714891,
"CHN","GFCFSECTOR","HH","PC_GFCF","A","2013",26.5743291871319,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1995",13.0112907249879,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1996",11.941877235868,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1997",10.9736984853846,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1998",13.7650229492881,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","1999",18.1583084873918,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2000",24.3290280830077,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2001",18.9978728373613,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2002",21.5760807049399,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2003",21.3757722472565,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2004",19.7964429623454,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2005",20.1029622165282,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2006",20.2224587810942,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2007",20.0405332242473,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2008",20.1427715440991,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2009",24.8427299839663,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2010",21.8170535864234,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2011",19.6829112793143,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2012",21.6602472047849,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2013",21.6712524623748,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2014",21.2203179724093,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1995",25.3368837180755,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1996",25.586028000593,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1997",25.0559315970771,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1998",24.64885415356,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","1999",23.8229877784005,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2000",22.2011906919375,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2001",22.6821608555323,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2002",21.3120342735886,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2003",20.7097054615028,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2004",20.9312589775197,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2005",21.6365106275058,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2006",22.4885123792683,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2007",21.6819625116336,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2008",21.6482346639786,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2009",20.6460040528443,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2010",20.8901075381735,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2011",19.9632477066055,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2012",19.1031741872303,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2013",17.8963776393426,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2014",18.184283582305,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","1995",35.6327206438414,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","1996",35.2283121620617,
