"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1967",7.8157746767,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1968",5.0624165093,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1969",12.2375984671,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1970",2.013161619,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1971",1.0802667009,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1972",8.8950949226,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1973",6.3293965859,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1974",-7.6011398472,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1975",-10.3719413377,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1976",16.7879835921,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1977",-1.4876006647,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1978",1.9487758833,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1979",0.8763151489,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1980",-5.062222453,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1981",-17.5881987171,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1982",10.215731631,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1983",4.3939216516,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1984",11.1549247163,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1985",15.4118441583,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1986",19.2518008838,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1987",2.3761985336,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1988",-6.740013112,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1989",1.8017592259,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1990",-1.2046724579,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1991",-3.1908170714,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1992",-0.1896444027,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1993",-3.7408944318,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1994",8.5380925326,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1995",11.9397105328,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1996",5.3179017835,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1997",10.2077711715,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1998",6.6456302395,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","1999",-0.2609388574,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2000",8.1662590086,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2001",-0.4670902668,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2002",-0.7369221411,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2003",-0.0358481143,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2004",4.1761172071,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2005",4.7724965797,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2006",15.1008407609,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2007",0.6579958573,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2008",-3.3043448754,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2009",-14.2626176541,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2010",-3.9816398427,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2011",0.341629469,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2012",0.6126573367,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2013",0.9497326332,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2014",3.979194302,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2015",0.6058634639,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2016",3.01820553,
"DNK","GFCFFORECAST","TOT","AGRWTH","A","2017",2.8698373036,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1961",3.5178747471,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1962",2.0475164152,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1963",9.2413860851,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1964",8.3854143249,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1965",8.4916618269,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1966",5.5691507666,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1967",6.1102156866,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1968",7.8900209923,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1969",4.5257529739,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1970",2.5167607488,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1971",4.9291408326,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1972",0.2476118122,
"AUS","GFCFFORECAST","TOT","AGRWTH","A","1973",6.1525506982,
