"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1961",1.2285581827,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1962",5.988092512,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1963",9.2578589176,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1964",9.7290883923,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1965",7.5283834925,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1966",6.9803494365,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1967",10.6802960874,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1968",9.1719745223,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1969",12.3039025023,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1970",11.1925652274,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1971",10.5642942428,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1972",9.5854070805,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1973",18.0380899334,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1974",19.4359244269,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1975",16.8338195964,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1976",17.3659703977,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1977",11.3222810789,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1978",10.3698173311,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1979",14.7431272098,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1980",12.8393780754,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1981",14.4985789122,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1982",11.6186536063,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1983",8.3199790692,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1984",13.0415748317,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1985",10.8772585836,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1986",8.8145079052,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1987",12.5814937664,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1988",13.1411548407,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1989",12.4510834774,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1990",6.4554268758,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1991",0.7302608178,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1992",3.7862573415,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1993",5.362949796,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1994",5.9936998603,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1995",6.158797794,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1996",6.1095601585,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1997",5.4608343682,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1998",5.3521770533,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","1999",5.4480571632,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2000",7.6108890756,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2001",6.2714337833,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2002",7.1502626249,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2003",6.1909918685,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2004",7.6814831711,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2005",7.8519297239,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2006",7.9038896989,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2007",9.0645828899,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2008",9.1210998724,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2009",1.7254535759,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2010",8.0138316811,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2011",7.13337266,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2012",3.2651001775,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2013",3.2872769295,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2014",3.081854965,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2015",1.409602154,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2016",3.9549970076,
"AUS","NOMGDPFORECAST","TOT","AGRWTH","A","2017",5.547394332,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1971",11.6366925615,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1972",14.2795862924,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1973",13.329440714,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1974",13.8188643138,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1975",6.0705509571,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1976",10.460898325,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1977",10.5427873316,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1978",5.7697370889,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1979",9.6914658664,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1980",7.4087422959,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1981",6.562681343,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1982",7.4742528338,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1983",6.5491206922,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1984",5.0035864655,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1985",5.535709743,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1986",5.3203045105,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1987",3.8271896473,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1988",4.8730583996,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1989",6.967078178,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1990",7.4756773338,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1991",7.2088385776,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1992",5.6454534986,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1993",3.2984186623,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1994",4.987713794,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1995",4.5302967434,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1996",3.3768524032,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1997",3.6304170556,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1998",3.9740913821,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","1999",3.6980081195,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2000",5.1651242146,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2001",3.1491213135,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2002",2.7629682495,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2003",2.1049002274,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2004",4.238115546,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2005",4.983576062,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2006",5.5982218087,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2007",5.8047330072,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2008",3.0364183069,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2009",-1.7245512139,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2010",2.8195186978,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2011",4.9424305715,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2012",2.6846337174,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2013",1.8062882455,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2014",2.1065995312,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2015",2.2553835952,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2016",2.6687307428,
"AUT","NOMGDPFORECAST","TOT","AGRWTH","A","2017",3.301414612,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1971",9.5576127778,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1972",11.9479913261,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1973",13.6230905573,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1974",17.2891151845,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1975",10.6703753949,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1976",13.6562205141,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1977",8.1510386283,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1978",7.3908504811,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1979",6.9517860269,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1980",8.7540387304,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1981",4.8455605015,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1982",8.2104467131,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1983",5.9421953776,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1984",8.0392397071,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1985",6.3559765543,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1986",4.6705211793,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1987",4.0296168612,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1988",6.9946449956,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1989",8.433056455,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1990",6.038042067,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1991",4.7624295186,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1992",5.0075970079,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1993",2.9929489284,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1994",5.3888591699,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1995",3.6346390484,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1996",2.0445543291,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1997",4.6430437005,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1998",3.7708319781,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","1999",4.1521670897,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2000",5.730757577,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2001",2.9301918504,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2002",3.4902576636,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2003",2.7525847518,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2004",5.6872696909,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2005",4.2750379297,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2006",4.8739119715,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2007",5.5257099002,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2008",2.7133915944,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2009",-1.4926034956,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2010",4.6789805984,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2011",3.8361492247,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2012",2.1926567825,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2013",1.3629178553,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2014",2.0228979447,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2015",1.7291892356,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2016",2.6918633145,
"BEL","NOMGDPFORECAST","TOT","AGRWTH","A","2017",3.176075914,
"CAN","NOMGDPFORECAST","TOT","AGRWTH","A","1962",8.4812862798,
