"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1961",4.457423,
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.67408,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.117422,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.326272,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.372839,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.661388,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.895217,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.828348,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.484118,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.858811,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.643757,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.430294,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.060776,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",0.980123,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.353242,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.792171,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.605288,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.388745,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.861345,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.312491,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.196321,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.036935,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.720459,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.716707,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.815776,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.775828,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.426477,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.504792,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.828329,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.028061,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.258301,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.171534,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.337497,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",2.969582,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.268972,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",2.948765,
"OECD","QGDP","TOT","PC_CHGPP","A","1997",3.564691,
"OECD","QGDP","TOT","PC_CHGPP","A","1998",2.782385,
"OECD","QGDP","TOT","PC_CHGPP","A","1999",3.366342,
"OECD","QGDP","TOT","PC_CHGPP","A","2000",4.083428,
"OECD","QGDP","TOT","PC_CHGPP","A","2001",1.350273,
"OECD","QGDP","TOT","PC_CHGPP","A","2002",1.703691,
"OECD","QGDP","TOT","PC_CHGPP","A","2003",2.070441,
"OECD","QGDP","TOT","PC_CHGPP","A","2004",3.325954,
"OECD","QGDP","TOT","PC_CHGPP","A","2005",2.78718,
