"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",-0.5428737778,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.7248287194,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.0197118451,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.2574512763,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",4.9879665096,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.9248526919,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.1929582413,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.3018020918,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.2507121399,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.9475286603,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.8729716179,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.2880902993,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.3610265193,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.6072432921,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.4182064462,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.8894729257,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.4842001538,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.0115069617,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.617258259,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.7266356989,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.1791586672,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.352553948,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.159325393,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.5257813122,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.1019645553,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.9502529071,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.2352588335,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.6096971839,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.1862252871,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.3858276655,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.3450254983,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",2.960866305,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.1847861745,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.6056418388,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.5493083918,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",3.8927635389,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",3.8104767405,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",5.1406423512,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.0281539072,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.3832629863,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.6130392623,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",3.9665571169,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",3.0064026483,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9571350856,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.2423075735,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.6881820394,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2007",4.5245855179,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2008",2.5147356323,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2009",1.632989818,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2010",2.3169118444,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2011",2.6381922861,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2012",3.6703695494,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2013",2.0493830603,
