"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1990",194.255,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1991",418.995,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1992",4589.324,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1993",1407.987,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1994",2185.417,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1995",2532.681,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1996",6168.145,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1997",5801.079,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1998",2543.491,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","1999",26.457,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2000",2861.929,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2001",10443.971,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2002",6576.875,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2003",15027.571,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2004",7392.776,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2005",-35692.413,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2006",20008.284,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2007",11895.917,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2008",30260.543,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2009",16409.297,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2010",21463.952,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2011",3248.066,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2012",8257.764,
"AUS","FDIFLOW","OUTWARD","MLN_USD","A","2013",7379.39,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1990",0.06,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1991",0.127,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1992",1.407,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1993",0.444,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1994",0.603,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1995",0.646,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1996",1.415,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1997",1.327,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1998",0.652,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","1999",0.006,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2000",0.7,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2001",2.679,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2002",1.511,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2003",2.688,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2004",1.089,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2006",2.443,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2007",1.206,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2008",2.866,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2009",1.623,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2010",1.663,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2011",0.212,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2012",0.524,
"AUS","FDIFLOW","OUTWARD","PC_GDP","A","2013",0.49,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1990",1626.69,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1991",1285.238,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1992",1697.659,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1993",1189.965,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1994",1256.852,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1995",934.822,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1996",1692.235,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1997",1798.304,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1998",2637.317,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","1999",3031.11,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2000",5510.505,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2001",3022.465,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2002",5786.549,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2003",6865.115,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2004",8035.781,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2005",11138.454,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2006",13677.67,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2007",39033.539,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2008",29394.737,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2009",10006.946,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2010",9994.702,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2011",21896.48,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2012",17065.553,
"AUT","FDIFLOW","OUTWARD","MLN_USD","A","2013",13936.015,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1990",0.987,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1991",0.747,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1992",0.879,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1993",0.632,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1994",0.624,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1995",0.392,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1996",0.721,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1997",0.865,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1998",1.236,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","1999",1.428,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2000",2.869,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2001",1.577,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2002",2.788,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2003",2.703,
"AUT","FDIFLOW","OUTWARD","PC_GDP","A","2004",2.757,
