"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1990",31410.082,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1991",32002.08,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1992",35726.717,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1993",41922.548,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1994",49804.923,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1995",55276.02,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1996",69735.906,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1997",74763.276,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1998",81883.654,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","1999",95436.258,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2000",92508.028,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2001",117527.445,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2002",125211.652,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2003",179280,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2004",224998.578,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2005",205367.768,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2006",264647.243,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2007",341250.772,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2008",244302.148,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2009",364580.194,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2010",446721.212,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2011",411371.115,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2012",463051.712,
"AUS","FDISTOCK","OUTWARD","MLN_USD","A","2013",438691.489,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1990",9.7,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1991",9.71,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1992",10.957,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1993",13.211,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1994",13.736,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1995",14.089,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1996",16.002,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1997",17.102,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1998",21.005,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","1999",22.374,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2000",22.615,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2001",30.143,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2002",28.762,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2003",32.07,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2004",33.157,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2005",26.938,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2006",32.315,
"AUS","FDISTOCK","OUTWARD","PC_GDP","A","2007",34.592,
