"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",105.4624,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",111.8844,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",122.76,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",132.3127,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",139.9749,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",141.4444,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",146.0758,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",156.9744,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",167.6445,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",180.8506,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",188.5464,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",192.3242,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",194.274,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",189.2139,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",195.5534,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",195.8628,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",193.6459,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",195.8341,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",199.0803,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.79416,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.43458,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.79178,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.38312,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.64539,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.5246,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.14597,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",79.26852,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.44253,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",83.28577,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.47219,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.77776,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.63744,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",90.20093,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.34869,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",94.20359,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.4807,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",89.45466,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",89.33191,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",89.09097,
"BEL","HHDEBT","TOT","PC_NDI","A","1995",60.18863,
"BEL","HHDEBT","TOT","PC_NDI","A","1996",63.73422,
"BEL","HHDEBT","TOT","PC_NDI","A","1997",66.99346,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",68.28543,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",70.52064,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",68.26419,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",66.28788,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",68.26832,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.65987,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",74.58931,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",79.53007,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",83.2852,
