"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.4445463585102,
"AUS","HHDI","NET","AGRWTH","A","1971",4.21907257367449,
"AUS","HHDI","NET","AGRWTH","A","1972",7.22811965531887,
"AUS","HHDI","NET","AGRWTH","A","1973",8.25332539596505,
"AUS","HHDI","NET","AGRWTH","A","1974",4.41642964393274,
"AUS","HHDI","NET","AGRWTH","A","1975",1.1302590599961,
"AUS","HHDI","NET","AGRWTH","A","1976",3.32502230742516,
"AUS","HHDI","NET","AGRWTH","A","1977",0.901786265527461,
"AUS","HHDI","NET","AGRWTH","A","1978",3.29057925742791,
"AUS","HHDI","NET","AGRWTH","A","1979",1.04405768136134,
"AUS","HHDI","NET","AGRWTH","A","1980",3.02880893089548,
"AUS","HHDI","NET","AGRWTH","A","1981",4.1753165925695,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.215179388936376,
"AUS","HHDI","NET","AGRWTH","A","1983",4.08619112759739,
"AUS","HHDI","NET","AGRWTH","A","1984",2.63165846748601,
"AUS","HHDI","NET","AGRWTH","A","1985",2.18735336751479,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.144371962281829,
"AUS","HHDI","NET","AGRWTH","A","1987",2.42549076329512,
"AUS","HHDI","NET","AGRWTH","A","1988",5.37243509447423,
"AUS","HHDI","NET","AGRWTH","A","1989",4.07163252108338,
"AUS","HHDI","NET","AGRWTH","A","1990",0.703155538969432,
"AUS","HHDI","NET","AGRWTH","A","1991",0.641056681075569,
"AUS","HHDI","NET","AGRWTH","A","1992",2.04491133193074,
"AUS","HHDI","NET","AGRWTH","A","1993",2.12259528940498,
"AUS","HHDI","NET","AGRWTH","A","1994",3.69175923405844,
"AUS","HHDI","NET","AGRWTH","A","1995",3.77705073373273,
"AUS","HHDI","NET","AGRWTH","A","1996",4.16020607720315,
"AUS","HHDI","NET","AGRWTH","A","1997",2.16633601570069,
"AUS","HHDI","NET","AGRWTH","A","1998",4.59599938377465,
"AUS","HHDI","NET","AGRWTH","A","1999",3.58596486072095,
"AUS","HHDI","NET","AGRWTH","A","2000",4.21207281114564,
"AUS","HHDI","NET","AGRWTH","A","2001",4.19549499911291,
"AUS","HHDI","NET","AGRWTH","A","2002",1.09403604491149,
"AUS","HHDI","NET","AGRWTH","A","2003",5.58694738947238,
"AUS","HHDI","NET","AGRWTH","A","2004",5.50335710771195,
"AUS","HHDI","NET","AGRWTH","A","2005",2.54609034844363,
"AUS","HHDI","NET","AGRWTH","A","2006",5.05195049445809,
"AUS","HHDI","NET","AGRWTH","A","2007",6.55113871775333,
"AUS","HHDI","NET","AGRWTH","A","2008",6.55950787108739,
"AUS","HHDI","NET","AGRWTH","A","2009",1.43851269643066,
"AUS","HHDI","NET","AGRWTH","A","2010",4.39730948408023,
"AUS","HHDI","NET","AGRWTH","A","2011",4.01474588347208,
"AUS","HHDI","NET","AGRWTH","A","2012",0.835333911512051,
"AUS","HHDI","NET","AGRWTH","A","2013",1.87475244454881,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.050716152345145,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.216658084528876,
"AUT","HHDI","NET","AGRWTH","A","1998",2.97803146569983,
"AUT","HHDI","NET","AGRWTH","A","1999",3.67791372709416,
"AUT","HHDI","NET","AGRWTH","A","2000",1.48629049493311,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.462793618612135,
"AUT","HHDI","NET","AGRWTH","A","2002",1.1956507301224,
"AUT","HHDI","NET","AGRWTH","A","2003",1.89093797007819,
