"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2006",10.18547,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2007",1.965285,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2008",8.313846,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2009",5.325259,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2010",-6.775596,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2011",1.04099,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2012",-2.752758,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2013",2.346357,
"GRC","HHFT","NETBALANCE","PC_NHHDI","A","2014",-3.980616,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1996",7.20904,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1997",5.891942,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1998",6.35701,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","1999",8.3777,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2000",10.08837,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2001",5.906423,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2002",7.106924,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2003",7.812347,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2004",7.108729,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2005",8.562774,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2006",9.165972,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2007",10.2179,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2008",9.699554,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2009",8.621818,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2010",6.593928,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.112669,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2012",5.374109,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2013",3.333543,
"AUT","HHFT","NETBALANCE","PC_NHHDI","A","2014",4.399871,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2008",-0.5557751,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2009",7.065653,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2010",8.496406,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2011",4.732267,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2012",6.562034,
"CHL","HHFT","NETBALANCE","PC_NHHDI","A","2013",6.201367,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2002",-5.017325,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2003",-12.24582,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2004",-11.40036,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2005",-18.38936,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2006",-17.39852,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2007",-19.28514,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2008",-1.514841,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2009",12.02851,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2010",12.04436,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2011",8.634793,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2012",6.98351,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2013",5.587706,
"IRL","HHFT","NETBALANCE","PC_NHHDI","A","2014",5.86959,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.742942,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1997",0.3401882,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1998",3.683519,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","1999",2.324812,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2000",1.092931,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2001",-1.81132,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2002",3.357114,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2003",2.879153,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2004",1.355172,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2005",3.990157,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2006",-7.911845,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2007",-7.469853,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2008",-4.974614,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2009",0.0456283,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2010",-1.21426,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2011",-2.556663,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2012",-1.20298,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2013",-2.266988,
"NOR","HHFT","NETBALANCE","PC_NHHDI","A","2014",0.9473622,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1995",10.11277,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1996",2.454057,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1997",2.47806,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1998",3.020106,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","1999",1.532639,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2000",-2.877709,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2001",-0.4125683,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2002",-1.125816,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2003",1.158291,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2004",-1.981069,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2005",-4.568306,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2006",-5.946639,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2007",-4.460983,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2008",-2.466827,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2009",3.918424,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2010",-0.3421528,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2011",-2.261304,
"FIN","HHFT","NETBALANCE","PC_NHHDI","A","2012",-4.538226,
