"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1970",12.6454675323,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1971",13.0624805605,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1972",11.989269383,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1973",12.234142502,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1974",13.4372985266,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1975",13.6422831502,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1976",14.5542510899,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1977",11.9566665146,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1978",15.4014407488,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1979",15.3214341974,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1980",14.6331863606,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1981",13.4424253918,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1982",13.6911781086,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1983",11.2936838482,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1984",10.931027097,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1985",11.0554820492,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1986",13.3810348291,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1987",14.7422399774,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1988",14.3791021813,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1989",15.3986852069,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1990",15.6183929339,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1991",15.278787223,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1992",15.4205790202,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1993",15.9314627605,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1994",15.3832925244,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1995",14.6464659781,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","1996",11.9185321681,
