"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",14.8236583551885,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",14.9106701504131,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",17.0547183794466,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",18.8883535765905,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",18.1414275630113,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",16.6886865871536,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",15.3734124684843,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",14.4559997726821,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",15.8478705410113,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.0934595387888,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",14.875717401574,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.1321704950252,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",11.6603164249863,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",13.4983086801972,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.0736946441995,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.1629914701394,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",8.35473833097596,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.2168790699119,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.21804817918956,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.45989036521625,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",7.56645100943176,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",5.66266883583671,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",5.78103497236724,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",5.43778058926813,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",4.36366050827482,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",4.74221540013513,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",5.93895282932761,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",3.08694711182494,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",1.40337201759598,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",1.20073336663697,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",2.34124121150391,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",3.50802959280146,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",0.028929768732025,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",0.455848703438594,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",1.50266968960704,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",1.1162349395489,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",1.82107462572124,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",3.95025645848556,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",10.0095912092423,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",9.14424133756768,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",10.1540860671788,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",11.1836133366072,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",10.2552052317877,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",9.66772932949404,
"AUT","HHSAV","TOT","PC_HHDI","A","1995",14.6463909606585,
"AUT","HHSAV","TOT","PC_HHDI","A","1996",11.9184556440753,
"AUT","HHSAV","TOT","PC_HHDI","A","1997",10.4262768565848,
"AUT","HHSAV","TOT","PC_HHDI","A","1998",10.3626929950685,
"AUT","HHSAV","TOT","PC_HHDI","A","1999",11.7268936901884,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.4703066750772,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",8.82113712476754,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",8.94761256363237,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.17120169999515,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.2126003935887,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",10.7411474561041,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.2980389670293,
"AUT","HHSAV","TOT","PC_HHDI","A","2007",12.0881160082292,
"AUT","HHSAV","TOT","PC_HHDI","A","2008",11.9470845923634,
"AUT","HHSAV","TOT","PC_HHDI","A","2009",11.2615794466084,
"AUT","HHSAV","TOT","PC_HHDI","A","2010",9.28038978647389,
"AUT","HHSAV","TOT","PC_HHDI","A","2011",7.87715541279083,
"AUT","HHSAV","TOT","PC_HHDI","A","2012",9.2177330497617,
"AUT","HHSAV","TOT","PC_HHDI","A","2013",7.33635322972799,
"AUT","HHSAV","TOT","PC_HHDI","A","2014",7.80409595987427,
"BEL","HHSAV","TOT","PC_HHDI","A","1995",14.6258178140975,
"BEL","HHSAV","TOT","PC_HHDI","A","1996",12.5874823086334,
"BEL","HHSAV","TOT","PC_HHDI","A","1997",11.7346542602677,
"BEL","HHSAV","TOT","PC_HHDI","A","1998",11.072047255275,
"BEL","HHSAV","TOT","PC_HHDI","A","1999",11.3417553375489,
"BEL","HHSAV","TOT","PC_HHDI","A","2000",10.4237966365848,
"BEL","HHSAV","TOT","PC_HHDI","A","2001",11.9096132750714,
"BEL","HHSAV","TOT","PC_HHDI","A","2002",11.0160123233074,
"BEL","HHSAV","TOT","PC_HHDI","A","2003",10.5573891172321,
"BEL","HHSAV","TOT","PC_HHDI","A","2004",8.87869279569104,
"BEL","HHSAV","TOT","PC_HHDI","A","2005",8.52292276494701,
"BEL","HHSAV","TOT","PC_HHDI","A","2006",9.16186497475291,
"BEL","HHSAV","TOT","PC_HHDI","A","2007",9.43871376707198,
"BEL","HHSAV","TOT","PC_HHDI","A","2008",9.99834774959029,
"BEL","HHSAV","TOT","PC_HHDI","A","2009",11.4028739236207,
"BEL","HHSAV","TOT","PC_HHDI","A","2010",8.18758312795364,
"BEL","HHSAV","TOT","PC_HHDI","A","2011",6.59061252549391,
"BEL","HHSAV","TOT","PC_HHDI","A","2012",6.35710887833632,
"BEL","HHSAV","TOT","PC_HHDI","A","2013",4.98484927775305,
"BEL","HHSAV","TOT","PC_HHDI","A","2014",5.09555220340956,
"CZE","HHSAV","TOT","PC_HHDI","A","1995",6.6380500503662,
"CZE","HHSAV","TOT","PC_HHDI","A","1996",6.54011641054076,
"CZE","HHSAV","TOT","PC_HHDI","A","1997",6.89555253833162,
"CZE","HHSAV","TOT","PC_HHDI","A","1998",5.43813588273139,
"CZE","HHSAV","TOT","PC_HHDI","A","1999",4.91610449165684,
"CZE","HHSAV","TOT","PC_HHDI","A","2000",6.01239088677296,
"CZE","HHSAV","TOT","PC_HHDI","A","2001",6.22177749848738,
"CZE","HHSAV","TOT","PC_HHDI","A","2002",6.28203354200998,
"CZE","HHSAV","TOT","PC_HHDI","A","2003",5.68552070492382,
"CZE","HHSAV","TOT","PC_HHDI","A","2004",4.85069490915849,
"CZE","HHSAV","TOT","PC_HHDI","A","2005",6.10086444448307,
"CZE","HHSAV","TOT","PC_HHDI","A","2006",7.83759408542288,
"CZE","HHSAV","TOT","PC_HHDI","A","2007",7.01527585641544,
"CZE","HHSAV","TOT","PC_HHDI","A","2008",6.30480238576766,
"CZE","HHSAV","TOT","PC_HHDI","A","2009",8.50769280675341,
"CZE","HHSAV","TOT","PC_HHDI","A","2010",7.60979475243837,
"CZE","HHSAV","TOT","PC_HHDI","A","2011",5.90350870121291,
"CZE","HHSAV","TOT","PC_HHDI","A","2012",6.16633039139436,
"CZE","HHSAV","TOT","PC_HHDI","A","2013",5.52060230168612,
"CZE","HHSAV","TOT","PC_HHDI","A","2014",5.71329037546392,
"DNK","HHSAV","TOT","PC_HHDI","A","1995",-0.483272444840779,
"DNK","HHSAV","TOT","PC_HHDI","A","1996",-2.094891084368,
"DNK","HHSAV","TOT","PC_HHDI","A","1997",-4.94265138348037,
"DNK","HHSAV","TOT","PC_HHDI","A","1998",-3.38021313213845,
"DNK","HHSAV","TOT","PC_HHDI","A","1999",-7.22721860781562,
"DNK","HHSAV","TOT","PC_HHDI","A","2000",-5.98848635640022,
"DNK","HHSAV","TOT","PC_HHDI","A","2001",0.045403269971588,
"DNK","HHSAV","TOT","PC_HHDI","A","2002",1.18207156623736,
"DNK","HHSAV","TOT","PC_HHDI","A","2003",1.82041450372515,
"DNK","HHSAV","TOT","PC_HHDI","A","2004",-2.22775023254623,
"DNK","HHSAV","TOT","PC_HHDI","A","2005",-4.58671413589446,
"DNK","HHSAV","TOT","PC_HHDI","A","2006",-1.7261812879448,
"DNK","HHSAV","TOT","PC_HHDI","A","2007",-3.13531786036855,
"DNK","HHSAV","TOT","PC_HHDI","A","2008",-4.17641509318825,
"DNK","HHSAV","TOT","PC_HHDI","A","2009",0.837755182058185,
"DNK","HHSAV","TOT","PC_HHDI","A","2010",2.13193369588546,
"DNK","HHSAV","TOT","PC_HHDI","A","2011",0.914655667940663,
"DNK","HHSAV","TOT","PC_HHDI","A","2012",0.741027170268032,
"DNK","HHSAV","TOT","PC_HHDI","A","2013",1.18556617484184,
"DNK","HHSAV","TOT","PC_HHDI","A","2014",-2.75698006487925,
"FIN","HHSAV","TOT","PC_HHDI","A","1995",4.66714768541374,
"FIN","HHSAV","TOT","PC_HHDI","A","1996",1.12617270488259,
