"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHEXP","TOT","MLN_USD","A","1960",14410.526,
"AUS","HHEXP","TOT","MLN_USD","A","1961",14846.2049,
"AUS","HHEXP","TOT","MLN_USD","A","1962",16163.031,
"AUS","HHEXP","TOT","MLN_USD","A","1963",17291.4656,
"AUS","HHEXP","TOT","MLN_USD","A","1964",18479.6653,
"AUS","HHEXP","TOT","MLN_USD","A","1965",19742.3232,
"AUS","HHEXP","TOT","MLN_USD","A","1966",21251.4365,
"AUS","HHEXP","TOT","MLN_USD","A","1967",23069.7672,
"AUS","HHEXP","TOT","MLN_USD","A","1968",25386.2732,
"AUS","HHEXP","TOT","MLN_USD","A","1969",27949.5992,
"AUS","HHEXP","TOT","MLN_USD","A","1970",31841.4774,
"AUS","HHEXP","TOT","MLN_USD","A","1971",34807.2005,
"AUS","HHEXP","TOT","MLN_USD","A","1972",37785.2989,
"AUS","HHEXP","TOT","MLN_USD","A","1973",41947.9939,
"AUS","HHEXP","TOT","MLN_USD","A","1974",47937.6917,
"AUS","HHEXP","TOT","MLN_USD","A","1975",53607.1716,
"AUS","HHEXP","TOT","MLN_USD","A","1976",58763.1966,
"AUS","HHEXP","TOT","MLN_USD","A","1977",63389.1122,
"AUS","HHEXP","TOT","MLN_USD","A","1978",69427.6203,
"AUS","HHEXP","TOT","MLN_USD","A","1979",76712.3433,
"AUS","HHEXP","TOT","MLN_USD","A","1980",86397.1031,
"AUS","HHEXP","TOT","MLN_USD","A","1981",99322.8861,
"AUS","HHEXP","TOT","MLN_USD","A","1982",106863.85,
"AUS","HHEXP","TOT","MLN_USD","A","1983",111280.0214,
"AUS","HHEXP","TOT","MLN_USD","A","1984",116197.2794,
"AUS","HHEXP","TOT","MLN_USD","A","1985",128599.3533,
"AUS","HHEXP","TOT","MLN_USD","A","1986",136233.7633,
"AUS","HHEXP","TOT","MLN_USD","A","1987",144565.1137,
"AUS","HHEXP","TOT","MLN_USD","A","1988",154419.4339,
"AUS","HHEXP","TOT","MLN_USD","A","1989",165276.2886,
"AUS","HHEXP","TOT","MLN_USD","A","1990",173899.5153,
"AUS","HHEXP","TOT","MLN_USD","A","1991",185093.9291,
"AUS","HHEXP","TOT","MLN_USD","A","1992",194955.3471,
"AUS","HHEXP","TOT","MLN_USD","A","1993",205775.4324,
"AUS","HHEXP","TOT","MLN_USD","A","1994",221431.7389,
"AUS","HHEXP","TOT","MLN_USD","A","1995",234093.7203,
"AUS","HHEXP","TOT","MLN_USD","A","1996",243829.3425,
"AUS","HHEXP","TOT","MLN_USD","A","1997",260305.4719,
"AUS","HHEXP","TOT","MLN_USD","A","1998",278449.2491,
"AUS","HHEXP","TOT","MLN_USD","A","1999",295834.8433,
"AUS","HHEXP","TOT","MLN_USD","A","2000",316667.756,
"AUS","HHEXP","TOT","MLN_USD","A","2001",330227.6384,
"AUS","HHEXP","TOT","MLN_USD","A","2002",351643.5225,
"AUS","HHEXP","TOT","MLN_USD","A","2003",370395.8476,
"AUS","HHEXP","TOT","MLN_USD","A","2004",390339.3529,
"AUS","HHEXP","TOT","MLN_USD","A","2005",408364.3439,
"AUS","HHEXP","TOT","MLN_USD","A","2006",437702.358,
"AUS","HHEXP","TOT","MLN_USD","A","2007",465274.5836,
"AUS","HHEXP","TOT","MLN_USD","A","2008",463519.4697,
"AUS","HHEXP","TOT","MLN_USD","A","2009",498915.6829,
"AUS","HHEXP","TOT","MLN_USD","A","2010",506827.0992,
"AUS","HHEXP","TOT","MLN_USD","A","2011",530215.4693,
"AUS","HHEXP","TOT","MLN_USD","A","2012",542703.569,
"AUS","HHEXP","TOT","MLN_USD","A","2013",605721.5003,
"AUS","HHEXP","TOT","MLN_USD","A","2014",622081.2907,
"AUT","HHEXP","TOT","MLN_USD","A","1970",15476.0128,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1971",17154.5641,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1972",18788.914,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1973",20591.8467,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1974",23221.9618,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1975",26548.0839,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1976",29531.6464,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1977",33444.4792,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1978",34543.1423,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1979",39143.1963,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1980",43946.6716,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1981",48867.8572,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1982",53085.7269,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1983",58036.5422,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1984",59016.2293,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1985",62296.6056,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1986",64109.3436,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1987",66470.8625,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1988",70393.9947,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1989",75539.6684,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1990",81605.9366,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1991",86384.369,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1992",91309.2184,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1993",93793.7509,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1994",97474.5243,"E"
"AUT","HHEXP","TOT","MLN_USD","A","1995",100716.7862,
"AUT","HHEXP","TOT","MLN_USD","A","1996",105604.7013,
"AUT","HHEXP","TOT","MLN_USD","A","1997",108295.0643,
"AUT","HHEXP","TOT","MLN_USD","A","1998",112554.7983,
"AUT","HHEXP","TOT","MLN_USD","A","1999",115452.6127,
"AUT","HHEXP","TOT","MLN_USD","A","2000",123862.0444,
"AUT","HHEXP","TOT","MLN_USD","A","2001",126148.5162,
"AUT","HHEXP","TOT","MLN_USD","A","2002",131187.9416,
"AUT","HHEXP","TOT","MLN_USD","A","2003",137440.8201,
"AUT","HHEXP","TOT","MLN_USD","A","2004",144625.7035,
"AUT","HHEXP","TOT","MLN_USD","A","2005",149404.1361,
"AUT","HHEXP","TOT","MLN_USD","A","2006",161254.7546,
"AUT","HHEXP","TOT","MLN_USD","A","2007",164785.2459,
"AUT","HHEXP","TOT","MLN_USD","A","2008",172620.4511,
"AUT","HHEXP","TOT","MLN_USD","A","2009",175867.9298,
"AUT","HHEXP","TOT","MLN_USD","A","2010",181591.9994,
"AUT","HHEXP","TOT","MLN_USD","A","2011",191245.3005,
"AUT","HHEXP","TOT","MLN_USD","A","2012",200337.8136,
"AUT","HHEXP","TOT","MLN_USD","A","2013",208925.4491,
"AUT","HHEXP","TOT","MLN_USD","A","2014",211850.0366,
"BEL","HHEXP","TOT","MLN_USD","A","1970",19412.8178,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1971",21343.4615,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1972",23420.3656,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1973",26405.288,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1974",29633.2072,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1975",32740.0885,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1976",36369.8261,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1977",39522.8652,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1978",43292.9698,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1979",48990.9193,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1980",56280.6759,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1981",63121.501,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1982",68395.9973,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1983",71973.24,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1984",74891.1675,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1985",79679.3335,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1986",81506.082,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1987",85131.229,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1988",90190.5876,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1989",95832.0442,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1990",102506.3805,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1991",109043.9519,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1992",111881.0772,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1993",112310.2666,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1994",117570.8115,"E"
"BEL","HHEXP","TOT","MLN_USD","A","1995",122238.4587,
"BEL","HHEXP","TOT","MLN_USD","A","1996",125617.1006,
"BEL","HHEXP","TOT","MLN_USD","A","1997",129826.8516,
"BEL","HHEXP","TOT","MLN_USD","A","1998",133218.7974,
"BEL","HHEXP","TOT","MLN_USD","A","1999",136785.3353,
"BEL","HHEXP","TOT","MLN_USD","A","2000",150210.2763,
"BEL","HHEXP","TOT","MLN_USD","A","2001",155861.1512,
"BEL","HHEXP","TOT","MLN_USD","A","2002",162063.1586,
"BEL","HHEXP","TOT","MLN_USD","A","2003",163147.4425,
"BEL","HHEXP","TOT","MLN_USD","A","2004",165974.5757,
"BEL","HHEXP","TOT","MLN_USD","A","2005",171871.9293,
"BEL","HHEXP","TOT","MLN_USD","A","2006",183059.7942,
"BEL","HHEXP","TOT","MLN_USD","A","2007",191091.8102,
"BEL","HHEXP","TOT","MLN_USD","A","2008",203546.7532,
"BEL","HHEXP","TOT","MLN_USD","A","2009",206148.1344,
"BEL","HHEXP","TOT","MLN_USD","A","2010",216677.3953,
"BEL","HHEXP","TOT","MLN_USD","A","2011",227730.8057,
"BEL","HHEXP","TOT","MLN_USD","A","2012",236070.7989,
"BEL","HHEXP","TOT","MLN_USD","A","2013",244851.3508,
"BEL","HHEXP","TOT","MLN_USD","A","2014",245520.2194,
"CAN","HHEXP","TOT","MLN_USD","A","1970",53595.0943,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1971",58436.8404,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1972",64362.2505,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1973",70801.0946,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1974",78080.453,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1975",89139.4295,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1976",97679.6551,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1977",108342.4128,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1978",121667.3812,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1979",133692.4684,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1980",148588.1838,"E"
"CAN","HHEXP","TOT","MLN_USD","A","1981",165485.5029,
"CAN","HHEXP","TOT","MLN_USD","A","1982",173124.3995,
"CAN","HHEXP","TOT","MLN_USD","A","1983",186750.6688,
"CAN","HHEXP","TOT","MLN_USD","A","1984",203126.8765,
"CAN","HHEXP","TOT","MLN_USD","A","1985",221207.5059,
"CAN","HHEXP","TOT","MLN_USD","A","1986",236394.0897,
"CAN","HHEXP","TOT","MLN_USD","A","1987",250153.723,
"CAN","HHEXP","TOT","MLN_USD","A","1988",267869.0257,
"CAN","HHEXP","TOT","MLN_USD","A","1989",286744.8256,
"CAN","HHEXP","TOT","MLN_USD","A","1990",303229.6341,
"CAN","HHEXP","TOT","MLN_USD","A","1991",314723.3874,
"CAN","HHEXP","TOT","MLN_USD","A","1992",327127.7836,
"CAN","HHEXP","TOT","MLN_USD","A","1993",343461.9744,
"CAN","HHEXP","TOT","MLN_USD","A","1994",359955.7861,
"CAN","HHEXP","TOT","MLN_USD","A","1995",372321.2483,
"CAN","HHEXP","TOT","MLN_USD","A","1996",389105.3686,
"CAN","HHEXP","TOT","MLN_USD","A","1997",415856.6052,
"CAN","HHEXP","TOT","MLN_USD","A","1998",438414.2696,
"CAN","HHEXP","TOT","MLN_USD","A","1999",460951.7891,
"CAN","HHEXP","TOT","MLN_USD","A","2000",475711.9393,
"CAN","HHEXP","TOT","MLN_USD","A","2001",499468.3125,
"CAN","HHEXP","TOT","MLN_USD","A","2002",523762.6735,
"CAN","HHEXP","TOT","MLN_USD","A","2003",549860.0387,
"CAN","HHEXP","TOT","MLN_USD","A","2004",572173.2376,
"CAN","HHEXP","TOT","MLN_USD","A","2005",612980.3955,
"CAN","HHEXP","TOT","MLN_USD","A","2006",650074.6733,
"CAN","HHEXP","TOT","MLN_USD","A","2007",684802.6667,
"CAN","HHEXP","TOT","MLN_USD","A","2008",703215.3345,
"CAN","HHEXP","TOT","MLN_USD","A","2009",725524.1992,
"CAN","HHEXP","TOT","MLN_USD","A","2010",750316.3278,
"CAN","HHEXP","TOT","MLN_USD","A","2011",770624.3849,
"CAN","HHEXP","TOT","MLN_USD","A","2012",793050.4536,
"CAN","HHEXP","TOT","MLN_USD","A","2013",843232.4685,
"CAN","HHEXP","TOT","MLN_USD","A","2014",870193.177,
"CZE","HHEXP","TOT","MLN_USD","A","1990",65311.9638,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1991",57337.6075,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1992",63198.8058,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1993",62800.0904,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1994",64760.4844,"E"
"CZE","HHEXP","TOT","MLN_USD","A","1995",69433.0309,
"CZE","HHEXP","TOT","MLN_USD","A","1996",74541.4135,
"CZE","HHEXP","TOT","MLN_USD","A","1997",78356.3553,
"CZE","HHEXP","TOT","MLN_USD","A","1998",77319.9372,
"CZE","HHEXP","TOT","MLN_USD","A","1999",80125.866,
"CZE","HHEXP","TOT","MLN_USD","A","2000",83825.3659,
"CZE","HHEXP","TOT","MLN_USD","A","2001",89373.9715,
"CZE","HHEXP","TOT","MLN_USD","A","2002",92562.8263,
"CZE","HHEXP","TOT","MLN_USD","A","2003",99221.4218,
"CZE","HHEXP","TOT","MLN_USD","A","2004",103681.9255,
"CZE","HHEXP","TOT","MLN_USD","A","2005",107897.0039,
"CZE","HHEXP","TOT","MLN_USD","A","2006",116187.9722,
"CZE","HHEXP","TOT","MLN_USD","A","2007",125452.557,
"CZE","HHEXP","TOT","MLN_USD","A","2008",132312.1735,
"CZE","HHEXP","TOT","MLN_USD","A","2009",136000.3658,
"CZE","HHEXP","TOT","MLN_USD","A","2010",137689.7847,
"CZE","HHEXP","TOT","MLN_USD","A","2011",146102.1705,
"CZE","HHEXP","TOT","MLN_USD","A","2012",147223.1652,
"CZE","HHEXP","TOT","MLN_USD","A","2013",155067.1833,
