"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BOP","TOT","MLN_USD","A","1960",-714.7679,
"AUS","BOP","TOT","MLN_USD","A","1961",-21.21312,
"AUS","BOP","TOT","MLN_USD","A","1962",-161.3994,
"AUS","BOP","TOT","MLN_USD","A","1963",-4.491244,
"AUS","BOP","TOT","MLN_USD","A","1964",-270.2561,
"AUS","BOP","TOT","MLN_USD","A","1965",-913.6116,
"AUS","BOP","TOT","MLN_USD","A","1966",-511.9395,
"AUS","BOP","TOT","MLN_USD","A","1967",-720.9011,
"AUS","BOP","TOT","MLN_USD","A","1968",-1141.427,
"AUS","BOP","TOT","MLN_USD","A","1969",-658.8262,
"AUS","BOP","TOT","MLN_USD","A","1970",-582.433,
"AUS","BOP","TOT","MLN_USD","A","1971",-575.8753,
"AUS","BOP","TOT","MLN_USD","A","1972",771.434,
"AUS","BOP","TOT","MLN_USD","A","1973",901.7081,
"AUS","BOP","TOT","MLN_USD","A","1974",-2399.496,
"AUS","BOP","TOT","MLN_USD","A","1975",-584.4752,
"AUS","BOP","TOT","MLN_USD","A","1976",-1468.371,
"AUS","BOP","TOT","MLN_USD","A","1977",-2615.598,
"AUS","BOP","TOT","MLN_USD","A","1978",-4038.667,
"AUS","BOP","TOT","MLN_USD","A","1979",-2043.339,
"AUS","BOP","TOT","MLN_USD","A","1980",-3853.536,
"AUS","BOP","TOT","MLN_USD","A","1981",-7647.055,
"AUS","BOP","TOT","MLN_USD","A","1982",-7657.872,
"AUS","BOP","TOT","MLN_USD","A","1983",-5642.446,
"AUS","BOP","TOT","MLN_USD","A","1984",-8149.437,
"AUS","BOP","TOT","MLN_USD","A","1985",-8447.753,
"AUS","BOP","TOT","MLN_USD","A","1986",-9131.707,
"AUS","BOP","TOT","MLN_USD","A","1987",-7210.175,
"AUS","BOP","TOT","MLN_USD","A","1988",-10259.94,
"AUS","BOP","TOT","MLN_USD","A","1989",-18423.64,
"AUS","BOP","TOT","MLN_USD","A","1990",-15637.04,
"AUS","BOP","TOT","MLN_USD","A","1991",-10634.45,
"AUS","BOP","TOT","MLN_USD","A","1992",-10344.37,
"AUS","BOP","TOT","MLN_USD","A","1993",-9255.022,
"AUS","BOP","TOT","MLN_USD","A","1994",-15740.6,
"AUS","BOP","TOT","MLN_USD","A","1995",-18674.36,
"AUS","BOP","TOT","MLN_USD","A","1996",-14417.74,
"AUS","BOP","TOT","MLN_USD","A","1997",-12059.04,
"AUS","BOP","TOT","MLN_USD","A","1998",-17814.59,
"AUS","BOP","TOT","MLN_USD","A","1999",-21775.73,
"AUS","BOP","TOT","MLN_USD","A","2000",-15525.48,
"AUS","BOP","TOT","MLN_USD","A","2001",-7811.925,
"AUS","BOP","TOT","MLN_USD","A","2002",-15701.43,
"AUS","BOP","TOT","MLN_USD","A","2003",-28827.11,
"AUS","BOP","TOT","MLN_USD","A","2004",-41032.4,
"AUS","BOP","TOT","MLN_USD","A","2005",-43351.22,
"AUS","BOP","TOT","MLN_USD","A","2006",-45313.36,
"AUS","BOP","TOT","MLN_USD","A","2007",-63354.32,
"AUS","BOP","TOT","MLN_USD","A","2008",-50300.6,
"AUS","BOP","TOT","MLN_USD","A","2009",-45304.06,
"AUS","BOP","TOT","MLN_USD","A","2010",-44335.06,
"AUS","BOP","TOT","MLN_USD","A","2011",-44341.23,
"AUS","BOP","TOT","MLN_USD","A","2012",-66331.59,
"AUS","BOP","TOT","MLN_USD","A","2013",-51398.8,
"AUS","BOP","TOT","MLN_USD","A","2014",-43569.57,
"AUS","BOP","TOT","PC_GDP","A","1960",-3.658654,
"AUS","BOP","TOT","PC_GDP","A","1961",-0.09593916,
"AUS","BOP","TOT","PC_GDP","A","1962",-0.7615541,
"AUS","BOP","TOT","PC_GDP","A","1963",-0.05467621,
"AUS","BOP","TOT","PC_GDP","A","1964",-1.061541,
"AUS","BOP","TOT","PC_GDP","A","1965",-3.423973,
"AUS","BOP","TOT","PC_GDP","A","1966",-1.811633,
"AUS","BOP","TOT","PC_GDP","A","1967",-2.29445,
"AUS","BOP","TOT","PC_GDP","A","1968",-3.370812,
"AUS","BOP","TOT","PC_GDP","A","1969",-1.722159,
"AUS","BOP","TOT","PC_GDP","A","1970",-1.357761,
"AUS","BOP","TOT","PC_GDP","A","1971",-1.199567,
"AUS","BOP","TOT","PC_GDP","A","1972",1.367221,
"AUS","BOP","TOT","PC_GDP","A","1973",1.194443,
"AUS","BOP","TOT","PC_GDP","A","1974",-2.536662,
"AUS","BOP","TOT","PC_GDP","A","1975",-0.5555674,
"AUS","BOP","TOT","PC_GDP","A","1976",-1.330802,
"AUS","BOP","TOT","PC_GDP","A","1977",-2.35704,
"AUS","BOP","TOT","PC_GDP","A","1978",-3.163571,
