"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VAGEXP","TOT","PC","A","1995",87.89,
"AUS","VAGEXP","TOT","PC","A","2000",84.09,
"AUS","VAGEXP","TOT","PC","A","2005",87.82,
"AUS","VAGEXP","TOT","PC","A","2008",86.25,
"AUS","VAGEXP","TOT","PC","A","2009",86.92,
"AUS","VAGEXP","TOT","PC","A","2010",87.02,
"AUS","VAGEXP","TOT","PC","A","2011",85.9,
"AUT","VAGEXP","TOT","PC","A","1995",78.55,
"AUT","VAGEXP","TOT","PC","A","2000",75.2,
"AUT","VAGEXP","TOT","PC","A","2005",73.54,
"AUT","VAGEXP","TOT","PC","A","2008",71.93,
"AUT","VAGEXP","TOT","PC","A","2009",75.31,
"AUT","VAGEXP","TOT","PC","A","2010",73.57,
"AUT","VAGEXP","TOT","PC","A","2011",72.18,
"BEL","VAGEXP","TOT","PC","A","1995",68.89,
"BEL","VAGEXP","TOT","PC","A","2000",65.56,
"BEL","VAGEXP","TOT","PC","A","2005",68.74,
"BEL","VAGEXP","TOT","PC","A","2008",63.36,
"BEL","VAGEXP","TOT","PC","A","2009",69.43,
"BEL","VAGEXP","TOT","PC","A","2010",69.13,
"BEL","VAGEXP","TOT","PC","A","2011",65.46,
"CAN","VAGEXP","TOT","PC","A","1995",75.85,
"CAN","VAGEXP","TOT","PC","A","2000",73.05,
"CAN","VAGEXP","TOT","PC","A","2005",76.52,
"CAN","VAGEXP","TOT","PC","A","2008",77.25,
"CAN","VAGEXP","TOT","PC","A","2009",77.67,
"CAN","VAGEXP","TOT","PC","A","2010",76.62,
"CAN","VAGEXP","TOT","PC","A","2011",76.53,
"CZE","VAGEXP","TOT","PC","A","1995",69.53,
"CZE","VAGEXP","TOT","PC","A","2000",61.27,
"CZE","VAGEXP","TOT","PC","A","2005",57.45,
"CZE","VAGEXP","TOT","PC","A","2008",57.69,
"CZE","VAGEXP","TOT","PC","A","2009",59.84,
"CZE","VAGEXP","TOT","PC","A","2010",55.92,
"CZE","VAGEXP","TOT","PC","A","2011",54.72,
"DNK","VAGEXP","TOT","PC","A","1995",76.86,
"DNK","VAGEXP","TOT","PC","A","2000",73.88,
"DNK","VAGEXP","TOT","PC","A","2005",72.26,
"DNK","VAGEXP","TOT","PC","A","2008",65.93,
"DNK","VAGEXP","TOT","PC","A","2009",69.26,
"DNK","VAGEXP","TOT","PC","A","2010",70.06,
"DNK","VAGEXP","TOT","PC","A","2011",67.36,
"FIN","VAGEXP","TOT","PC","A","1995",75.93,
"FIN","VAGEXP","TOT","PC","A","2000",69.38,
"FIN","VAGEXP","TOT","PC","A","2005",68.2,
"FIN","VAGEXP","TOT","PC","A","2008",66.41,
"FIN","VAGEXP","TOT","PC","A","2009",69.44,
"FIN","VAGEXP","TOT","PC","A","2010",68.19,
"FIN","VAGEXP","TOT","PC","A","2011",65.3,
"FRA","VAGEXP","TOT","PC","A","1995",82.71,
"FRA","VAGEXP","TOT","PC","A","2000",77.17,
"FRA","VAGEXP","TOT","PC","A","2005",76.56,
"FRA","VAGEXP","TOT","PC","A","2008",75.23,
"FRA","VAGEXP","TOT","PC","A","2009",78.41,
"FRA","VAGEXP","TOT","PC","A","2010",76.26,
"FRA","VAGEXP","TOT","PC","A","2011",74.87,
"DEU","VAGEXP","TOT","PC","A","1995",85.14,
"DEU","VAGEXP","TOT","PC","A","2000",79.78,
"DEU","VAGEXP","TOT","PC","A","2005",78.66,
"DEU","VAGEXP","TOT","PC","A","2008",75.23,
"DEU","VAGEXP","TOT","PC","A","2009",78.13,
"DEU","VAGEXP","TOT","PC","A","2010",76.66,
"DEU","VAGEXP","TOT","PC","A","2011",74.46,
"GRC","VAGEXP","TOT","PC","A","1995",83.75,
"GRC","VAGEXP","TOT","PC","A","2000",76.06,
"GRC","VAGEXP","TOT","PC","A","2005",78.74,
"GRC","VAGEXP","TOT","PC","A","2008",74.69,
"GRC","VAGEXP","TOT","PC","A","2009",79.29,
"GRC","VAGEXP","TOT","PC","A","2010",78.25,
"GRC","VAGEXP","TOT","PC","A","2011",75.05,
"HUN","VAGEXP","TOT","PC","A","1995",69.87,
"HUN","VAGEXP","TOT","PC","A","2000",48.43,
"HUN","VAGEXP","TOT","PC","A","2005",51.91,
"HUN","VAGEXP","TOT","PC","A","2008",53.6,
"HUN","VAGEXP","TOT","PC","A","2009",55.05,
"HUN","VAGEXP","TOT","PC","A","2010",51.15,
"HUN","VAGEXP","TOT","PC","A","2011",51.32,
"ISL","VAGEXP","TOT","PC","A","1995",81.16,
"ISL","VAGEXP","TOT","PC","A","2000",75.76,
"ISL","VAGEXP","TOT","PC","A","2005",71.03,
"ISL","VAGEXP","TOT","PC","A","2008",70.38,
"ISL","VAGEXP","TOT","PC","A","2009",69.63,
"ISL","VAGEXP","TOT","PC","A","2010",68.83,
"ISL","VAGEXP","TOT","PC","A","2011",66.81,
"IRL","VAGEXP","TOT","PC","A","1995",61.53,
"IRL","VAGEXP","TOT","PC","A","2000",57.03,
"IRL","VAGEXP","TOT","PC","A","2005",58.11,
"IRL","VAGEXP","TOT","PC","A","2008",56.36,
"IRL","VAGEXP","TOT","PC","A","2009",57.97,
"IRL","VAGEXP","TOT","PC","A","2010",56.31,
"IRL","VAGEXP","TOT","PC","A","2011",56.38,
"ITA","VAGEXP","TOT","PC","A","1995",82.77,
"ITA","VAGEXP","TOT","PC","A","2000",80.04,
"ITA","VAGEXP","TOT","PC","A","2005",77.96,
"ITA","VAGEXP","TOT","PC","A","2008",74.21,
"ITA","VAGEXP","TOT","PC","A","2009",78.8,
"ITA","VAGEXP","TOT","PC","A","2010",75.05,
"ITA","VAGEXP","TOT","PC","A","2011",73.51,
"JPN","VAGEXP","TOT","PC","A","1995",94.37,
"JPN","VAGEXP","TOT","PC","A","2000",92.6,
"JPN","VAGEXP","TOT","PC","A","2005",88.88,
"JPN","VAGEXP","TOT","PC","A","2008",84.23,
"JPN","VAGEXP","TOT","PC","A","2009",88.8,
"JPN","VAGEXP","TOT","PC","A","2010",87.27,
"JPN","VAGEXP","TOT","PC","A","2011",85.32,
"KOR","VAGEXP","TOT","PC","A","1995",77.67,
"KOR","VAGEXP","TOT","PC","A","2000",70.23,
"KOR","VAGEXP","TOT","PC","A","2005",66.98,
"KOR","VAGEXP","TOT","PC","A","2008",58.24,
"KOR","VAGEXP","TOT","PC","A","2009",62.47,
"KOR","VAGEXP","TOT","PC","A","2010",60.76,
"KOR","VAGEXP","TOT","PC","A","2011",58.3,
"LUX","VAGEXP","TOT","PC","A","1995",58.98,
"LUX","VAGEXP","TOT","PC","A","2000",47.09,
"LUX","VAGEXP","TOT","PC","A","2005",45.34,
"LUX","VAGEXP","TOT","PC","A","2008",41.14,
"LUX","VAGEXP","TOT","PC","A","2009",44.79,
"LUX","VAGEXP","TOT","PC","A","2010",42.5,
"LUX","VAGEXP","TOT","PC","A","2011",41.02,
"MEX","VAGEXP","TOT","PC","A","1995",72.66,
"MEX","VAGEXP","TOT","PC","A","2000",65.61,
"MEX","VAGEXP","TOT","PC","A","2005",66.97,
"MEX","VAGEXP","TOT","PC","A","2008",67.25,
"MEX","VAGEXP","TOT","PC","A","2009",66.45,
"MEX","VAGEXP","TOT","PC","A","2010",65.53,
"MEX","VAGEXP","TOT","PC","A","2011",68.29,
"NLD","VAGEXP","TOT","PC","A","1995",76.77,
"NLD","VAGEXP","TOT","PC","A","2000",77.46,
"NLD","VAGEXP","TOT","PC","A","2005",81.45,
"NLD","VAGEXP","TOT","PC","A","2008",80.42,
"NLD","VAGEXP","TOT","PC","A","2009",82.21,
"NLD","VAGEXP","TOT","PC","A","2010",80.56,
"NLD","VAGEXP","TOT","PC","A","2011",79.95,
"NZL","VAGEXP","TOT","PC","A","1995",83.15,
"NZL","VAGEXP","TOT","PC","A","2000",77.78,
"NZL","VAGEXP","TOT","PC","A","2005",84.39,
"NZL","VAGEXP","TOT","PC","A","2008",81.33,
"NZL","VAGEXP","TOT","PC","A","2009",84.79,
"NZL","VAGEXP","TOT","PC","A","2010",83.93,
"NZL","VAGEXP","TOT","PC","A","2011",83.34,
"NOR","VAGEXP","TOT","PC","A","1995",80.1,
"NOR","VAGEXP","TOT","PC","A","2000",83.93,
"NOR","VAGEXP","TOT","PC","A","2005",84.11,
"NOR","VAGEXP","TOT","PC","A","2008",83.81,
"NOR","VAGEXP","TOT","PC","A","2009",82.51,
"NOR","VAGEXP","TOT","PC","A","2010",82.32,
"NOR","VAGEXP","TOT","PC","A","2011",82.84,
"POL","VAGEXP","TOT","PC","A","1995",83.89,
"POL","VAGEXP","TOT","PC","A","2000",76.05,
"POL","VAGEXP","TOT","PC","A","2005",71.72,
"POL","VAGEXP","TOT","PC","A","2008",68.87,
"POL","VAGEXP","TOT","PC","A","2009",72.9,
"POL","VAGEXP","TOT","PC","A","2010",68.69,
"POL","VAGEXP","TOT","PC","A","2011",67.61,
"PRT","VAGEXP","TOT","PC","A","1995",72.63,
"PRT","VAGEXP","TOT","PC","A","2000",69.82,
"PRT","VAGEXP","TOT","PC","A","2005",68.19,
"PRT","VAGEXP","TOT","PC","A","2008",66.19,
"PRT","VAGEXP","TOT","PC","A","2009",71.4,
"PRT","VAGEXP","TOT","PC","A","2010",68.39,
