"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EXPBSNS","50_249","USD","A","2008",37331.9,
"AUT","EXPBSNS","50_249","USD","A","2009",27821.1,
"AUT","EXPBSNS","50_249","USD","A","2010",32925.8,
"AUT","EXPBSNS","50_249","USD","A","2011",39072.682,
"AUT","EXPBSNS","50_249","USD","A","2012",38093.931,
"AUT","EXPBSNS","50_249","USD","A","2013",40032.3,
"AUT","EXPBSNS","250MORE","USD","A","2008",89233.2,
"AUT","EXPBSNS","250MORE","USD","A","2009",69421.5,
"AUT","EXPBSNS","250MORE","USD","A","2010",77263.8,
"AUT","EXPBSNS","250MORE","USD","A","2011",88902.572,
"AUT","EXPBSNS","250MORE","USD","A","2012",81343.251,
"AUT","EXPBSNS","250MORE","USD","A","2013",84426.4,
"AUT","EXPBSNS","ALLSIZE","USD","A","2008",181853,
"AUT","EXPBSNS","ALLSIZE","USD","A","2009",137018,
"AUT","EXPBSNS","ALLSIZE","USD","A","2010",152442,
"AUT","EXPBSNS","ALLSIZE","USD","A","2011",177427.589,
"AUT","EXPBSNS","ALLSIZE","USD","A","2012",166610.959,
"AUT","EXPBSNS","ALLSIZE","USD","A","2013",175156,
"BEL","EXPBSNS","50_249","USD","A","2011",76044.98,
"BEL","EXPBSNS","50_249","USD","A","2012",73638.109,
"BEL","EXPBSNS","50_249","USD","A","2013",75341.5,
"BEL","EXPBSNS","250MORE","USD","A","2011",144981.718,
"BEL","EXPBSNS","250MORE","USD","A","2012",138430.946,
"BEL","EXPBSNS","250MORE","USD","A","2013",144627,
"BEL","EXPBSNS","ALLSIZE","USD","A","2011",475673.291,
"BEL","EXPBSNS","ALLSIZE","USD","A","2012",437378.664,
"BEL","EXPBSNS","ALLSIZE","USD","A","2013",459632,
"CAN","EXPBSNS","50_249","USD","A","2008",36900.76,
"CAN","EXPBSNS","50_249","USD","A","2009",33999.7,
"CAN","EXPBSNS","50_249","USD","A","2010",35236.7,
"CAN","EXPBSNS","50_249","USD","A","2011",39418.7,
"CAN","EXPBSNS","50_249","USD","A","2012",38717.1,
"CAN","EXPBSNS","250MORE","USD","A","2008",228038.098,
"CAN","EXPBSNS","250MORE","USD","A","2009",147705,
"CAN","EXPBSNS","250MORE","USD","A","2010",186525,
"CAN","EXPBSNS","250MORE","USD","A","2011",231549,
"CAN","EXPBSNS","250MORE","USD","A","2012",211943,
"CAN","EXPBSNS","ALLSIZE","USD","A","2008",384643.867,
"CAN","EXPBSNS","ALLSIZE","USD","A","2009",257649,
"CAN","EXPBSNS","ALLSIZE","USD","A","2010",316979,
"CAN","EXPBSNS","ALLSIZE","USD","A","2011",377759,
"CAN","EXPBSNS","ALLSIZE","USD","A","2012",380099,
"CZE","EXPBSNS","50_249","USD","A","2008",23595.3,
"CZE","EXPBSNS","50_249","USD","A","2009",17896.9,
"CZE","EXPBSNS","50_249","USD","A","2010",19412.7,
"CZE","EXPBSNS","50_249","USD","A","2011",23474.607,
"CZE","EXPBSNS","50_249","USD","A","2012",22631.342,
"CZE","EXPBSNS","50_249","USD","A","2013",24825,
"CZE","EXPBSNS","250MORE","USD","A","2008",75836.7,
"CZE","EXPBSNS","250MORE","USD","A","2009",54213,
"CZE","EXPBSNS","250MORE","USD","A","2010",62609.6,
"CZE","EXPBSNS","250MORE","USD","A","2011",74920.133,
"CZE","EXPBSNS","250MORE","USD","A","2012",70185.127,
"CZE","EXPBSNS","250MORE","USD","A","2013",71494.1,
"CZE","EXPBSNS","ALLSIZE","USD","A","2008",146974,
"CZE","EXPBSNS","ALLSIZE","USD","A","2009",115396,
"CZE","EXPBSNS","ALLSIZE","USD","A","2010",135002,
"CZE","EXPBSNS","ALLSIZE","USD","A","2011",160173.961,
"CZE","EXPBSNS","ALLSIZE","USD","A","2012",203812.375,
"CZE","EXPBSNS","ALLSIZE","USD","A","2013",210257,
"DNK","EXPBSNS","50_249","USD","A","2008",17433.7,
"DNK","EXPBSNS","50_249","USD","A","2009",13691.9,
"DNK","EXPBSNS","50_249","USD","A","2010",14584.7,
"DNK","EXPBSNS","50_249","USD","A","2011",16594.201,
"DNK","EXPBSNS","50_249","USD","A","2012",21975.544,
