"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","IMPBSNS","50_249","USD","A","2008",42118,
"AUT","IMPBSNS","50_249","USD","A","2009",33382.6,
"AUT","IMPBSNS","50_249","USD","A","2010",38398,
"AUT","IMPBSNS","50_249","USD","A","2011",46411.127,
"AUT","IMPBSNS","50_249","USD","A","2012",45272.284,
"AUT","IMPBSNS","50_249","USD","A","2013",44961.8,
"AUT","IMPBSNS","250MORE","USD","A","2008",69473.3,
"AUT","IMPBSNS","250MORE","USD","A","2009",51360.3,
"AUT","IMPBSNS","250MORE","USD","A","2010",59599.8,
"AUT","IMPBSNS","250MORE","USD","A","2011",74122.751,
"AUT","IMPBSNS","250MORE","USD","A","2012",65273.691,
"AUT","IMPBSNS","250MORE","USD","A","2013",67668.7,
"AUT","IMPBSNS","ALLSIZE","USD","A","2008",184621,
"AUT","IMPBSNS","ALLSIZE","USD","A","2009",143047,
"AUT","IMPBSNS","ALLSIZE","USD","A","2010",158928,
"AUT","IMPBSNS","ALLSIZE","USD","A","2011",191417.456,
"AUT","IMPBSNS","ALLSIZE","USD","A","2012",178513.203,
"AUT","IMPBSNS","ALLSIZE","USD","A","2013",183278,
"BEL","IMPBSNS","50_249","USD","A","2011",77682.484,
"BEL","IMPBSNS","50_249","USD","A","2012",69627.036,
"BEL","IMPBSNS","50_249","USD","A","2013",73785,
"BEL","IMPBSNS","250MORE","USD","A","2011",145473.283,
"BEL","IMPBSNS","250MORE","USD","A","2012",138266.266,
"BEL","IMPBSNS","250MORE","USD","A","2013",141707,
"BEL","IMPBSNS","ALLSIZE","USD","A","2011",472591.292,
"BEL","IMPBSNS","ALLSIZE","USD","A","2012",437335.947,
"BEL","IMPBSNS","ALLSIZE","USD","A","2013",450286,
"CAN","IMPBSNS","50_249","USD","A","2008",63043.333,
"CAN","IMPBSNS","50_249","USD","A","2009",51481,
"CAN","IMPBSNS","50_249","USD","A","2010",57631,
"CAN","IMPBSNS","50_249","USD","A","2011",64308.35059,
"CAN","IMPBSNS","50_249","USD","A","2012",63891.4,
"CAN","IMPBSNS","250MORE","USD","A","2008",231237.991,
"CAN","IMPBSNS","250MORE","USD","A","2009",155674,
"CAN","IMPBSNS","250MORE","USD","A","2010",178539,
"CAN","IMPBSNS","250MORE","USD","A","2011",191263.9682,
"CAN","IMPBSNS","250MORE","USD","A","2012",200388,
"CAN","IMPBSNS","ALLSIZE","USD","A","2008",356596.5,
"CAN","IMPBSNS","ALLSIZE","USD","A","2009",277962,
"CAN","IMPBSNS","ALLSIZE","USD","A","2010",346170,
"CAN","IMPBSNS","ALLSIZE","USD","A","2011",397880.1867,
"CAN","IMPBSNS","ALLSIZE","USD","A","2012",405940,
"CZE","IMPBSNS","50_249","USD","A","2008",33568.6,
"CZE","IMPBSNS","50_249","USD","A","2009",21966.1,
"CZE","IMPBSNS","50_249","USD","A","2010",24710.2,
"CZE","IMPBSNS","50_249","USD","A","2011",29209.939,
"CZE","IMPBSNS","50_249","USD","A","2012",27011.487,
