"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TERMTRADE","TOT","RT","A","1970",56.5535298418017,
"AUS","TERMTRADE","TOT","RT","A","1971",52.9917924216457,
"AUS","TERMTRADE","TOT","RT","A","1972",63.0731894231478,
"AUS","TERMTRADE","TOT","RT","A","1973",67.7945489919424,
"AUS","TERMTRADE","TOT","RT","A","1974",61.6863632252422,
"AUS","TERMTRADE","TOT","RT","A","1975",58.8570106507932,
"AUS","TERMTRADE","TOT","RT","A","1976",56.979662295659,
"AUS","TERMTRADE","TOT","RT","A","1977",51.8295717233637,
"AUS","TERMTRADE","TOT","RT","A","1978",52.1825621969651,
"AUS","TERMTRADE","TOT","RT","A","1979",54.0957527484279,
"AUS","TERMTRADE","TOT","RT","A","1980",53.6465725049444,
"AUS","TERMTRADE","TOT","RT","A","1981",52.8128255864305,
"AUS","TERMTRADE","TOT","RT","A","1982",52.0236645214833,
"AUS","TERMTRADE","TOT","RT","A","1983",53.2839354239307,
"AUS","TERMTRADE","TOT","RT","A","1984",52.4584820835565,
"AUS","TERMTRADE","TOT","RT","A","1985",47.4818524386919,
"AUS","TERMTRADE","TOT","RT","A","1986",44.8905330732924,
"AUS","TERMTRADE","TOT","RT","A","1987",48.7742717084992,
"AUS","TERMTRADE","TOT","RT","A","1988",56.0002318611624,
"AUS","TERMTRADE","TOT","RT","A","1989",56.1882488961011,
"AUS","TERMTRADE","TOT","RT","A","1990",53.2272679515458,
"AUS","TERMTRADE","TOT","RT","A","1991",51.5829088315821,
"AUS","TERMTRADE","TOT","RT","A","1992",49.4470523654674,
"AUS","TERMTRADE","TOT","RT","A","1993",48.0577047681903,
"AUS","TERMTRADE","TOT","RT","A","1994",49.6315813090637,
"AUS","TERMTRADE","TOT","RT","A","1995",51.2141907158918,
"AUS","TERMTRADE","TOT","RT","A","1996",52.7386398182894,
"AUS","TERMTRADE","TOT","RT","A","1997",52.4500491417144,
"AUS","TERMTRADE","TOT","RT","A","1998",49.8845289232609,
"AUS","TERMTRADE","TOT","RT","A","1999",51.8814200462581,
"AUS","TERMTRADE","TOT","RT","A","2000",52.7722680085715,
"AUS","TERMTRADE","TOT","RT","A","2001",53.562626263738,
"AUS","TERMTRADE","TOT","RT","A","2002",54.3448359181948,
"AUS","TERMTRADE","TOT","RT","A","2003",58.3686893379831,
"AUS","TERMTRADE","TOT","RT","A","2004",63.9601776433181,
"AUS","TERMTRADE","TOT","RT","A","2005",70.8789592469366,
"AUS","TERMTRADE","TOT","RT","A","2006",76.0032193637291,
"AUS","TERMTRADE","TOT","RT","A","2007",80.2533989444684,
"AUS","TERMTRADE","TOT","RT","A","2008",86.3760098366619,
"AUS","TERMTRADE","TOT","RT","A","2009",82.8982925509141,
"AUS","TERMTRADE","TOT","RT","A","2010",100,
"AUS","TERMTRADE","TOT","RT","A","2011",100.434517711379,
"AUS","TERMTRADE","TOT","RT","A","2012",90.7305251191876,
"AUS","TERMTRADE","TOT","RT","A","2013",87.38268414733,
"AUS","TERMTRADE","TOT","RT","A","2014",78.3626163296712,
"AUT","TERMTRADE","TOT","RT","A","1970",115.724718296821,"E"
"AUT","TERMTRADE","TOT","RT","A","1971",114.604919732089,"E"
"AUT","TERMTRADE","TOT","RT","A","1972",116.149304541812,"E"
"AUT","TERMTRADE","TOT","RT","A","1973",119.874806196042,"E"
"AUT","TERMTRADE","TOT","RT","A","1974",113.205562054926,"E"
"AUT","TERMTRADE","TOT","RT","A","1975",114.01937085758,"E"
"AUT","TERMTRADE","TOT","RT","A","1976",112.842420346954,"E"
"AUT","TERMTRADE","TOT","RT","A","1977",112.018180627508,"E"
"AUT","TERMTRADE","TOT","RT","A","1978",112.379321514601,"E"
