"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1982",4982429786.20429,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1983",2990892091.08393,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1984",926835874.565848,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1985",-9992175724.88946,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1986",-5571815145.49495,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1987",1654610970.33647,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1988",-1904991421.28097,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1989",-2593925861.06596,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1990",11369666975.7236,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1991",12488932640.5532,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1992",7183308398.45979,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1993",-7206121460.66258,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1994",10681174384.6859,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1995",15713162547.2146,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1996",21467625576.017,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1997",42781764838.1971,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1998",43836689460.9999,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","1999",30640955363,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2000",28785851574,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2001",28086220296,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2002",37382671274,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2003",35821129020,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2004",51174382470,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2005",124626797680,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2006",208918924500,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2007",308036028810,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2008",348832533080,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2009",220130401490,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2010",223023871850,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2011",181903738980,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2012",231844876710,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2013",235379561670,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2014",284022224450,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2015",366657878981.856,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2016",362602214432.927,
"CHN","TRADEGOODSERVFORECAST","NTRADE","USD","A","2017",377396060534.578,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1991",-1363583408.38507,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1992",1509324151.64759,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1993",1004272873.2352,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1994",2355336726.59962,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1995",3330314567.819,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1996",-1785080516.26632,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1997",-5872591115.89554,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1998",-8635276695.63999,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","1999",-9763030783.70266,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2000",-10907021764.0454,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2001",-6829445246.70684,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2002",-6775415400.443,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2003",-5773594917.36126,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2004",-6343916764.32084,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2005",-2829245987.40164,
"POL","TRADEGOODSERVFORECAST","NTRADE","USD","A","2006",-6550188198.79641,
