"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.666617022861,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8321072641785,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1624253153353,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.157020951622,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2911397746614,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.5333734215274,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.0326932894367,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6387054917376,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.3220088626292,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4486468376577,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.9180500381469,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.5459756361606,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.601422094309,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5799633430054,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.2607022443211,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",15.0127030860235,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4913853142619,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.9793114515313,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.1376321399052,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1378666917438,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.0483589069826,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6721443653396,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.5498739776876,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",17.9721655494025,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.881199627084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.89046430732,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1306441383251,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5940402154655,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3592559690315,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4361371093703,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.1470999870962,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.6750041147457,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",18.9222200019982,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.0132829924059,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.0743853376995,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.6046450547049,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",19.8960179801092,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",19.7587994644893,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",22.5244525248737,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.4443694734025,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.1415134824567,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.2794239748472,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.829399829308,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",20.9040514256793,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",19.7780485865768,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1970",12.9421401444635,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1971",12.0379743987762,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1972",11.0885352753023,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1973",13.2748945778132,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1974",14.7834526605995,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1975",13.4251352976548,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1976",14.6963524790848,
