"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","HHWEALTH","TOT","PC_NDI","A","1995",263.7646,
"HUN","HHWEALTH","TOT","PC_NDI","A","1996",290.5356,
"HUN","HHWEALTH","TOT","PC_NDI","A","1997",307.4336,
"HUN","HHWEALTH","TOT","PC_NDI","A","1998",305.9042,
"HUN","HHWEALTH","TOT","PC_NDI","A","1999",325.5016,
"HUN","HHWEALTH","TOT","PC_NDI","A","2000",329.4846,
"HUN","HHWEALTH","TOT","PC_NDI","A","2001",320.7156,
"HUN","HHWEALTH","TOT","PC_NDI","A","2002",311.701,
"HUN","HHWEALTH","TOT","PC_NDI","A","2003",298.7453,
"HUN","HHWEALTH","TOT","PC_NDI","A","2004",292.1691,
"HUN","HHWEALTH","TOT","PC_NDI","A","2005",294.9225,
"HUN","HHWEALTH","TOT","PC_NDI","A","2006",308.864,
"HUN","HHWEALTH","TOT","PC_NDI","A","2007",320.911,
"HUN","HHWEALTH","TOT","PC_NDI","A","2008",316.0056,
"HUN","HHWEALTH","TOT","PC_NDI","A","2009",340.3256,
"HUN","HHWEALTH","TOT","PC_NDI","A","2010",347.8718,
"HUN","HHWEALTH","TOT","PC_NDI","A","2011",336.396,
"HUN","HHWEALTH","TOT","PC_NDI","A","2012",348.102,
"HUN","HHWEALTH","TOT","PC_NDI","A","2013",353.8463,
"SVK","HHWEALTH","TOT","PC_NDI","A","1995",357.1479,
"SVK","HHWEALTH","TOT","PC_NDI","A","1996",346.8281,
"SVK","HHWEALTH","TOT","PC_NDI","A","1997",337.0273,
"SVK","HHWEALTH","TOT","PC_NDI","A","1998",337.7258,
"SVK","HHWEALTH","TOT","PC_NDI","A","1999",348.1835,
"SVK","HHWEALTH","TOT","PC_NDI","A","2000",347.1337,
"SVK","HHWEALTH","TOT","PC_NDI","A","2001",341.2137,
"SVK","HHWEALTH","TOT","PC_NDI","A","2002",325.5735,
"SVK","HHWEALTH","TOT","PC_NDI","A","2003",319.0052,
"SVK","HHWEALTH","TOT","PC_NDI","A","2004",302.7265,
"SVK","HHWEALTH","TOT","PC_NDI","A","2005",296.0096,
"SVK","HHWEALTH","TOT","PC_NDI","A","2006",295.1377,
"SVK","HHWEALTH","TOT","PC_NDI","A","2007",280.0519,
"SVK","HHWEALTH","TOT","PC_NDI","A","2008",273.2647,
"SVK","HHWEALTH","TOT","PC_NDI","A","2009",281.7719,
"SVK","HHWEALTH","TOT","PC_NDI","A","2010",281.4011,
"SVK","HHWEALTH","TOT","PC_NDI","A","2011",284.515,
"SVK","HHWEALTH","TOT","PC_NDI","A","2012",287.0947,
"SVK","HHWEALTH","TOT","PC_NDI","A","2013",284.7323,
"SVK","HHWEALTH","TOT","PC_NDI","A","2014",288.0627,
"EST","HHWEALTH","TOT","PC_NDI","A","2000",360.241,
"EST","HHWEALTH","TOT","PC_NDI","A","2001",383.2325,
"EST","HHWEALTH","TOT","PC_NDI","A","2002",364.5408,
"EST","HHWEALTH","TOT","PC_NDI","A","2003",354.523,
"EST","HHWEALTH","TOT","PC_NDI","A","2004",373.5863,
"EST","HHWEALTH","TOT","PC_NDI","A","2005",356.9335,
"EST","HHWEALTH","TOT","PC_NDI","A","2006",345.2079,
"EST","HHWEALTH","TOT","PC_NDI","A","2007",324.6384,
"EST","HHWEALTH","TOT","PC_NDI","A","2008",278.4364,
"EST","HHWEALTH","TOT","PC_NDI","A","2009",305.3303,
"EST","HHWEALTH","TOT","PC_NDI","A","2010",287.4509,
"EST","HHWEALTH","TOT","PC_NDI","A","2011",298.0319,
"EST","HHWEALTH","TOT","PC_NDI","A","2012",321.9083,
"CZE","HHWEALTH","TOT","PC_NDI","A","1995",312.8046,
"CZE","HHWEALTH","TOT","PC_NDI","A","1996",306.3099,
"CZE","HHWEALTH","TOT","PC_NDI","A","1997",311.1752,
"CZE","HHWEALTH","TOT","PC_NDI","A","1998",323.0609,
"CZE","HHWEALTH","TOT","PC_NDI","A","1999",323.7869,
"CZE","HHWEALTH","TOT","PC_NDI","A","2000",318.3713,
"CZE","HHWEALTH","TOT","PC_NDI","A","2001",316.1626,
"CZE","HHWEALTH","TOT","PC_NDI","A","2002",314.3081,
"CZE","HHWEALTH","TOT","PC_NDI","A","2003",315.6694,
