"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",103.0223,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.9743,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",102.9333,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",102.9081,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",102.8969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",102.8596,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",102.7285,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",102.4461,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",102.0958,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",101.7852,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",101.5968,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.5,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.459,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.4498,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.4219,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.3068,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",101.0466,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.7085,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",100.3726,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0971,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",99.88206,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",99.73125,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",99.65486,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",99.60702,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",99.53571,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",99.40393,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",99.23443,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",99.05511,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",98.88223,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",98.71337,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",98.54061,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",98.3597,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",98.18303,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",98.03434,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.93893,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.88609,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.87126,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.89561,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.92767,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.93213,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.89114,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.85303,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.89345,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",98.07357,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",98.31989,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",98.53687,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.65347,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",98.69889,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",98.71268,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",98.72588,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",98.77391,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",98.90988,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-10",99.18329,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-11",99.53062,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-12",99.87461,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-01",100.1495,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-02",100.33,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-03",100.3687,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-04",100.2294,
