"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.07413,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.09957,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.17355,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.28365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.41563,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.57685,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.78674,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.06363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.37887,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.70232,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.99545,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.2202,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.3321,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.3166,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.2236,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.1107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.0173,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.9397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.9535,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.1095,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.026,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.6479,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.1541,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.4325,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.4204,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.1805,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.8322,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.4562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.1164,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.8421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.6425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.5143,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.4306,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.325,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.3277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.3578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.3232,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.143,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.84276,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.42681,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.91039,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",98.37033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",97.9269,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",97.64105,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",97.52547,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",97.52574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",97.59356,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",97.70561,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.85703,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",98.04401,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",98.21458,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",98.34782,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",98.49504,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.67725,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",98.86667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.05787,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.23117,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.3819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.52856,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.70661,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",99.92233,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.1535,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.3715,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.5746,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.8011,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.0343,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.2478,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",101.4073,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",101.4802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",101.4792,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",101.4174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",101.3182,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.2269,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.1841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.1895,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",101.2412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",101.2903,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",101.2956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",101.2146,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.0128,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",100.7118,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.3605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.0302,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.74059,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.46838,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.21465,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",99.02753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.93028,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.91414,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.98058,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",99.12708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.33936,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.58946,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.85418,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.0968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.2799,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.3586,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.2698,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",99.95394,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.4118,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.69683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",97.91379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",97.23757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",96.7716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",96.57391,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",96.64161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",96.92212,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",97.31567,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.79091,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",98.3267,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.86997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.36431,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.77135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.0987,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.3454,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.4942,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",100.5388,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",100.4902,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.3909,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.2563,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.0966,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",99.96107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",99.92515,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",99.98167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.1436,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.3551,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",100.5307,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",100.6197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",100.5815,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.4112,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.1479,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",99.85735,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.57363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.29997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",99.00131,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.69908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",98.41797,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",98.17249,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",97.94916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",97.76975,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",97.67428,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",97.71061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.84507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",98.01225,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",98.15103,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",98.22353,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",98.22131,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",98.17504,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",98.09482,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",98.00358,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",97.93884,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",97.90327,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",97.90703,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",97.96534,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",98.07958,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",98.27409,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",98.57368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",98.98753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.48299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",100.0446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.6619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.2824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",101.8802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",102.4282,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",102.9132,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",103.3259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",103.6424,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",103.8949,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",104.1116,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",104.259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",104.2753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",104.1416,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",103.926,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",103.7048,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",103.513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",103.3735,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",103.2552,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",103.1295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",102.9811,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",102.8325,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",102.6956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",102.5612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",102.4045,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",102.1925,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",101.8826,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",101.4496,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",100.8898,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.2477,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.53153,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.78457,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",98.11038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",97.60274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",97.22207,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",96.92211,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",96.66321,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",96.37724,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",96.02106,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",95.63467,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",95.28112,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",95.0018,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",94.8809,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",94.99833,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",95.37392,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",95.92265,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",96.36452,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",96.78927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",97.17702,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",97.51045,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.7775,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",98.00802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.26138,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.516,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",98.81956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.15645,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",99.51077,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",99.83522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",100.0938,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",100.2439,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",100.2526,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.1274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",99.91515,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",99.6525,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.39086,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.20022,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.12041,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.13358,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.24464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.46505,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",99.75558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.1076,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",100.3445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",100.6022,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",100.8841,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",101.1568,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",101.4115,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",101.6057,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",101.7032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",101.7058,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",101.6212,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",101.4834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",101.3428,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",101.2388,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",101.2111,
