"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GNI","TOT","MLN_USD","A","1960",25050.4332,
"AUS","GNI","TOT","MLN_USD","A","1961",25443.3039,
"AUS","GNI","TOT","MLN_USD","A","1962",27881.2285,
"AUS","GNI","TOT","MLN_USD","A","1963",30434.4114,
"AUS","GNI","TOT","MLN_USD","A","1964",32845.5227,
"AUS","GNI","TOT","MLN_USD","A","1965",34471.51,
"AUS","GNI","TOT","MLN_USD","A","1966",38079.3695,
"AUS","GNI","TOT","MLN_USD","A","1967",40690.5145,
"AUS","GNI","TOT","MLN_USD","A","1968",45887.1813,
"AUS","GNI","TOT","MLN_USD","A","1969",51631.1445,
"AUS","GNI","TOT","MLN_USD","A","1970",58441.1619,
"AUS","GNI","TOT","MLN_USD","A","1971",64082.3411,
"AUS","GNI","TOT","MLN_USD","A","1972",70139.3391,
"AUS","GNI","TOT","MLN_USD","A","1973",78898.3698,
"AUS","GNI","TOT","MLN_USD","A","1974",86836.6841,
"AUS","GNI","TOT","MLN_USD","A","1975",97079.1499,
"AUS","GNI","TOT","MLN_USD","A","1976",103894.7234,
"AUS","GNI","TOT","MLN_USD","A","1977",109290.4473,
"AUS","GNI","TOT","MLN_USD","A","1978",122186.4465,
"AUS","GNI","TOT","MLN_USD","A","1979",136947.8555,
"AUS","GNI","TOT","MLN_USD","A","1980",154940.648,
"AUS","GNI","TOT","MLN_USD","A","1981",175109.0046,
"AUS","GNI","TOT","MLN_USD","A","1982",180899.1423,
"AUS","GNI","TOT","MLN_USD","A","1983",194686.104,
"AUS","GNI","TOT","MLN_USD","A","1984",208785.7315,
"AUS","GNI","TOT","MLN_USD","A","1985",225368.1245,
"AUS","GNI","TOT","MLN_USD","A","1986",236341.6056,
"AUS","GNI","TOT","MLN_USD","A","1987",256814.4865,
"AUS","GNI","TOT","MLN_USD","A","1988",276083.6976,
"AUS","GNI","TOT","MLN_USD","A","1989",289865.9162,
"AUS","GNI","TOT","MLN_USD","A","1990",292145.6425,
"AUS","GNI","TOT","MLN_USD","A","1991",301927.2202,
"AUS","GNI","TOT","MLN_USD","A","1992",325578.9552,
"AUS","GNI","TOT","MLN_USD","A","1993",347888.9927,
"AUS","GNI","TOT","MLN_USD","A","1994",367792.0219,
"AUS","GNI","TOT","MLN_USD","A","1995",390426.0406,
"AUS","GNI","TOT","MLN_USD","A","1996",410534.4934,
"AUS","GNI","TOT","MLN_USD","A","1997",436077.2168,
"AUS","GNI","TOT","MLN_USD","A","1998",462489.0138,
"AUS","GNI","TOT","MLN_USD","A","1999",494726.8592,
"AUS","GNI","TOT","MLN_USD","A","2000",524025.7941,
"AUS","GNI","TOT","MLN_USD","A","2001",552755.1845,
"AUS","GNI","TOT","MLN_USD","A","2002",582227.3904,
"AUS","GNI","TOT","MLN_USD","A","2003",617338.9551,
"AUS","GNI","TOT","MLN_USD","A","2004",649451.7572,
"AUS","GNI","TOT","MLN_USD","A","2005",690543.4536,
"AUS","GNI","TOT","MLN_USD","A","2006",739264.4375,
"AUS","GNI","TOT","MLN_USD","A","2007",791864.0579,
"AUS","GNI","TOT","MLN_USD","A","2008",821134.0717,
"AUS","GNI","TOT","MLN_USD","A","2009",864896.5425,
"AUS","GNI","TOT","MLN_USD","A","2010",900454.2642,
"AUS","GNI","TOT","MLN_USD","A","2011",956707.1564,
"AUS","GNI","TOT","MLN_USD","A","2012",964853.8161,
"AUS","GNI","TOT","MLN_USD","A","2013",1063614.8963,
"AUS","GNI","TOT","MLN_USD","A","2014",1072529.1563,
"AUS","GNI","TOT","USD_CAP","A","1960",2410.56833,
"AUS","GNI","TOT","USD_CAP","A","1961",2390.691633,
"AUS","GNI","TOT","USD_CAP","A","1962",2570.632198,
"AUS","GNI","TOT","USD_CAP","A","1963",2752.87965,
"AUS","GNI","TOT","USD_CAP","A","1964",2911.726379,
"AUS","GNI","TOT","USD_CAP","A","1965",2996.113651,
"AUS","GNI","TOT","USD_CAP","A","1966",3253.30032,
"AUS","GNI","TOT","USD_CAP","A","1967",3415.853784,
"AUS","GNI","TOT","USD_CAP","A","1968",3778.096539,
"AUS","GNI","TOT","USD_CAP","A","1969",4161.379987,
"AUS","GNI","TOT","USD_CAP","A","1970",4614.94097,
"AUS","GNI","TOT","USD_CAP","A","1971",4855.318689,
"AUS","GNI","TOT","USD_CAP","A","1972",5230.653491,
"AUS","GNI","TOT","USD_CAP","A","1973",5795.238451,
"AUS","GNI","TOT","USD_CAP","A","1974",6277.965747,
"AUS","GNI","TOT","USD_CAP","A","1975",6949.672628,
"AUS","GNI","TOT","USD_CAP","A","1976",7363.142139,
"AUS","GNI","TOT","USD_CAP","A","1977",7652.571141,
"AUS","GNI","TOT","USD_CAP","A","1978",8467.042195,
"AUS","GNI","TOT","USD_CAP","A","1979",9378.396416,
"AUS","GNI","TOT","USD_CAP","A","1980",10463.752036,
"AUS","GNI","TOT","USD_CAP","A","1981",11631.967825,
"AUS","GNI","TOT","USD_CAP","A","1982",11832.064358,
"AUS","GNI","TOT","USD_CAP","A","1983",12573.782043,
"AUS","GNI","TOT","USD_CAP","A","1984",13317.725067,
"AUS","GNI","TOT","USD_CAP","A","1985",14173.591339,
"AUS","GNI","TOT","USD_CAP","A","1986",14644.339082,
"AUS","GNI","TOT","USD_CAP","A","1987",15664.538582,
"AUS","GNI","TOT","USD_CAP","A","1988",16544.755852,
"AUS","GNI","TOT","USD_CAP","A","1989",17114.639956,
"AUS","GNI","TOT","USD_CAP","A","1990",17015.118811,
"AUS","GNI","TOT","USD_CAP","A","1991",17391.328801,
"AUS","GNI","TOT","USD_CAP","A","1992",18559.803016,
"AUS","GNI","TOT","USD_CAP","A","1993",19652.05596,
"AUS","GNI","TOT","USD_CAP","A","1994",20572.984128,
"AUS","GNI","TOT","USD_CAP","A","1995",21581.630118,
"AUS","GNI","TOT","USD_CAP","A","1996",22425.956805,
"AUS","GNI","TOT","USD_CAP","A","1997",23579.970538,
"AUS","GNI","TOT","USD_CAP","A","1998",24751.188521,
"AUS","GNI","TOT","USD_CAP","A","1999",26180.919365,
"AUS","GNI","TOT","USD_CAP","A","2000",27406.827306,
"AUS","GNI","TOT","USD_CAP","A","2001",28550.069931,
"AUS","GNI","TOT","USD_CAP","A","2002",29733.486985,
"AUS","GNI","TOT","USD_CAP","A","2003",31172.663519,
"AUS","GNI","TOT","USD_CAP","A","2004",32434.090622,
"AUS","GNI","TOT","USD_CAP","A","2005",34045.746252,
"AUS","GNI","TOT","USD_CAP","A","2006",35902.477782,
"AUS","GNI","TOT","USD_CAP","A","2007",37745.184059,
"AUS","GNI","TOT","USD_CAP","A","2008",38329.310134,
"AUS","GNI","TOT","USD_CAP","A","2009",39624.413325,
"AUS","GNI","TOT","USD_CAP","A","2010",40662.944618,
"AUS","GNI","TOT","USD_CAP","A","2011",42553.657436,
"AUS","GNI","TOT","USD_CAP","A","2012",42174.434894,
"AUS","GNI","TOT","USD_CAP","A","2013",45704.932908,
"AUS","GNI","TOT","USD_CAP","A","2014",45371.94065,"E"
"AUT","GNI","TOT","MLN_USD","A","1970",28781.3603,"E"
"AUT","GNI","TOT","MLN_USD","A","1971",31811.9338,"E"
"AUT","GNI","TOT","MLN_USD","A","1972",35210.4394,"E"
"AUT","GNI","TOT","MLN_USD","A","1973",38918.0276,"E"
"AUT","GNI","TOT","MLN_USD","A","1974",44149.6665,"E"
"AUT","GNI","TOT","MLN_USD","A","1975",48029.9461,"E"
"AUT","GNI","TOT","MLN_USD","A","1976",52907.6947,"E"
"AUT","GNI","TOT","MLN_USD","A","1977",58995.293,"E"
"AUT","GNI","TOT","MLN_USD","A","1978",62967.3796,"E"
"AUT","GNI","TOT","MLN_USD","A","1979",71844.2887,"E"
"AUT","GNI","TOT","MLN_USD","A","1980",79620.6854,"E"
"AUT","GNI","TOT","MLN_USD","A","1981",86736.6029,"E"
"AUT","GNI","TOT","MLN_USD","A","1982",94107.6993,"E"
"AUT","GNI","TOT","MLN_USD","A","1983",100951.4522,"E"
"AUT","GNI","TOT","MLN_USD","A","1984",104485.715,"E"
"AUT","GNI","TOT","MLN_USD","A","1985",110548.8497,"E"
"AUT","GNI","TOT","MLN_USD","A","1986",115031.3933,"E"
"AUT","GNI","TOT","MLN_USD","A","1987",119587.3175,"E"
"AUT","GNI","TOT","MLN_USD","A","1988",128340.1292,"E"
"AUT","GNI","TOT","MLN_USD","A","1989",138651.9732,"E"
"AUT","GNI","TOT","MLN_USD","A","1990",150145.2618,"E"
"AUT","GNI","TOT","MLN_USD","A","1991",159636.4656,"E"
"AUT","GNI","TOT","MLN_USD","A","1992",167231.5009,"E"
"AUT","GNI","TOT","MLN_USD","A","1993",172163.3772,"E"
"AUT","GNI","TOT","MLN_USD","A","1994",179831.0908,"E"
"AUT","GNI","TOT","MLN_USD","A","1995",187464.8047,
"AUT","GNI","TOT","MLN_USD","A","1996",195558.1766,
"AUT","GNI","TOT","MLN_USD","A","1997",202717.4172,
"AUT","GNI","TOT","MLN_USD","A","1998",212004.0777,
"AUT","GNI","TOT","MLN_USD","A","1999",219788.7657,
"AUT","GNI","TOT","MLN_USD","A","2000",234463.014,
"AUT","GNI","TOT","MLN_USD","A","2001",236939.637,
"AUT","GNI","TOT","MLN_USD","A","2002",251429.1432,
