"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1970",-1.42477722342195,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1971",-0.195721131133158,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1972",2.00768472510008,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1973",-1.04094033270246,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1974",-1.31939853431421,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1975",-1.31930246542393,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1976",-2.1576737547274,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1977",-2.5397855207419,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1978",-2.75585566575227,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1979",-1.27387112385065,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1980",-3.47202125700455,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1981",-4.85909313641699,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1982",-3.34520175433956,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1983",-3.38678754412199,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1984",-4.52610428089773,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1985",-5.6562364273003,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1986",-4.11888021334603,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1987",-3.09124686770932,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1988",-5.07623874363771,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1989",-5.81039679672149,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1990",-4.05650711763075,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1991",-3.10266310734477,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1992",-3.25923656831896,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1993",-3.35393557014762,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1994",-5.42665380563975,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1995",-3.9106926799758,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1996",-2.9924196825933,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1997",-3.89601123872263,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1998",-5.39530474346345,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","1999",-4.94545410516884,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2000",-2.61279797396844,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2001",-2.63675556287066,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2002",-4.89384553901489,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2003",-5.53796641693573,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2004",-6.47360046164076,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2005",-5.78075534267504,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2006",-6.06037178772132,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2007",-6.69914707103327,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2008",-3.47170626933416,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2009",-4.97533538402695,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2010",-3.12130487056629,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2011",-3.33061488377958,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2012",-3.89961053094924,
"AUS","NLNBSECTOR","TOT","PC_GDP","A","2013",-3.02970254540957,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","1995",-2.76711810937813,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","1996",-2.77550303281535,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","1997",-2.41787888970976,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","1998",-2.07314381039829,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","1999",-1.76537679765634,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2000",-1.00686635385297,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2001",-1.02051071606676,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2002",1.96727700714066,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2003",1.50515653233996,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2004",1.70745933148719,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2005",1.7400944827116,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2006",2.47453823580183,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2007",3.26144883257267,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2008",4.09532560142163,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2009",1.87739990543291,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2010",3.20981578433785,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2011",1.77406442426842,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2012",1.52837440422951,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2013",1.95925232131602,
"AUT","NLNBSECTOR","TOT","PC_GDP","A","2014",1.97409275806535,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","1995",4.40576326931801,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","1996",3.72326828500245,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","1997",4.71816930640929,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","1998",4.31404324278221,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","1999",4.80366545740421,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2000",3.84851019665249,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2001",3.95755263593541,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2002",5.84560013087816,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2003",5.5899616822992,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2004",4.4912641315519,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2005",3.28967095906331,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2006",3.67832805774776,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2007",3.72512785998787,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2008",1.01732445363294,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2009",0.830119759963989,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2010",3.48355660488468,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2011",0.007544064193128,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2012",2.11238994473684,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2013",0.936569739164093,
"BEL","NLNBSECTOR","TOT","PC_GDP","A","2014",0.585034556949703,
"CAN","NLNBSECTOR","TOT","PC_GDP","A","1970",0.815901160981606,"E"
"CAN","NLNBSECTOR","TOT","PC_GDP","A","1971",-0.392273909870894,"E"
"CAN","NLNBSECTOR","TOT","PC_GDP","A","1972",-0.391821339662973,"E"
"CAN","NLNBSECTOR","TOT","PC_GDP","A","1973",0.578935314118615,"E"
"CAN","NLNBSECTOR","TOT","PC_GDP","A","1974",-0.546017597063894,"E"
