"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NNI","TOT","MLN_USD","A","1960",20759.0896,
"AUS","NNI","TOT","MLN_USD","A","1961",21072.9986,
"AUS","NNI","TOT","MLN_USD","A","1962",23131.1579,
"AUS","NNI","TOT","MLN_USD","A","1963",25316.424,
"AUS","NNI","TOT","MLN_USD","A","1964",27139.2731,
"AUS","NNI","TOT","MLN_USD","A","1965",28455.463,
"AUS","NNI","TOT","MLN_USD","A","1966",31531.5686,
"AUS","NNI","TOT","MLN_USD","A","1967",33503.8813,
"AUS","NNI","TOT","MLN_USD","A","1968",38127.7376,
"AUS","NNI","TOT","MLN_USD","A","1969",42386.288,
"AUS","NNI","TOT","MLN_USD","A","1970",48330.7355,
"AUS","NNI","TOT","MLN_USD","A","1971",52973.445,
"AUS","NNI","TOT","MLN_USD","A","1972",58541.119,
"AUS","NNI","TOT","MLN_USD","A","1973",66057.4684,
"AUS","NNI","TOT","MLN_USD","A","1974",73379.5514,
"AUS","NNI","TOT","MLN_USD","A","1975",81909.5502,
"AUS","NNI","TOT","MLN_USD","A","1976",87982.772,
"AUS","NNI","TOT","MLN_USD","A","1977",92025.8602,
"AUS","NNI","TOT","MLN_USD","A","1978",103374.4326,
"AUS","NNI","TOT","MLN_USD","A","1979",115627.6788,
"AUS","NNI","TOT","MLN_USD","A","1980",130939.6958,
"AUS","NNI","TOT","MLN_USD","A","1981",147578.74,
"AUS","NNI","TOT","MLN_USD","A","1982",151272.9012,
"AUS","NNI","TOT","MLN_USD","A","1983",163208.301,
"AUS","NNI","TOT","MLN_USD","A","1984",175283.2186,
"AUS","NNI","TOT","MLN_USD","A","1985",187840.6543,
"AUS","NNI","TOT","MLN_USD","A","1986",195071.8997,
"AUS","NNI","TOT","MLN_USD","A","1987",212933.2139,
"AUS","NNI","TOT","MLN_USD","A","1988",229484.3294,
"AUS","NNI","TOT","MLN_USD","A","1989",240592.4229,
"AUS","NNI","TOT","MLN_USD","A","1990",241055.9187,
"AUS","NNI","TOT","MLN_USD","A","1991",248738.7805,
"AUS","NNI","TOT","MLN_USD","A","1992",268837.6352,
"AUS","NNI","TOT","MLN_USD","A","1993",287379.0986,
"AUS","NNI","TOT","MLN_USD","A","1994",304398.9802,
"AUS","NNI","TOT","MLN_USD","A","1995",324911.5064,
"AUS","NNI","TOT","MLN_USD","A","1996",343630.7894,
"AUS","NNI","TOT","MLN_USD","A","1997",364025.7856,
"AUS","NNI","TOT","MLN_USD","A","1998",385779.2872,
"AUS","NNI","TOT","MLN_USD","A","1999",413409.1522,
"AUS","NNI","TOT","MLN_USD","A","2000",436392.5468,
"AUS","NNI","TOT","MLN_USD","A","2001",461224.0215,
"AUS","NNI","TOT","MLN_USD","A","2002",486528.1978,
"AUS","NNI","TOT","MLN_USD","A","2003",517247.5625,
"AUS","NNI","TOT","MLN_USD","A","2004",542197.6611,
"AUS","NNI","TOT","MLN_USD","A","2005",576135.46,
"AUS","NNI","TOT","MLN_USD","A","2006",615824.9731,
"AUS","NNI","TOT","MLN_USD","A","2007",660803.8156,
"AUS","NNI","TOT","MLN_USD","A","2008",685436.2131,
"AUS","NNI","TOT","MLN_USD","A","2009",719232.7949,
"AUS","NNI","TOT","MLN_USD","A","2010",754402.7125,
"AUS","NNI","TOT","MLN_USD","A","2011",805222.6003,
"AUS","NNI","TOT","MLN_USD","A","2012",808107.0971,
"AUS","NNI","TOT","MLN_USD","A","2013",885910.6859,
"AUS","NNI","TOT","MLN_USD","A","2014",887034.698,
"AUS","NNI","TOT","USD_CAP","A","1960",1997.618302,
"AUS","NNI","TOT","USD_CAP","A","1961",1980.05109,
"AUS","NNI","TOT","USD_CAP","A","1962",2132.678594,
"AUS","NNI","TOT","USD_CAP","A","1963",2289.943036,
"AUS","NNI","TOT","USD_CAP","A","1964",2405.872428,
"AUS","NNI","TOT","USD_CAP","A","1965",2473.225027,
"AUS","NNI","TOT","USD_CAP","A","1966",2693.890774,
"AUS","NNI","TOT","USD_CAP","A","1967",2812.556225,
"AUS","NNI","TOT","USD_CAP","A","1968",3139.226886,
"AUS","NNI","TOT","USD_CAP","A","1969",3416.260711,
"AUS","NNI","TOT","USD_CAP","A","1970",3816.547862,
"AUS","NNI","TOT","USD_CAP","A","1971",4013.632352,
"AUS","NNI","TOT","USD_CAP","A","1972",4365.714199,
"AUS","NNI","TOT","USD_CAP","A","1973",4852.049306,
"AUS","NNI","TOT","USD_CAP","A","1974",5305.06565,
"AUS","NNI","TOT","USD_CAP","A","1975",5863.715938,
"AUS","NNI","TOT","USD_CAP","A","1976",6235.443289,
"AUS","NNI","TOT","USD_CAP","A","1977",6443.696223,
