"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","SAVING","TOT","PC_GDP","A","1970",17.1501651638463,"E"
"BEL","SAVING","TOT","PC_GDP","A","1971",15.9364504032826,"E"
"BEL","SAVING","TOT","PC_GDP","A","1972",15.6935895976432,"E"
"BEL","SAVING","TOT","PC_GDP","A","1973",15.4704317700486,"E"
"BEL","SAVING","TOT","PC_GDP","A","1974",15.8500910563985,"E"
"BEL","SAVING","TOT","PC_GDP","A","1975",12.3451608635205,"E"
"BEL","SAVING","TOT","PC_GDP","A","1976",13.3333874814204,"E"
"BEL","SAVING","TOT","PC_GDP","A","1977",11.1921506115667,"E"
"BEL","SAVING","TOT","PC_GDP","A","1978",10.9293861426337,"E"
"BEL","SAVING","TOT","PC_GDP","A","1979",8.86660480043048,"E"
"BEL","SAVING","TOT","PC_GDP","A","1980",5.84613510416441,"E"
"BEL","SAVING","TOT","PC_GDP","A","1981",2.40917088124248,"E"
"BEL","SAVING","TOT","PC_GDP","A","1982",1.6427809057477,"E"
"BEL","SAVING","TOT","PC_GDP","A","1983",1.38341314697631,"E"
"BEL","SAVING","TOT","PC_GDP","A","1984",3.13455121923724,"E"
"BEL","SAVING","TOT","PC_GDP","A","1985",3.33557210072264,"E"
"BEL","SAVING","TOT","PC_GDP","A","1986",4.64924259485675,"E"
"BEL","SAVING","TOT","PC_GDP","A","1987",5.63700761059429,"E"
"BEL","SAVING","TOT","PC_GDP","A","1988",8.55905001871665,"E"
"BEL","SAVING","TOT","PC_GDP","A","1989",9.71073078568679,"E"
"BEL","SAVING","TOT","PC_GDP","A","1990",10.0158681771131,"E"
"BEL","SAVING","TOT","PC_GDP","A","1991",8.95275966084014,"E"
"BEL","SAVING","TOT","PC_GDP","A","1992",9.23137694959776,"E"
"BEL","SAVING","TOT","PC_GDP","A","1993",9.97787552300057,"E"
"BEL","SAVING","TOT","PC_GDP","A","1994",11.1827463256176,"E"
"BEL","SAVING","TOT","PC_GDP","A","1995",10.691488356268,
"BEL","SAVING","TOT","PC_GDP","A","1996",9.38108380954145,
"BEL","SAVING","TOT","PC_GDP","A","1997",10.7533776756989,
"BEL","SAVING","TOT","PC_GDP","A","1998",10.505053520406,
"BEL","SAVING","TOT","PC_GDP","A","1999",10.9155454374227,
"BEL","SAVING","TOT","PC_GDP","A","2000",11.0159087916599,
"BEL","SAVING","TOT","PC_GDP","A","2001",9.69065571056632,
"BEL","SAVING","TOT","PC_GDP","A","2002",9.61209168741934,
"BEL","SAVING","TOT","PC_GDP","A","2003",8.9428135735944,
"BEL","SAVING","TOT","PC_GDP","A","2004",9.68441068457472,
"BEL","SAVING","TOT","PC_GDP","A","2005",9.40802167708464,
"BEL","SAVING","TOT","PC_GDP","A","2006",9.59468808738084,
"BEL","SAVING","TOT","PC_GDP","A","2007",10.4646764119717,
"BEL","SAVING","TOT","PC_GDP","A","2008",8.41269706777832,
"BEL","SAVING","TOT","PC_GDP","A","2009",3.22961973272627,
"BEL","SAVING","TOT","PC_GDP","A","2010",7.00869074584841,
"BEL","SAVING","TOT","PC_GDP","A","2011",4.66568716928774,
"BEL","SAVING","TOT","PC_GDP","A","2012",4.89534586584551,
"BEL","SAVING","TOT","PC_GDP","A","2013",3.40711333616841,
"BEL","SAVING","TOT","PC_GDP","A","2014",4.1394208809339,
"IRL","SAVING","TOT","PC_GDP","A","1970",7.07160137972328,"E"
"IRL","SAVING","TOT","PC_GDP","A","1971",6.86946491293058,"E"
"IRL","SAVING","TOT","PC_GDP","A","1972",8.54568635456072,"E"
"IRL","SAVING","TOT","PC_GDP","A","1973",8.99380758163189,"E"
"IRL","SAVING","TOT","PC_GDP","A","1974",6.12876126983105,"E"
"IRL","SAVING","TOT","PC_GDP","A","1975",8.06699766339146,"E"
"IRL","SAVING","TOT","PC_GDP","A","1976",6.78471113829741,"E"
"IRL","SAVING","TOT","PC_GDP","A","1977",8.01093274745464,"E"
"IRL","SAVING","TOT","PC_GDP","A","1978",7.30190040426963,"E"
"IRL","SAVING","TOT","PC_GDP","A","1979",5.57724693075418,"E"
"IRL","SAVING","TOT","PC_GDP","A","1980",2.92435852610392,"E"
"IRL","SAVING","TOT","PC_GDP","A","1981",1.97365076708964,"E"
"IRL","SAVING","TOT","PC_GDP","A","1982",4.07930589450164,"E"
"IRL","SAVING","TOT","PC_GDP","A","1983",3.85289315290105,"E"
"IRL","SAVING","TOT","PC_GDP","A","1984",4.21210523040019,"E"
"IRL","SAVING","TOT","PC_GDP","A","1985",3.69197261405214,"E"
"IRL","SAVING","TOT","PC_GDP","A","1986",3.5878560527778,"E"
"IRL","SAVING","TOT","PC_GDP","A","1987",4.39600459375621,"E"
"IRL","SAVING","TOT","PC_GDP","A","1988",4.9675136411164,"E"
"IRL","SAVING","TOT","PC_GDP","A","1989",5.24774447906807,"E"
"IRL","SAVING","TOT","PC_GDP","A","1990",7.81248486291905,"E"
"IRL","SAVING","TOT","PC_GDP","A","1991",7.07292077746627,"E"
"IRL","SAVING","TOT","PC_GDP","A","1992",5.27965452719476,"E"
"IRL","SAVING","TOT","PC_GDP","A","1993",7.19340623614332,"E"
"IRL","SAVING","TOT","PC_GDP","A","1994",7.16433819831379,"E"
"IRL","SAVING","TOT","PC_GDP","A","1995",9.7013308825303,"E"
"IRL","SAVING","TOT","PC_GDP","A","1996",10.3375760576923,"E"
"IRL","SAVING","TOT","PC_GDP","A","1997",12.6814018703201,"E"
"IRL","SAVING","TOT","PC_GDP","A","1998",14.0856545871498,"E"
"IRL","SAVING","TOT","PC_GDP","A","1999",12.9671690465982,
"IRL","SAVING","TOT","PC_GDP","A","2000",13.4140848361026,
"IRL","SAVING","TOT","PC_GDP","A","2001",11.7856710113136,
"IRL","SAVING","TOT","PC_GDP","A","2002",10.8488192077089,
"IRL","SAVING","TOT","PC_GDP","A","2003",12.4440575222484,
"IRL","SAVING","TOT","PC_GDP","A","2004",12.6031365727397,
"IRL","SAVING","TOT","PC_GDP","A","2005",11.9377633967454,
"IRL","SAVING","TOT","PC_GDP","A","2006",11.5995105737911,
"IRL","SAVING","TOT","PC_GDP","A","2007",8.82554521118274,
"IRL","SAVING","TOT","PC_GDP","A","2008",3.92698023890932,
