"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1975",8.26774395765131,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1976",2.67627380339682,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1977",-3.27694235588973,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1978",21.7140636133964,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1979",-12.2997498536378,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1980",-12.3255249423474,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1981",16.3563369557694,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1982",-21.8619869125521,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1983",43.2965359725923,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1984",0.196578472000852,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1985",-6.98870565777613,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1986",1.07177469927598,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1987",-2.15466185346043,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1988",4.40998443534905,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1989",8.19346289752651,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1990",5.54194733619105,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1991",-5.30412919446862,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1992",5.2591268828185,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1993",4.13776376424932,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1994",-14.6497111980622,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1995",21.1646564427223,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1996",8.22935903788118,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1997",0.153987015148995,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1998",9.72366507375858,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","1999",6.53664078772959,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2000",3.88894813550886,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2001",2.81608212147134,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2002",-21.1228700745474,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2003",25.7963798995823,
